order_date,market,region,product_category,product,estimated_cost,estimated_gross_profit,estimated_net_profit,estimated_sales,cost,inventory,gross_profit,net_profit,sales
2010-01-01,Wholesale,Central,Coffee,Amaretto,90,130,100,220,89,777,130,94,219
2010-01-01,Wholesale,Central,Coffee,Columbian,80,110,80,190,83,623,107,68,190
2010-01-01,Wholesale,Central,Coffee,Decaf Irish Cream,100,140,110,240,95,821,139,101,234
2010-01-01,Wholesale,Central,Tea,Green Tea,30,50,30,80,44,623,56,30,100
2010-01-01,Wholesale,Central,Espresso,Caffe Mocha,60,90,70,150,54,456,80,54,134
2010-01-01,Wholesale,Central,Espresso,Decaf Espresso,80,130,80,210,72,558,108,53,180
2010-01-01,Wholesale,Central,Herbal tea,Chamomile,140,160,110,300,170,1091,171,99,341
2010-01-01,Wholesale,Central,Herbal tea,Lemon,50,80,20,130,63,435,87,0,150
2010-01-01,Wholesale,Central,Herbal tea,Mint,50,70,40,120,60,336,80,33,140
2010-01-01,Wholesale,Central,Tea,Darjeeling,40,70,20,110,58,338,72,17,130
2010-01-01,Wholesale,Central,Tea,Earl Grey,50,70,40,120,64,965,76,36,140
2010-01-01,Wholesale,Central,Coffee,Columbian,150,210,130,360,144,862,201,111,345
2010-01-01,Wholesale,Central,Coffee,Decaf Irish Cream,100,140,100,240,95,608,139,87,234
2010-01-01,Wholesale,Central,Espresso,Caffe Mocha,270,370,260,640,234,1310,312,203,546
2010-01-01,Wholesale,Central,Espresso,Decaf Espresso,260,270,180,530,228,1459,228,140,456
2010-01-01,Wholesale,Central,Herbal tea,Chamomile,70,120,100,190,89,777,130,95,219
2010-01-01,Wholesale,Central,Herbal tea,Lemon,70,90,60,160,83,623,107,68,190
2010-01-01,Wholesale,Central,Herbal tea,Mint,80,120,100,200,95,821,139,101,234
2010-01-01,Wholesale,Central,Tea,Darjeeling,40,70,50,110,54,456,80,53,134
2010-01-01,Wholesale,Central,Tea,Earl Grey,60,90,40,150,72,558,108,54,180
2010-01-01,Retail,Central,Coffee,Amaretto,10,30,20,40,18,821,27,11,45
2010-01-01,Retail,Central,Coffee,Columbian,20,40,20,60,28,965,34,5,62
2010-01-01,Retail,Central,Coffee,Decaf Irish Cream,20,30,20,50,23,623,31,12,54
2010-01-01,Retail,Central,Espresso,Caffe Mocha,10,40,30,50,17,777,26,11,43
2010-01-01,Retail,Central,Espresso,Decaf Espresso,10,40,30,50,17,777,26,10,43
2010-01-01,Retail,Central,Herbal tea,Chamomile,200,280,200,480,234,1310,312,202,546
2010-01-01,Retail,Central,Herbal tea,Lemon,80,120,90,200,95,608,139,86,234
2010-01-01,Retail,Central,Tea,Darjeeling,190,210,140,400,228,1459,228,141,456
2010-01-01,Retail,Central,Tea,Earl Grey,210,270,160,480,245,1419,301,175,546
2010-01-01,Retail,Central,Coffee,Columbian,90,100,40,190,85,494,105,39,190
2010-01-01,Retail,Central,Coffee,Decaf Irish Cream,80,90,50,170,78,965,92,47,170
2010-01-01,Retail,Central,Tea,Green Tea,20,40,0,60,34,197,42,-4,76
2010-01-01,Retail,Central,Espresso,Caffe Mocha,50,90,70,140,50,821,73,48,123
2010-01-01,Retail,Central,Espresso,Decaf Espresso,50,80,60,130,46,777,68,45,114
2010-01-01,Retail,Central,Herbal tea,Chamomile,30,40,0,70,37,261,53,-11,90
2010-01-01,Retail,Central,Herbal tea,Lemon,70,10,-20,80,88,525,11,-39,99
2010-01-01,Retail,Central,Tea,Darjeeling,30,40,10,70,35,196,47,9,82
2010-01-01,Retail,Central,Tea,Earl Grey,20,30,-10,50,29,169,36,-9,65
2010-01-01,Wholesale,Central,Coffee,Amaretto,60,80,50,140,60,336,80,34,140
2010-01-01,Wholesale,Central,Coffee,Columbian,60,80,50,140,57,364,83,42,140
2010-01-01,Wholesale,Central,Coffee,Decaf Irish Cream,60,90,20,150,63,435,87,0,150
2010-01-01,Wholesale,Central,Tea,Earl Grey,70,100,60,170,84,500,116,67,200
2010-01-01,Wholesale,Central,Espresso,Decaf Espresso,60,90,40,150,58,338,72,16,130
2010-01-01,Wholesale,Central,Espresso,Caffe Mocha,190,210,140,400,170,1091,171,99,341
2010-01-01,Wholesale,Central,Herbal tea,Chamomile,20,50,50,70,32,456,48,29,80
2010-01-01,Wholesale,Central,Herbal tea,Lemon,20,50,50,70,32,821,48,29,80
2010-01-01,Wholesale,Central,Tea,Darjeeling,70,110,60,180,84,651,126,68,210
2010-01-01,Retail,Central,Coffee,Amaretto,50,70,30,120,54,312,66,13,120
2010-01-01,Retail,Central,Coffee,Columbian,80,110,20,190,79,551,111,9,190
2010-01-01,Retail,Central,Coffee,Decaf Irish Cream,80,100,60,180,77,432,103,51,180
2010-01-01,Retail,Central,Tea,Earl Grey,60,90,10,150,75,522,105,7,180
2010-01-01,Retail,Central,Espresso,Decaf Espresso,50,70,50,120,48,623,62,34,110
2010-01-01,Retail,Central,Espresso,Caffe Mocha,80,90,50,170,69,965,81,38,150
2010-01-01,Retail,Central,Herbal tea,Chamomile,50,100,80,150,67,400,113,70,180
2010-01-01,Retail,Central,Herbal tea,Lemon,20,50,50,70,33,777,48,28,81
2010-01-01,Retail,Central,Tea,Darjeeling,50,80,50,130,61,390,89,47,150
2010-01-01,Retail,East,Tea,Darjeeling,50,80,60,130,50,821,73,47,123
2010-01-01,Retail,East,Tea,Green Tea,40,60,40,100,38,777,56,35,94
2010-01-01,Retail,East,Espresso,Decaf Espresso,50,70,40,120,55,312,75,30,130
