col_1,col_2,name
1,870,a
1,1301,a
1,708,a
1,1845,a
1,1380,a
1,1155,a
1,1520,a
1,1086,a
1,300,a
1,864,a
1,176,a
1,545,a
1,207,a
1,1643,a
1,1082,a
1,440,a
1,960,a
1,1711,a
1,1146,a
1,1312,a
1,1801,a
1,1207,a
1,499,a
1,901,a
1,870,a
1,553,a
1,308,a
1,444,a
1,1498,a
1,572,a
1,1971,a
1,913,a
1,643,a
1,955,a
1,1134,a
1,1602,a
1,1580,a
1,423,a
1,1483,a
1,1800,a
1,238,a
1,358,a
1,303,a
1,390,a
1,1991,a
1,1146,a
1,1340,a
1,106,a
1,668,a
1,1967,a
1,1567,a
1,670,a
1,637,a
1,317,a
1,1475,a
1,1360,a
1,1772,a
1,1838,a
1,1953,a
1,838,a
1,196,a
1,1228,a
1,700,a
1,180,a
1,1393,a
1,1537,a
1,1179,a
1,1050,a
1,1207,a
1,1521,a
1,1309,a
1,1265,a
1,1048,a
1,1601,a
1,968,a
1,703,a
1,862,a
1,1847,a
1,1822,a
1,248,a
1,1263,a
1,460,a
1,1086,a
1,644,a
1,1601,a
1,1923,a
1,1916,a
1,1488,a
1,1149,a
1,588,a
1,1449,a
1,222,a
1,645,a
1,468,a
1,1770,a
1,1379,a
1,1244,a
1,1801,a
1,221,a
1,1838,a
1,1995,a
1,668,a
1,1026,a
1,102,a
1,720,a
1,1784,a
1,1901,a
1,449,a
1,383,a
1,1252,a
1,1694,a
1,143,a
1,1266,a
1,1208,a
1,1108,a
1,1934,a
1,1882,a
1,1926,a
1,1512,a
1,1583,a
1,1020,a
1,1817,a
1,1948,a
1,1106,a
1,1842,a
1,1470,a
1,1906,a
1,1879,a
1,1836,a
1,1720,a
1,1957,a
1,1325,a
1,1427,a
1,1973,a
1,606,a
1,907,a
1,1365,a
1,1285,a
1,716,a
1,1556,a
1,1752,a
1,1026,a
1,1672,a
1,491,a
1,854,a
1,1979,a
1,898,a
1,1971,a
1,113,a
1,1715,a
1,1883,a
1,1856,a
1,1333,a
1,612,a
1,1702,a
1,1039,a
1,172,a
1,685,a
1,1956,a
1,682,a
1,1147,a
1,1094,a
1,910,a
1,1614,a
1,1096,a
1,943,a
1,598,a
1,480,a
1,320,a
1,1086,a
1,1206,a
1,1654,a
1,684,a
1,1121,a
1,941,a
1,1171,a
1,1482,a
1,218,a
1,128,a
1,427,a
1,328,a
1,789,a
1,1278,a
1,1630,a
1,1465,a
1,1306,a
1,570,a
1,1419,a
1,1513,a
1,1531,a
1,1719,a
1,418,a
1,740,a
1,1257,a
1,801,a
1,241,a
1,925,a
1,1273,a
1,715,a
1,290,a
1,1762,a
1,1691,a
1,1460,a
1,767,a
1,1674,a
1,798,a
1,421,a
1,545,a
1,1579,a
1,391,a
1,469,a
1,749,a
1,1316,a
1,1268,a
1,1363,a
1,1915,a
1,632,a
1,124,a
1,1021,a
1,876,a
1,1307,a
1,1246,a
1,1065,a
1,521,a
1,1295,a
1,464,a
1,351,a
1,1378,a
1,1253,a
1,952,a
1,1992,a
1,501,a
1,990,a
1,1843,a
1,1957,a
1,411,a
1,1623,a
1,1362,a
1,649,a
1,1404,a
1,1192,a
1,635,a
1,759,a
1,796,a
1,831,a
1,898,a
1,351,a
1,1169,a
1,908,a
1,272,a
1,1926,a
1,1004,a
1,1637,a
1,1533,a
1,1948,a
1,307,a
1,1242,a
1,1703,a
1,1862,a
1,942,a
1,1500,a
1,1434,a
1,1301,a
1,577,a
1,175,a
1,1759,a
1,1422,a
1,1019,a
1,679,a
1,226,a
1,584,a
1,552,a
1,548,a
1,1095,a
1,1780,a
1,1433,a
1,1168,a
1,1197,a
1,455,a
1,1889,a
1,371,a
1,348,a
1,508,a
1,126,a
1,170,a
1,1804,a
1,404,a
1,1036,a
1,190,a
1,1595,a
1,1898,a
1,259,a
1,292,a
1,1974,a
1,1672,a
1,1535,a
1,189,a
1,411,a
1,546,a
1,464,a
1,768,a
1,616,a
1,955,a
1,1838,a
1,517,a
1,904,a
1,1857,a
1,1936,a
1,860,a
1,1655,a
1,1103,a
1,1571,a
1,415,a
1,276,a
1,775,a
1,1912,a
1,1051,a
1,1583,a
1,1063,a
1,1420,a
1,1792,a
1,1626,a
1,1158,a
1,373,a
1,1240,a
1,924,a
1,1859,a
1,1750,a
1,469,a
1,1988,a
1,806,a
1,1595,a
1,1312,a
1,513,a
1,1880,a
1,1225,a
1,1945,a
1,1222,a
1,1022,a
1,290,a
1,1514,a
1,761,a
1,1599,a
1,744,a
1,849,a
1,1685,a
1,204,a
1,1884,a
1,416,a
1,1691,a
1,1691,a
1,1838,a
1,1090,a
1,1583,a
1,118,a
1,158,a
1,297,a
1,1632,a
1,922,a
1,1693,a
1,882,a
1,655,a
1,474,a
1,365,a
1,1316,a
1,185,a
1,1313,a
1,985,a
1,1729,a
1,115,a
1,1580,a
1,1066,a
1,1706,a
1,633,a
1,487,a
1,1853,a
1,1658,a
1,900,a
1,1005,a
1,393,a
1,789,a
1,561,a
1,1163,a
1,1007,a
1,482,a
1,302,a
1,541,a
1,826,a
1,1899,a
1,171,a
1,1006,a
1,936,a
1,1239,a
1,111,a
1,1238,a
1,234,a
1,495,a
1,317,a
1,1821,a
1,788,a
1,1496,a
1,1821,a
1,1913,a
1,365,a
1,851,a
1,487,a
1,272,a
1,787,a
1,1117,a
1,1480,a
1,1899,a
1,1855,a
1,742,a
1,362,a
1,168,a
1,1061,a
1,1273,a
1,650,a
1,1878,a
1,1375,a
1,1759,a
1,1748,a
1,421,a
1,1137,a
1,1864,a
1,688,a
1,1808,a
1,1047,a
1,178,a
1,1125,a
1,280,a
1,1822,a
1,1244,a
1,1231,a
1,1021,a
1,1314,a
1,1184,a
1,890,a
1,1400,a
1,1088,a
1,1802,a
1,1818,a
1,1486,a
1,1764,a
1,1919,a
1,527,a
1,769,a
1,1435,a
1,1712,a
1,582,a
1,1973,a
1,949,a
1,1912,a
1,600,a
1,1810,a
1,1279,a
1,1977,a
1,1838,a
1,1080,a
1,1677,a
1,432,a
1,174,a
1,1455,a
1,238,a
1,1343,a
1,480,a
1,1166,a
1,1461,a
1,1054,a
1,1364,a
