,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.17,596819.4,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0.0,conventional,2015,BaltimoreWashington
1,2015-12-20,1.11,642682.4,44741.37,434590.82,19112.14,144238.07,141751.91,2486.16,0.0,conventional,2015,BaltimoreWashington
2,2015-12-13,1.15,619509.33,44400.26,399851.59,24291.2,150966.28,149070.4,1895.88,0.0,conventional,2015,BaltimoreWashington
3,2015-12-06,1.04,649141.25,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0.0,conventional,2015,BaltimoreWashington
4,2015-11-29,1.16,545800.05,41028.15,379156.09,20147.53,105468.28,103615.95,1852.33,0.0,conventional,2015,BaltimoreWashington
5,2015-11-22,1.12,572019.8,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0.0,conventional,2015,BaltimoreWashington
6,2015-11-15,1.04,718330.48,47109.75,503470.08,37990.29,129760.36,125297.67,4462.69,0.0,conventional,2015,BaltimoreWashington
7,2015-11-08,1.05,830967.23,58579.27,576512.71,51035.04,144840.21,138777.63,6062.58,0.0,conventional,2015,BaltimoreWashington
8,2015-11-01,1.12,742220.67,51860.07,473819.14,58615.76,157925.7,152716.4,5209.3,0.0,conventional,2015,BaltimoreWashington
9,2015-10-25,1.19,656892.03,53766.25,397911.35,49085.74,156128.69,149987.55,6141.14,0.0,conventional,2015,BaltimoreWashington
10,2015-10-18,0.99,1005603.78,59121.55,745385.26,49171.33,151925.64,146421.02,5504.62,0.0,conventional,2015,BaltimoreWashington
11,2015-10-11,1.24,653560.14,34707.02,392008.6,58490.1,168354.42,163669.01,4685.41,0.0,conventional,2015,BaltimoreWashington
12,2015-10-04,1.28,657444.04,35342.34,407609.95,42257.73,172234.02,167494.61,4739.41,0.0,conventional,2015,BaltimoreWashington
13,2015-09-27,1.19,696281.81,34309.05,451061.03,59018.61,151893.12,146792.81,5100.31,0.0,conventional,2015,BaltimoreWashington
14,2015-09-20,1.17,709268.62,39619.87,450283.01,45336.12,174029.62,168889.78,5139.84,0.0,conventional,2015,BaltimoreWashington
15,2015-09-13,1.09,924993.61,55699.25,675524.33,42270.47,151499.56,145686.02,5813.54,0.0,conventional,2015,BaltimoreWashington
16,2015-09-06,1.18,823623.36,63903.73,522568.44,68180.35,168970.84,165696.58,3268.72,5.54,conventional,2015,BaltimoreWashington
17,2015-08-30,1.24,734721.29,48455.25,458207.46,42754.34,185304.24,181968.79,3158.9,176.55,conventional,2015,BaltimoreWashington
18,2015-08-23,1.16,783935.36,59242.02,499100.39,47216.18,178376.77,175047.15,3060.44,269.18,conventional,2015,BaltimoreWashington
19,2015-08-16,1.14,882754.72,86492.03,597184.73,43102.61,155975.35,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington
20,2015-08-09,1.16,821523.45,56362.75,557363.94,42933.87,164862.89,161564.81,3298.08,0.0,conventional,2015,BaltimoreWashington
21,2015-08-02,1.17,800603.23,53957.63,535167.1,44749.58,166728.92,163667.68,3061.24,0.0,conventional,2015,BaltimoreWashington
22,2015-07-26,1.2,772926.12,52746.41,496508.65,45010.81,178660.25,174774.8,3880.04,5.41,conventional,2015,BaltimoreWashington
23,2015-07-19,1.18,800194.34,52954.94,496206.47,50319.84,200713.09,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington
24,2015-07-12,1.1,850931.58,58827.99,547537.41,50679.01,193887.17,189236.32,4406.05,244.8,conventional,2015,BaltimoreWashington
25,2015-07-05,1.16,896298.77,66504.67,567640.7,56044.51,206108.89,200097.99,5890.57,120.33,conventional,2015,BaltimoreWashington
26,2015-06-28,1.15,862261.64,65051.95,534535.21,51109.85,211564.63,207378.09,4022.51,164.03,conventional,2015,BaltimoreWashington
27,2015-06-21,1.16,862840.73,58398.76,527866.5,51952.74,224622.73,220904.35,3488.37,230.01,conventional,2015,BaltimoreWashington
28,2015-06-14,1.09,955046.82,64005.15,593499.63,48344.86,249197.18,244982.26,3668.3,546.62,conventional,2015,BaltimoreWashington
29,2015-06-07,1.26,794310.29,62585.45,462951.05,43720.95,225052.84,221165.85,3626.41,260.58,conventional,2015,BaltimoreWashington
30,2015-05-31,1.19,949177.06,67744.84,617813.87,45832.8,217785.55,211787.29,5730.22,268.04,conventional,2015,BaltimoreWashington
31,2015-05-24,1.18,908661.83,63610.12,560740.03,49808.51,234503.17,228842.95,5548.94,111.28,conventional,2015,BaltimoreWashington
32,2015-05-17,1.27,790853.86,63515.06,455166.65,44840.98,227331.17,222163.1,5152.19,15.88,conventional,2015,BaltimoreWashington
33,2015-05-10,1.26,855205.82,79192.07,507104.15,44390.54,224519.06,215572.03,8947.03,0.0,conventional,2015,BaltimoreWashington
34,2015-05-03,1.17,896972.05,73038.46,536709.99,77537.43,209686.17,201874.28,7767.45,44.44,conventional,2015,BaltimoreWashington
35,2015-04-26,1.29,747841.09,58013.85,431532.87,39942.57,218351.8,212064.73,6184.29,102.78,conventional,2015,BaltimoreWashington
36,2015-04-19,1.28,762862.62,67486.78,427623.27,42125.28,225627.29,219885.88,5741.41,0.0,conventional,2015,BaltimoreWashington
37,2015-04-12,1.15,837629.62,70796.72,523170.13,42270.76,201392.01,196076.34,5315.67,0.0,conventional,2015,BaltimoreWashington
38,2015-04-05,1.29,688065.45,53579.17,401279.47,41867.08,191339.73,184109.06,6357.06,873.61,conventional,2015,BaltimoreWashington
39,2015-03-29,1.25,663677.32,58098.15,398050.87,43759.68,163768.62,158964.08,4804.54,0.0,conventional,2015,BaltimoreWashington
40,2015-03-22,1.1,808897.21,65158.96,524971.24,42381.39,176385.62,171699.95,4685.67,0.0,conventional,2015,BaltimoreWashington
41,2015-03-15,1.24,693698.13,53400.14,395837.01,46596.22,197864.76,193130.9,4733.86,0.0,conventional,2015,BaltimoreWashington
42,2015-03-08,1.26,657745.9,55284.8,367670.93,42267.91,192522.26,188374.49,4147.77,0.0,conventional,2015,BaltimoreWashington
43,2015-03-01,1.16,770115.24,59039.85,498872.67,40241.65,171961.07,168224.2,3736.87,0.0,conventional,2015,BaltimoreWashington
44,2015-02-22,1.11,749845.79,50501.07,445970.56,62611.61,190762.55,186976.97,3785.58,0.0,conventional,2015,BaltimoreWashington
45,2015-02-15,1.25,637319.34,49751.74,361677.37,45900.05,179990.18,174864.87,5125.31,0.0,conventional,2015,BaltimoreWashington
