,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.13,450816.39,3886.27,346964.7,13952.56,86012.86,85913.6,99.26,0.0,conventional,2015,Boston
1,2015-12-20,1.07,489802.88,4912.37,390100.99,5887.72,88901.8,88768.47,133.33,0.0,conventional,2015,Boston
2,2015-12-13,1.01,549945.76,4641.02,455362.38,219.4,89722.96,89523.38,199.58,0.0,conventional,2015,Boston
3,2015-12-06,1.02,488679.31,5126.32,407520.22,142.99,75889.78,75666.22,223.56,0.0,conventional,2015,Boston
4,2015-11-29,1.19,350559.81,3609.25,272719.08,105.86,74125.62,73864.52,261.1,0.0,conventional,2015,Boston
5,2015-11-22,1.07,466759.99,4457.62,383420.46,233.74,78648.17,78161.82,486.35,0.0,conventional,2015,Boston
6,2015-11-15,1.05,513738.98,5310.32,420936.8,139.71,87352.15,85604.19,1747.96,0.0,conventional,2015,Boston
7,2015-11-08,1.04,641759.57,5304.09,542880.92,231.74,93342.82,88265.25,5077.57,0.0,conventional,2015,Boston
8,2015-11-01,1.06,553096.84,4886.14,449532.49,170.29,98507.92,93443.08,5064.84,0.0,conventional,2015,Boston
9,2015-10-25,1.02,534249.47,4005.39,430725.78,191.31,99326.99,94581.94,4745.05,0.0,conventional,2015,Boston
10,2015-10-18,0.94,725296.29,6409.86,627503.98,332.87,91049.58,86046.25,5003.33,0.0,conventional,2015,Boston
11,2015-10-11,1.14,485706.68,5145.86,378295.9,355.03,101909.89,97513.23,4396.66,0.0,conventional,2015,Boston
12,2015-10-04,1.07,536479.42,5804.31,427358.64,277.56,103038.91,97207.43,5831.48,0.0,conventional,2015,Boston
13,2015-09-27,1.07,553307.04,5210.84,463079.81,289.49,84726.9,82123.56,2603.34,0.0,conventional,2015,Boston
14,2015-09-20,1.15,498640.23,4376.74,398673.48,418.46,95171.55,91612.66,3558.89,0.0,conventional,2015,Boston
15,2015-09-13,1.03,655682.95,5422.29,560792.23,353.77,89114.66,84843.55,4271.11,0.0,conventional,2015,Boston
16,2015-09-06,1.11,577774.74,4237.44,477867.83,496.62,95172.85,94558.41,614.44,0.0,conventional,2015,Boston
17,2015-08-30,1.13,526664.87,4177.03,438502.9,554.04,83430.9,83242.01,188.89,0.0,conventional,2015,Boston
18,2015-08-23,1.07,589471.32,4744.11,488292.1,608.61,95826.5,95585.38,241.12,0.0,conventional,2015,Boston
19,2015-08-16,1.15,565795.06,4460.85,464476.33,748.65,96109.23,95887.01,222.22,0.0,conventional,2015,Boston
20,2015-08-09,1.07,690517.19,4173.23,590998.11,827.06,94518.79,94287.69,231.1,0.0,conventional,2015,Boston
21,2015-08-02,1.17,571994.5,4442.2,468591.76,1451.95,97508.59,97214.15,294.44,0.0,conventional,2015,Boston
22,2015-07-26,1.28,500233.69,4299.27,393281.62,1957.86,100694.94,100466.86,228.08,0.0,conventional,2015,Boston
23,2015-07-19,1.18,597168.12,4720.08,477629.8,5071.77,109746.47,109519.0,227.47,0.0,conventional,2015,Boston
24,2015-07-12,1.14,634515.74,5332.07,471639.53,9361.55,148182.59,146946.54,1236.05,0.0,conventional,2015,Boston
25,2015-07-05,1.27,582909.73,4743.46,418251.03,11053.82,148861.42,145982.99,2878.43,0.0,conventional,2015,Boston
26,2015-06-28,1.25,560494.92,4688.28,403230.6,9120.3,143455.74,142574.63,881.11,0.0,conventional,2015,Boston
27,2015-06-21,1.24,543504.66,3582.45,404908.53,8899.2,126114.48,125821.15,293.33,0.0,conventional,2015,Boston
28,2015-06-14,1.08,684346.48,5104.19,521254.77,6545.42,151442.1,151258.77,183.33,0.0,conventional,2015,Boston
29,2015-06-07,1.25,562542.86,4034.11,421007.42,93.05,137408.28,137224.94,183.34,0.0,conventional,2015,Boston
30,2015-05-31,1.26,565160.95,4128.35,418105.36,108.6,142818.64,142515.32,303.32,0.0,conventional,2015,Boston
31,2015-05-24,1.14,633521.98,4601.66,490485.76,276.82,138157.74,137769.31,388.43,0.0,conventional,2015,Boston
32,2015-05-17,1.26,534488.54,4285.68,380514.08,162.66,149526.12,147667.72,1858.4,0.0,conventional,2015,Boston
33,2015-05-10,1.14,625558.14,4601.5,476827.52,131.47,143997.65,141309.43,2688.22,0.0,conventional,2015,Boston
34,2015-05-03,1.17,552368.94,3828.64,429586.28,239.76,118714.26,115148.87,3565.39,0.0,conventional,2015,Boston
35,2015-04-26,1.28,465911.37,3915.3,352464.49,131.46,109400.12,106866.42,2533.7,0.0,conventional,2015,Boston
36,2015-04-19,1.15,504619.83,4013.71,384880.49,162.91,115562.72,114562.17,1000.55,0.0,conventional,2015,Boston
37,2015-04-12,1.26,408485.16,3575.89,294164.23,106.09,110638.95,108644.33,1994.62,0.0,conventional,2015,Boston
38,2015-04-05,1.27,449818.01,3657.54,330424.74,99.92,115635.81,113541.34,1948.64,145.83,conventional,2015,Boston
39,2015-03-29,1.19,453631.25,3619.31,339299.3,151.36,110561.28,108838.11,1723.17,0.0,conventional,2015,Boston
40,2015-03-22,1.18,453173.22,5956.18,344396.92,155.94,102664.18,102204.17,460.01,0.0,conventional,2015,Boston
41,2015-03-15,1.25,417750.36,6085.75,308996.7,111.59,102556.32,101931.87,624.45,0.0,conventional,2015,Boston
42,2015-03-08,1.17,408403.96,3425.53,290512.65,78.96,114386.82,113811.26,575.56,0.0,conventional,2015,Boston
43,2015-03-01,1.11,485736.1,4106.42,383573.77,192.98,97862.93,97423.17,439.76,0.0,conventional,2015,Boston
44,2015-02-22,1.23,355432.28,3232.68,251341.3,142.33,100715.97,100498.19,217.78,0.0,conventional,2015,Boston
45,2015-02-15,1.2,399883.99,3794.97,281106.45,143.41,114839.16,114283.61,555.55,0.0,conventional,2015,Boston
46,2015-02-08,1.04,609985.34,7653.19,495731.7,383.73,106216.72,105403.38,813.34,0.0,conventional,2015,Boston
47,2015-02-01,1.22,490022.14,6082.88,373452.06,272.81,110214.39,109900.93,313.46,0.0,conventional,2015,Boston
48,2015-01-25,1.17,409343.56,4730.77,288094.65,45.98,116472.16,115538.05,934.11,0.0,conventional,2015,Boston
49,2015-01-18,1.23,401331.33,4383.76,287778.52,132.53,109036.52,108668.74,367.78,0.0,conventional,2015,Boston
50,2015-01-11,1.1,437771.89,5548.11,320577.36,121.81,111524.61,111192.88,331.73,0.0,conventional,2015,Boston
51,2015-01-04,1.02,491738.0,7193.87,396752.18,128.82,87663.13,87406.84,256.29,0.0,conventional,2015,Boston
0,2016-12-25,1.28,447600.75,4349.63,346516.32,4183.69,92551.11,91481.59,1069.52,0.0,conventional,2016,Boston
1,2016-12-18,1.09,579577.33,6123.84,488107.01,7765.43,77581.05,76135.49,1445.56,0.0,conventional,2016,Boston
2,2016-12-11,1.22,510800.58,3711.2,409645.98,5052.84,92390.56,90449.44,1634.18,306.94,conventional,2016,Boston
3,2016-12-04,1.26,473428.36,4371.95,393748.18,3449.16,71859.07,71377.77,307.69,173.61,conventional,2016,Boston
4,2016-11-27,1.45,391257.01,4243.2,317090.39,3069.37,66854.05,66399.33,31.11,423.61,conventional,2016,Boston
5,2016-11-20,1.39,475677.35,7917.9,356867.57,4915.71,105976.17,105940.61,35.56,0.0,conventional,2016,Boston
6,2016-11-13,1.56,397601.1,5233.97,314434.8,3726.92,74205.41,74205.41,0.0,0.0,conventional,2016,Boston
7,2016-11-06,1.62,366175.49,4016.72,284809.54,3370.17,73979.06,73804.06,0.0,175.0,conventional,2016,Boston
8,2016-10-30,1.67,376500.91,5542.76,304461.49,3787.66,62709.0,62705.31,3.69,0.0,conventional,2016,Boston
9,2016-10-23,1.58,439551.69,10444.8,335243.75,6144.55,87718.59,86922.76,0.0,795.83,conventional,2016,Boston
10,2016-10-16,1.6,453605.17,6472.04,345051.11,4742.43,97339.59,97339.59,0.0,0.0,conventional,2016,Boston
11,2016-10-09,1.49,468135.46,7435.21,366648.78,3837.72,90213.75,90213.75,0.0,0.0,conventional,2016,Boston
12,2016-10-02,1.59,459163.77,20871.74,340342.71,5003.77,92945.55,92945.55,0.0,0.0,conventional,2016,Boston
13,2016-09-25,1.53,483057.37,40864.15,338301.37,6515.89,97375.96,97375.96,0.0,0.0,conventional,2016,Boston
14,2016-09-18,1.45,489600.6,39970.65,346155.69,7080.02,96394.24,96061.7,332.54,0.0,conventional,2016,Boston
15,2016-09-11,1.27,672672.86,85204.27,470860.24,9617.73,106990.62,106090.54,900.08,0.0,conventional,2016,Boston
16,2016-09-04,1.41,541671.24,23481.94,381830.77,10225.22,126133.31,125074.64,665.06,393.61,conventional,2016,Boston
17,2016-08-28,1.37,582023.28,37757.36,388173.87,7653.7,148438.35,146015.83,1187.52,1235.0,conventional,2016,Boston
18,2016-08-21,1.31,586072.78,15419.55,353351.42,7923.98,209377.83,201033.61,7400.05,944.17,conventional,2016,Boston
19,2016-08-14,1.29,602605.29,20310.78,353845.28,8194.83,220254.4,215552.06,3642.34,1060.0,conventional,2016,Boston
20,2016-08-07,1.48,525387.25,15830.01,335033.53,8735.44,165788.27,165457.19,176.08,155.0,conventional,2016,Boston
21,2016-07-31,1.61,508949.6,12550.4,338691.73,8772.17,148935.3,147430.08,5.5,1499.72,conventional,2016,Boston
22,2016-07-24,1.52,509094.85,13099.78,343835.83,10965.64,141193.6,137804.71,11.11,3377.78,conventional,2016,Boston
23,2016-07-17,1.56,488508.05,11289.68,320250.99,10381.25,146586.13,142601.99,9.14,3975.0,conventional,2016,Boston
24,2016-07-10,1.32,549815.44,17289.06,359933.8,14982.9,157609.68,153175.43,49.25,4385.0,conventional,2016,Boston
25,2016-07-03,1.38,585484.69,11397.63,408601.95,17326.08,148159.03,143276.3,137.73,4745.0,conventional,2016,Boston
26,2016-06-26,1.33,626972.88,10379.75,433431.64,28898.79,154262.7,151759.78,142.92,2360.0,conventional,2016,Boston
27,2016-06-19,1.32,649660.14,10851.29,456521.61,38655.07,143632.17,141650.87,141.3,1840.0,conventional,2016,Boston
28,2016-06-12,1.29,632855.52,12891.22,421978.89,43090.81,154894.6,152477.5,87.1,2330.0,conventional,2016,Boston
29,2016-06-05,1.26,634989.55,8833.67,417995.15,51385.74,156774.99,155072.41,120.91,1581.67,conventional,2016,Boston
30,2016-05-29,1.08,673496.13,7708.04,461424.99,72848.75,131514.35,129466.02,142.22,1906.11,conventional,2016,Boston
31,2016-05-22,1.05,665086.17,4319.45,430580.52,81859.54,148326.66,146904.74,136.92,1285.0,conventional,2016,Boston
32,2016-05-15,1.06,709563.16,5790.13,517840.35,63055.48,122877.2,122533.87,198.89,144.44,conventional,2016,Boston
33,2016-05-08,0.85,924194.42,6383.12,698437.7,80414.29,138959.31,138862.64,96.67,0.0,conventional,2016,Boston
34,2016-05-01,1.05,716003.18,4764.79,520369.75,54779.3,136089.34,136034.89,54.45,0.0,conventional,2016,Boston
35,2016-04-24,1.07,626895.08,4157.76,446540.8,51958.73,124237.79,123011.98,152.2,1073.61,conventional,2016,Boston
36,2016-04-17,1.08,617179.71,3871.79,438210.92,43926.9,131170.1,131035.57,109.53,25.0,conventional,2016,Boston
37,2016-04-10,0.99,652546.84,4326.56,456029.59,74452.3,117738.39,117521.44,87.78,129.17,conventional,2016,Boston
38,2016-04-03,1.11,559718.46,4683.35,406529.44,42112.53,106393.14,106262.03,131.11,0.0,conventional,2016,Boston
39,2016-03-27,1.08,639420.34,4253.9,463187.03,51477.79,120501.62,120388.84,112.78,0.0,conventional,2016,Boston
40,2016-03-20,1.1,645235.38,5364.32,490720.39,34714.64,114436.03,114286.03,150.0,0.0,conventional,2016,Boston
41,2016-03-13,1.05,651211.44,5420.01,487268.37,46932.61,111590.45,111440.08,150.37,0.0,conventional,2016,Boston
42,2016-03-06,1.1,600639.74,6153.04,434300.22,36352.99,123833.49,123551.47,282.02,0.0,conventional,2016,Boston
43,2016-02-28,1.08,652943.0,6632.53,506048.61,36934.25,103327.61,102683.47,644.14,0.0,conventional,2016,Boston
44,2016-02-21,1.14,553709.44,5600.54,388956.7,36873.84,122278.36,120040.08,2238.28,0.0,conventional,2016,Boston
45,2016-02-14,0.98,751656.56,7591.61,560259.15,58165.42,125640.38,123660.33,1980.05,0.0,conventional,2016,Boston
46,2016-02-07,1.05,678810.37,5986.94,511548.6,25200.19,136074.64,134178.5,1896.14,0.0,conventional,2016,Boston
47,2016-01-31,1.03,651616.91,6037.25,501280.47,25252.35,119046.84,118219.26,827.58,0.0,conventional,2016,Boston
48,2016-01-24,1.05,670376.77,3107.96,482030.79,26052.91,159185.11,158806.43,378.68,0.0,conventional,2016,Boston
49,2016-01-17,1.02,665217.66,4392.86,486767.87,32505.74,141551.19,141307.39,243.8,0.0,conventional,2016,Boston
50,2016-01-10,1.15,536674.53,4120.09,391873.45,13321.08,127359.91,127177.65,182.26,0.0,conventional,2016,Boston
51,2016-01-03,1.01,610622.03,5112.51,492477.86,21182.52,91849.14,91579.91,269.23,0.0,conventional,2016,Boston
0,2017-12-31,1.4,419696.59,9622.52,325398.02,2061.91,82614.14,65868.23,16745.91,0.0,conventional,2017,Boston
1,2017-12-24,1.45,414147.94,10726.67,312860.91,1638.5,88921.86,75107.0,13814.86,0.0,conventional,2017,Boston
2,2017-12-17,1.28,516770.62,10139.25,413484.37,3836.18,89310.82,74552.8,14758.02,0.0,conventional,2017,Boston
3,2017-12-10,1.14,687251.82,13210.49,557434.99,2169.35,114436.99,93125.7,21311.29,0.0,conventional,2017,Boston
4,2017-12-03,1.4,488588.0,12171.0,386056.0,1901.0,88460.0,66539.0,21921.0,0.0,conventional,2017,Boston
5,2017-11-26,1.39,423778.0,10677.0,304833.0,2073.0,106195.0,65656.0,40538.0,0.0,conventional,2017,Boston
6,2017-11-19,1.36,476236.0,11494.0,341486.0,2365.0,120892.0,77117.0,43775.0,0.0,conventional,2017,Boston
7,2017-11-12,1.23,639092.0,15689.0,533027.0,5720.0,84655.0,74568.0,10086.0,0.0,conventional,2017,Boston
8,2017-11-05,1.49,440972.34,13002.8,334875.51,2014.44,91079.59,74159.79,16919.8,0.0,conventional,2017,Boston
9,2017-10-29,1.49,465106.32,14781.17,360615.41,2145.15,87564.59,74278.47,13286.12,0.0,conventional,2017,Boston
10,2017-10-22,1.48,435243.72,19871.3,328476.35,2432.68,84463.39,81134.22,3329.17,0.0,conventional,2017,Boston
11,2017-10-15,1.59,418233.95,20138.49,331423.32,2218.03,64454.11,57500.31,6953.8,0.0,conventional,2017,Boston
12,2017-10-08,1.61,451608.73,16621.16,322931.92,1266.34,110789.31,76160.93,34628.38,0.0,conventional,2017,Boston
13,2017-10-01,1.62,482271.83,14889.71,366122.85,1797.71,99461.56,71620.46,27841.1,0.0,conventional,2017,Boston
14,2017-09-24,1.62,498019.71,10697.54,384522.4,1718.59,101081.18,67635.26,33422.59,23.33,conventional,2017,Boston
