,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.96,156698.24,33070.27,62956.24,23041.69,37630.04,35130.42,2499.62,0.0,conventional,2015,Charlotte
1,2015-12-20,0.98,139917.89,29500.04,55520.58,19842.51,35054.76,33273.25,1781.51,0.0,conventional,2015,Charlotte
2,2015-12-13,0.95,157146.19,31727.46,62544.19,23842.95,39031.59,35793.08,3238.51,0.0,conventional,2015,Charlotte
3,2015-12-06,0.99,156114.08,34117.36,63074.74,28482.72,30439.26,28181.92,2257.34,0.0,conventional,2015,Charlotte
4,2015-11-29,0.95,138858.86,31911.11,53470.54,22685.8,30791.41,27376.3,3415.11,0.0,conventional,2015,Charlotte
5,2015-11-22,1.0,133618.33,30028.69,53644.97,24221.58,25723.09,22228.47,3494.62,0.0,conventional,2015,Charlotte
6,2015-11-15,1.01,169281.16,28543.88,80244.55,36860.51,23632.22,21132.1,2500.12,0.0,conventional,2015,Charlotte
7,2015-11-08,1.03,164322.04,30860.74,54456.01,49282.25,29723.04,28076.04,1647.0,0.0,conventional,2015,Charlotte
8,2015-11-01,1.11,171793.87,33371.6,47079.68,53968.86,37373.73,32848.04,4525.69,0.0,conventional,2015,Charlotte
9,2015-10-25,1.27,140920.61,23093.86,38356.83,44882.51,34587.41,30219.23,4368.18,0.0,conventional,2015,Charlotte
10,2015-10-18,1.26,156565.98,22805.02,54518.85,44707.32,34534.79,31176.68,3358.11,0.0,conventional,2015,Charlotte
11,2015-10-11,1.14,167396.56,22941.59,45669.33,58989.81,39795.83,33103.01,6692.82,0.0,conventional,2015,Charlotte
12,2015-10-04,1.22,146737.74,23648.94,44671.1,40366.93,38050.77,30388.81,7661.96,0.0,conventional,2015,Charlotte
13,2015-09-27,1.09,168780.22,24397.92,54210.03,58551.64,31620.63,27053.27,4567.36,0.0,conventional,2015,Charlotte
14,2015-09-20,1.2,161443.98,25922.66,46906.06,41261.83,47353.43,38940.45,8412.98,0.0,conventional,2015,Charlotte
15,2015-09-13,1.19,171077.53,30122.92,41616.87,36469.43,62868.31,56910.24,5958.07,0.0,conventional,2015,Charlotte
16,2015-09-06,1.01,227728.43,35126.74,62187.49,64372.34,66041.86,59197.7,6844.16,0.0,conventional,2015,Charlotte
17,2015-08-30,1.2,179026.88,33511.97,41700.97,38130.29,65683.65,63371.06,2312.59,0.0,conventional,2015,Charlotte
18,2015-08-23,1.15,203298.37,32280.63,50475.57,41677.6,78864.57,76846.13,2018.44,0.0,conventional,2015,Charlotte
19,2015-08-16,1.24,178525.52,32128.6,42068.1,41343.26,62985.56,60769.22,2216.34,0.0,conventional,2015,Charlotte
20,2015-08-09,1.21,173059.32,29915.8,43782.95,37614.3,61746.27,57783.2,3963.07,0.0,conventional,2015,Charlotte
21,2015-08-02,1.24,179321.9,30200.32,48686.77,39734.9,60699.91,58627.67,2072.24,0.0,conventional,2015,Charlotte
22,2015-07-26,1.23,173896.82,30901.1,39607.94,39260.71,64127.07,62053.65,2073.42,0.0,conventional,2015,Charlotte
23,2015-07-19,1.19,187575.03,33382.11,49072.16,39515.29,65605.47,62470.83,3134.64,0.0,conventional,2015,Charlotte
24,2015-07-12,1.18,182856.82,23580.7,56317.45,35107.11,67851.56,65681.23,2170.33,0.0,conventional,2015,Charlotte
25,2015-07-05,1.18,216118.9,30803.29,73470.29,40602.17,71243.15,67865.26,3377.89,0.0,conventional,2015,Charlotte
26,2015-06-28,1.17,193654.01,23693.74,58162.31,42044.35,69753.61,67989.08,1764.53,0.0,conventional,2015,Charlotte
27,2015-06-21,1.17,201173.1,30951.17,58913.49,38260.1,73048.34,69426.0,3622.34,0.0,conventional,2015,Charlotte
28,2015-06-14,1.15,207093.88,31247.67,64828.77,41193.22,69824.22,67842.39,1981.83,0.0,conventional,2015,Charlotte
29,2015-06-07,1.15,199980.3,43524.21,45226.73,38578.8,72650.56,69123.57,3526.99,0.0,conventional,2015,Charlotte
30,2015-05-31,1.19,194630.86,45688.14,43259.91,44529.73,61153.08,58990.8,2162.28,0.0,conventional,2015,Charlotte
