,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.87,162993.77,2633.37,100444.22,9546.88,50369.3,14050.64,30968.06,5350.6,conventional,2015,CincinnatiDayton
1,2015-12-20,0.85,175425.57,2732.05,108930.75,7517.01,56245.76,12118.45,39679.66,4447.65,conventional,2015,CincinnatiDayton
2,2015-12-13,0.79,207386.27,3802.6,123544.78,4574.03,75464.86,15835.2,58783.54,846.12,conventional,2015,CincinnatiDayton
3,2015-12-06,0.83,207513.04,2914.81,129978.67,15475.56,59144.0,13539.21,42885.85,2718.94,conventional,2015,CincinnatiDayton
4,2015-11-29,0.88,141356.34,2399.32,94093.55,5885.57,38977.9,12785.15,24850.38,1342.37,conventional,2015,CincinnatiDayton
5,2015-11-22,0.89,174892.99,2565.81,115591.25,9595.72,47140.21,13804.56,31446.68,1888.97,conventional,2015,CincinnatiDayton
6,2015-11-15,0.88,193723.22,2680.0,129291.79,4905.63,56845.8,15733.89,40083.17,1028.74,conventional,2015,CincinnatiDayton
7,2015-11-08,0.87,239070.13,2979.02,156267.5,19577.35,60246.26,12989.82,42509.75,4746.69,conventional,2015,CincinnatiDayton
8,2015-11-01,0.93,254760.33,2998.18,166867.82,13267.88,71626.45,14831.2,53584.84,3210.41,conventional,2015,CincinnatiDayton
9,2015-10-25,1.01,203681.71,2264.65,132625.92,9187.24,59603.9,12423.07,45209.19,1971.64,conventional,2015,CincinnatiDayton
10,2015-10-18,0.98,186044.56,2297.3,131737.84,8931.62,43077.8,17414.57,24553.19,1110.04,conventional,2015,CincinnatiDayton
11,2015-10-11,0.91,213527.77,2251.48,146962.49,13777.63,50536.17,16191.77,31742.92,2601.48,conventional,2015,CincinnatiDayton
12,2015-10-04,0.93,235243.88,2132.57,157237.69,11767.9,64105.72,16488.06,45980.45,1637.21,conventional,2015,CincinnatiDayton
13,2015-09-27,1.08,202012.62,2220.62,138937.95,11725.37,49128.68,12344.28,34341.61,2442.79,conventional,2015,CincinnatiDayton
14,2015-09-20,1.05,210445.12,3127.8,139042.8,21179.76,47094.76,12353.22,29601.09,5140.45,conventional,2015,CincinnatiDayton
15,2015-09-13,1.05,216548.9,2195.13,139863.58,18310.19,56180.0,17271.72,34690.26,4218.02,conventional,2015,CincinnatiDayton
16,2015-09-06,1.02,232157.91,2462.55,154106.32,8956.92,66632.12,19499.39,45312.94,1819.79,conventional,2015,CincinnatiDayton
17,2015-08-30,1.01,234132.09,2623.58,153832.57,14357.02,63318.92,17804.54,42734.02,2780.36,conventional,2015,CincinnatiDayton
18,2015-08-23,1.05,208608.84,2750.77,141969.26,5299.54,58589.27,15961.91,41548.22,1079.14,conventional,2015,CincinnatiDayton
19,2015-08-16,1.01,234349.47,2472.69,146747.71,21571.37,63557.7,16806.65,41442.96,5308.09,conventional,2015,CincinnatiDayton
20,2015-08-09,1.08,214374.41,2357.57,144957.92,10921.95,56136.97,19933.89,34194.18,2008.9,conventional,2015,CincinnatiDayton
21,2015-08-02,1.09,206121.36,2443.41,142847.6,9778.16,51052.19,16179.92,33163.78,1708.49,conventional,2015,CincinnatiDayton
22,2015-07-26,1.03,216611.18,2474.11,139527.28,5691.94,68917.85,24769.87,43020.67,1127.31,conventional,2015,CincinnatiDayton
23,2015-07-19,1.06,223479.02,3726.35,146965.54,14449.26,58337.87,21470.67,33782.97,3084.23,conventional,2015,CincinnatiDayton
24,2015-07-12,1.03,218170.8,3503.25,148642.65,4243.48,61781.42,23225.75,37926.4,629.27,conventional,2015,CincinnatiDayton
25,2015-07-05,1.03,250626.33,3238.38,165479.82,10201.81,71706.32,27500.3,43026.64,1179.38,conventional,2015,CincinnatiDayton
26,2015-06-28,1.01,225165.84,3691.48,144983.7,3666.71,72823.95,34098.54,38098.48,626.93,conventional,2015,CincinnatiDayton
27,2015-06-21,1.02,243012.2,3795.3,158957.39,15259.47,65000.04,25431.9,37441.3,2126.84,conventional,2015,CincinnatiDayton
28,2015-06-14,1.05,229363.51,6856.14,145975.24,10046.57,66485.56,30258.12,34920.23,1307.21,conventional,2015,CincinnatiDayton
29,2015-06-07,1.07,234981.67,10630.01,146360.2,14601.72,63389.74,23651.85,36952.36,2785.53,conventional,2015,CincinnatiDayton
30,2015-05-31,1.06,222382.69,10459.41,143893.61,4652.39,63377.28,20976.26,41425.81,975.21,conventional,2015,CincinnatiDayton
31,2015-05-24,1.1,222390.09,10258.51,152036.29,4490.78,55604.51,24486.78,30170.62,947.11,conventional,2015,CincinnatiDayton
32,2015-05-17,1.04,234579.34,10239.98,150323.91,14523.82,59491.63,18091.92,38536.09,2863.62,conventional,2015,CincinnatiDayton
33,2015-05-10,1.06,259598.76,11982.39,172173.77,2408.09,73034.51,22506.92,50265.04,262.55,conventional,2015,CincinnatiDayton
34,2015-05-03,1.08,238140.96,11468.92,162213.47,7282.09,57176.48,18315.96,37361.33,1499.19,conventional,2015,CincinnatiDayton
35,2015-04-26,1.06,214469.51,8217.17,138764.19,6904.19,60583.96,21522.31,37783.16,1278.49,conventional,2015,CincinnatiDayton
36,2015-04-19,1.02,226978.72,8229.4,144900.84,12959.1,60889.38,35196.33,23101.71,2591.34,conventional,2015,CincinnatiDayton
37,2015-04-12,1.02,188937.83,11176.67,120830.33,1306.19,55624.64,38219.34,17270.02,135.28,conventional,2015,CincinnatiDayton
38,2015-04-05,1.06,196168.6,7516.57,135093.59,2508.15,51050.29,36567.48,14361.02,121.79,conventional,2015,CincinnatiDayton
