,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.99,107565.04,41808.54,27120.67,15564.05,23071.78,15032.43,3874.64,4164.71,conventional,2015,Columbus
1,2015-12-20,1.03,117393.22,57557.75,23198.49,16370.5,20266.48,11760.83,4248.29,4257.36,conventional,2015,Columbus
2,2015-12-13,1.03,124617.07,69742.59,21750.83,12957.84,20165.81,14642.3,4307.42,1216.09,conventional,2015,Columbus
3,2015-12-06,0.99,137195.59,60376.23,33565.14,24435.11,18819.11,12451.6,3866.86,2500.65,conventional,2015,Columbus
4,2015-11-29,1.03,97235.6,40352.94,22858.09,16653.11,17371.46,12106.21,4115.58,1149.67,conventional,2015,Columbus
5,2015-11-22,1.04,115089.62,50334.8,25643.76,20730.65,18380.41,13855.13,2827.12,1698.16,conventional,2015,Columbus
6,2015-11-15,0.99,117462.94,52474.75,26705.74,15258.85,23023.6,19594.87,2618.43,810.3,conventional,2015,Columbus
7,2015-11-08,0.95,152084.79,61494.68,35336.71,29583.9,25669.5,14899.79,6935.32,3834.39,conventional,2015,Columbus
8,2015-11-01,0.99,135237.01,58162.23,31821.24,23764.43,21489.11,14668.1,3691.47,3129.54,conventional,2015,Columbus
9,2015-10-25,1.04,119210.27,59745.47,23351.18,19024.16,17089.46,11461.37,3925.91,1702.18,conventional,2015,Columbus
10,2015-10-18,0.98,137773.84,62590.79,33116.75,18606.59,23459.71,18601.8,4384.37,473.54,conventional,2015,Columbus
11,2015-10-11,0.9,145305.65,57480.41,39207.76,24724.8,23892.68,16946.85,4765.93,2179.9,conventional,2015,Columbus
12,2015-10-04,0.93,134326.53,53606.35,38396.06,23069.29,19254.83,14952.36,2202.87,2099.6,conventional,2015,Columbus
13,2015-09-27,1.02,137298.77,66587.59,33743.19,18527.75,18440.24,10970.85,5538.06,1931.33,conventional,2015,Columbus
14,2015-09-20,1.0,165068.86,86031.9,31599.19,26200.37,21237.4,12029.73,4671.88,4535.79,conventional,2015,Columbus
15,2015-09-13,1.02,169025.14,86159.05,31464.67,26703.23,24698.19,17099.64,4201.55,3397.0,conventional,2015,Columbus
16,2015-09-06,1.04,144563.15,61052.61,40880.96,20842.4,21787.18,16533.98,3611.52,1641.68,conventional,2015,Columbus
17,2015-08-30,1.03,147230.76,64531.04,32172.79,25751.74,24775.19,16928.02,4937.44,2909.73,conventional,2015,Columbus
18,2015-08-23,1.08,130920.97,64597.94,29728.3,15723.09,20871.64,14961.58,5010.51,899.55,conventional,2015,Columbus
19,2015-08-16,1.03,155881.73,63291.37,36257.41,32383.88,23949.07,15230.44,4314.54,4404.09,conventional,2015,Columbus
20,2015-08-09,1.0,167387.9,64121.12,52440.39,20857.42,29968.97,20668.0,7460.64,1840.33,conventional,2015,Columbus
21,2015-08-02,1.05,148597.91,77973.44,30063.76,17344.74,23215.97,17997.33,3281.88,1936.76,conventional,2015,Columbus
22,2015-07-26,1.02,159846.2,91758.41,25540.09,13557.25,28990.45,23981.05,3986.29,1023.11,conventional,2015,Columbus
23,2015-07-19,1.05,159137.17,75080.98,33397.18,24209.42,26449.59,21845.65,2442.62,2161.32,conventional,2015,Columbus
24,2015-07-12,1.04,143992.91,69964.42,32449.21,16034.68,25544.6,22605.91,2366.05,572.64,conventional,2015,Columbus
25,2015-07-05,0.98,173370.68,79063.5,39343.65,24674.62,30288.91,24909.93,4244.24,1134.74,conventional,2015,Columbus
26,2015-06-28,0.94,159970.54,72752.84,38877.79,12796.57,35543.34,29338.02,5683.66,521.66,conventional,2015,Columbus
27,2015-06-21,0.99,164161.25,67311.23,40382.51,24529.19,31938.32,24969.38,4739.34,2229.6,conventional,2015,Columbus
28,2015-06-14,1.01,171353.59,83138.56,33535.09,20023.58,34656.36,27204.22,6030.43,1421.71,conventional,2015,Columbus
29,2015-06-07,1.03,187983.88,92110.97,33225.37,29167.3,33480.24,23654.01,5888.63,3937.6,conventional,2015,Columbus
30,2015-05-31,1.1,143985.96,80729.03,21813.84,13935.13,27507.96,21434.49,4733.2,1340.27,conventional,2015,Columbus
31,2015-05-24,1.01,171879.57,85510.9,37314.24,14261.54,34792.89,22680.26,10832.31,1280.32,conventional,2015,Columbus
32,2015-05-17,1.0,180511.78,97341.26,38624.07,22934.89,21611.56,15997.43,2463.86,3150.27,conventional,2015,Columbus
33,2015-05-10,1.1,162802.65,97879.64,27581.34,10126.3,27215.37,23689.19,2796.71,729.47,conventional,2015,Columbus
34,2015-05-03,0.99,176737.77,79998.58,53621.15,15882.39,27235.65,16302.79,9726.39,1206.47,conventional,2015,Columbus
35,2015-04-26,1.02,161438.17,87214.58,28964.04,16624.25,28635.3,22384.1,4959.65,1291.55,conventional,2015,Columbus
36,2015-04-19,1.0,172913.44,80303.92,40370.03,26369.27,25870.22,20819.2,1861.68,3189.34,conventional,2015,Columbus
37,2015-04-12,1.07,129397.39,66513.95,28065.91,9955.72,24861.81,23837.01,840.46,184.34,conventional,2015,Columbus
38,2015-04-05,1.09,126109.82,67298.39,30313.37,9926.54,18571.52,17853.07,642.52,75.93,conventional,2015,Columbus
39,2015-03-29,0.96,139065.31,72473.25,25151.42,8711.76,32728.88,31416.0,937.48,375.4,conventional,2015,Columbus
40,2015-03-22,0.94,182625.49,101143.03,40165.62,24995.65,16321.19,9158.76,2691.96,4470.47,conventional,2015,Columbus
41,2015-03-15,1.01,149884.1,90582.35,27040.2,9632.1,22629.45,18487.57,3462.12,679.76,conventional,2015,Columbus
42,2015-03-08,0.95,141281.56,56323.87,37382.46,11404.82,36170.41,29553.3,5482.53,1134.58,conventional,2015,Columbus
43,2015-03-01,1.03,136795.35,55610.59,36034.55,25775.13,19375.08,13297.29,1837.6,4240.19,conventional,2015,Columbus
44,2015-02-22,1.09,114280.87,56131.64,26134.29,10603.51,21411.43,18266.69,2275.13,869.61,conventional,2015,Columbus
45,2015-02-15,1.05,106663.68,52221.93,20939.99,8939.85,24561.91,22104.1,1860.18,597.63,conventional,2015,Columbus
46,2015-02-08,0.96,128078.27,76792.99,23238.8,7652.85,20393.63,17859.26,1970.91,563.46,conventional,2015,Columbus
47,2015-02-01,0.87,216653.06,111171.46,59739.98,21795.64,23945.98,16360.12,3422.61,4163.25,conventional,2015,Columbus
48,2015-01-25,1.08,116995.68,53201.66,32775.08,7822.59,23196.35,21117.47,2057.45,21.43,conventional,2015,Columbus
49,2015-01-18,1.02,116450.21,55532.76,26458.99,7040.95,27417.51,24386.64,2962.41,68.46,conventional,2015,Columbus
50,2015-01-11,0.97,125742.48,64726.71,34844.49,7190.05,18981.23,16400.27,2458.67,122.29,conventional,2015,Columbus
51,2015-01-04,0.89,158638.04,80298.77,51860.47,7609.24,18869.56,16518.15,2132.21,219.2,conventional,2015,Columbus
0,2016-12-25,1.07,136733.12,54284.13,24334.73,1538.2,56576.06,55083.7,1459.35,33.01,conventional,2016,Columbus
1,2016-12-18,1.06,131322.27,55604.5,31791.33,2522.96,41403.48,38839.35,2461.41,102.72,conventional,2016,Columbus
2,2016-12-11,0.98,144354.95,79158.83,19836.1,1302.46,44057.56,41890.61,2155.38,11.57,conventional,2016,Columbus
3,2016-12-04,0.84,237639.3,108397.57,42477.66,5532.03,81232.04,76008.08,5158.75,65.21,conventional,2016,Columbus
