,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.8,1020390.64,494425.64,276556.76,84912.97,164495.27,136560.04,12277.7,15657.53,conventional,2015,DallasFtWorth
1,2015-12-20,0.82,928051.16,439792.68,257532.45,91158.34,139567.69,103511.91,10331.25,25724.53,conventional,2015,DallasFtWorth
2,2015-12-13,0.79,980891.18,476178.99,319789.56,62436.8,122485.83,114978.22,7472.99,34.62,conventional,2015,DallasFtWorth
3,2015-12-06,0.74,1054849.97,514160.41,412692.22,8533.47,119463.87,108772.12,10525.27,166.48,conventional,2015,DallasFtWorth
4,2015-11-29,0.8,839818.87,477944.48,244879.52,6211.5,110783.37,96799.4,13967.44,16.53,conventional,2015,DallasFtWorth
5,2015-11-22,0.78,885067.49,494872.79,264820.58,9913.68,115460.44,102317.99,13138.76,3.69,conventional,2015,DallasFtWorth
6,2015-11-15,0.71,1040439.71,642897.96,263132.27,10305.52,124103.96,109552.23,14527.64,24.09,conventional,2015,DallasFtWorth
7,2015-11-08,0.8,977717.36,563069.05,278244.62,33026.94,103376.75,92853.6,10364.96,158.19,conventional,2015,DallasFtWorth
8,2015-11-01,0.78,1114177.66,546040.25,376913.25,85323.07,105901.09,98097.43,7644.9,158.76,conventional,2015,DallasFtWorth
9,2015-10-25,0.86,1010394.81,557469.46,301143.5,49959.1,101822.75,96417.63,5279.41,125.71,conventional,2015,DallasFtWorth
10,2015-10-18,0.83,992983.76,570732.49,266044.08,61892.18,94315.01,87201.1,7044.44,69.47,conventional,2015,DallasFtWorth
11,2015-10-11,0.81,1100679.15,543166.98,349743.64,99900.94,107867.59,101828.12,5967.19,72.28,conventional,2015,DallasFtWorth
12,2015-10-04,0.82,1104602.14,491729.14,439095.32,50993.14,122784.54,107305.26,15396.93,82.35,conventional,2015,DallasFtWorth
13,2015-09-27,0.84,1063583.86,533088.33,390554.54,25647.49,114293.5,101477.9,12776.1,39.5,conventional,2015,DallasFtWorth
14,2015-09-20,0.77,1155212.67,606586.38,425539.41,10973.08,112113.8,99272.95,12833.33,7.52,conventional,2015,DallasFtWorth
15,2015-09-13,0.86,1212585.41,564967.74,494078.53,9094.89,144444.25,119755.29,24666.41,22.55,conventional,2015,DallasFtWorth
16,2015-09-06,0.84,1270739.69,626166.71,505568.94,9815.66,129188.38,120588.01,8581.65,18.72,conventional,2015,DallasFtWorth
17,2015-08-30,0.82,1101680.91,674670.89,309275.19,7468.25,110266.58,101093.6,9171.11,1.87,conventional,2015,DallasFtWorth
18,2015-08-23,0.85,1120172.03,679440.88,321325.08,8261.74,111144.33,102621.57,8502.23,20.53,conventional,2015,DallasFtWorth
19,2015-08-16,0.88,1122668.33,718594.72,287298.98,7090.26,109684.37,100806.9,8864.44,13.03,conventional,2015,DallasFtWorth
20,2015-08-09,0.85,1124259.51,674531.14,332173.47,7793.22,109761.68,101618.63,8139.34,3.71,conventional,2015,DallasFtWorth
21,2015-08-02,0.87,1067498.21,705846.27,253860.7,4688.24,103103.0,91893.62,11209.38,0.0,conventional,2015,DallasFtWorth
22,2015-07-26,0.8,1191310.92,661845.98,406523.56,6417.32,116524.06,97727.08,18793.29,3.69,conventional,2015,DallasFtWorth
23,2015-07-19,0.82,1186878.88,684455.16,364124.15,4970.49,133329.08,115942.32,17379.41,7.35,conventional,2015,DallasFtWorth
24,2015-07-12,0.82,1144448.23,713425.63,319277.99,4382.19,107362.42,102573.93,4008.88,779.61,conventional,2015,DallasFtWorth
