,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.98,625475.1,93034.2,246747.13,19103.69,266590.08,38620.02,227884.21,85.85,conventional,2015,Denver
1,2015-12-20,1.05,528944.54,113403.55,188263.2,24477.83,202799.96,34993.02,167806.94,0.0,conventional,2015,Denver
2,2015-12-13,0.83,741702.5,96222.34,321764.32,29349.34,294366.5,34244.4,260040.92,81.18,conventional,2015,Denver
3,2015-12-06,0.76,838225.19,111259.34,378124.28,8807.96,340033.61,35086.04,304844.07,103.5,conventional,2015,Denver
4,2015-11-29,1.12,429109.64,85241.45,179982.42,14146.28,149739.49,31920.41,117819.08,0.0,conventional,2015,Denver
5,2015-11-22,0.85,724865.72,100047.56,323796.5,18215.73,282805.93,31358.6,251447.33,0.0,conventional,2015,Denver
6,2015-11-15,0.82,925618.09,98269.82,428998.81,20029.1,378320.36,36279.71,342040.65,0.0,conventional,2015,Denver
7,2015-11-08,0.93,690633.88,113964.9,354454.62,12294.0,209920.36,39635.83,170279.53,5.0,conventional,2015,Denver
8,2015-11-01,0.82,831994.43,140330.11,446007.8,8551.05,237105.47,41633.91,195471.56,0.0,conventional,2015,Denver
9,2015-10-25,0.93,735206.51,106239.17,393920.63,11222.0,223824.71,39914.62,183910.09,0.0,conventional,2015,Denver
10,2015-10-18,0.87,805437.95,117059.41,435491.56,13693.47,239193.51,41688.37,197487.51,17.63,conventional,2015,Denver
11,2015-10-11,0.9,775976.51,108538.74,432102.05,18840.69,216495.03,40462.27,176032.76,0.0,conventional,2015,Denver
12,2015-10-04,1.02,678935.84,101712.18,364774.25,27621.71,184827.7,41345.58,143474.53,7.59,conventional,2015,Denver
13,2015-09-27,0.97,694871.74,119089.66,386987.12,15285.72,173509.24,43108.21,130401.03,0.0,conventional,2015,Denver
14,2015-09-20,0.98,760083.16,85382.01,461272.5,25529.99,187898.66,40644.98,147253.68,0.0,conventional,2015,Denver
15,2015-09-13,1.01,735436.91,115935.68,451936.38,17938.63,149626.22,47733.95,101892.27,0.0,conventional,2015,Denver
16,2015-09-06,1.09,729046.74,138154.55,420365.75,19090.66,151435.78,47833.83,103601.95,0.0,conventional,2015,Denver
17,2015-08-30,1.14,721703.83,119849.97,421032.49,19353.95,161467.42,43991.55,117475.87,0.0,conventional,2015,Denver
18,2015-08-23,1.2,598195.03,135261.61,318115.81,21420.3,123397.31,45407.51,77989.8,0.0,conventional,2015,Denver
19,2015-08-16,1.17,648148.15,157630.43,348863.51,18154.64,123499.57,46710.57,76789.0,0.0,conventional,2015,Denver
20,2015-08-09,1.09,669377.04,131770.05,377129.38,24025.84,136451.77,46596.12,89855.65,0.0,conventional,2015,Denver
21,2015-08-02,1.05,727916.83,153498.68,423519.88,16711.0,134187.27,45644.8,88542.47,0.0,conventional,2015,Denver
22,2015-07-26,1.18,703672.69,138942.76,376355.19,25777.83,162596.91,58753.1,103843.81,0.0,conventional,2015,Denver
23,2015-07-19,1.1,857872.86,119266.12,513055.1,17089.18,208462.46,68585.03,139859.47,17.96,conventional,2015,Denver
24,2015-07-12,1.18,738933.68,123673.43,423853.38,22068.15,169338.72,66816.09,101611.95,910.68,conventional,2015,Denver
25,2015-07-05,1.19,736913.15,146171.45,428389.18,19546.92,142805.6,88349.57,54456.03,0.0,conventional,2015,Denver
26,2015-06-28,1.2,696697.65,162885.58,362226.14,18449.63,153136.3,93206.17,59917.38,12.75,conventional,2015,Denver
27,2015-06-21,1.16,730826.79,184206.21,405469.62,12854.03,128296.93,83581.46,44715.47,0.0,conventional,2015,Denver
28,2015-06-14,1.16,743005.75,194447.12,401133.25,17694.15,129731.23,79508.59,50222.64,0.0,conventional,2015,Denver
29,2015-06-07,1.11,782886.63,167992.06,439309.16,17507.3,158078.11,70061.87,88016.24,0.0,conventional,2015,Denver
30,2015-05-31,1.26,600377.94,127747.5,365471.2,18725.02,88434.22,52816.05,35618.17,0.0,conventional,2015,Denver
31,2015-05-24,1.16,657593.22,198187.29,369924.19,18817.6,70664.14,50060.32,20603.82,0.0,conventional,2015,Denver
32,2015-05-17,1.21,592588.01,156010.24,305200.86,17377.87,113999.04,50687.72,63311.32,0.0,conventional,2015,Denver
33,2015-05-10,1.08,735145.02,148762.57,454026.16,16724.31,115631.98,49343.56,66285.96,2.46,conventional,2015,Denver
34,2015-05-03,1.01,781496.4,182975.49,485743.46,14810.14,97967.31,45163.77,52803.54,0.0,conventional,2015,Denver
35,2015-04-26,1.19,620827.49,160372.05,381779.34,5981.19,72694.91,44469.33,27221.41,1004.17,conventional,2015,Denver
36,2015-04-19,1.08,797021.22,129744.18,544167.43,6231.67,116877.94,44279.02,72598.92,0.0,conventional,2015,Denver
37,2015-04-12,1.05,858680.51,176304.23,574793.28,8603.75,98979.25,42716.25,56263.0,0.0,conventional,2015,Denver
38,2015-04-05,1.19,645727.95,156966.84,396449.92,6308.61,86002.58,53589.8,31483.61,929.17,conventional,2015,Denver
39,2015-03-29,1.11,627546.3,160679.31,371990.15,4760.21,90116.63,55936.09,34180.54,0.0,conventional,2015,Denver
40,2015-03-22,1.15,603112.11,131881.99,380284.5,8461.12,82484.5,47368.3,35116.2,0.0,conventional,2015,Denver
41,2015-03-15,1.03,662131.8,160422.27,403060.76,5122.11,93526.66,50621.03,42905.63,0.0,conventional,2015,Denver
42,2015-03-08,1.03,719792.51,118578.11,491584.39,7264.83,102365.18,54092.42,48272.76,0.0,conventional,2015,Denver
43,2015-03-01,1.03,670820.5,101528.39,487873.51,5507.38,75911.22,38246.75,37664.47,0.0,conventional,2015,Denver
44,2015-02-22,1.0,899302.8,153410.25,584093.63,5686.33,156112.59,62564.22,93534.16,14.21,conventional,2015,Denver
45,2015-02-15,1.12,629074.28,116907.81,404107.32,7797.57,100261.58,80270.81,19965.51,25.26,conventional,2015,Denver
46,2015-02-08,0.95,766576.39,153584.14,466313.49,5420.92,141257.84,92800.41,48427.25,30.18,conventional,2015,Denver
47,2015-02-01,0.93,990211.57,217715.85,608156.34,5736.45,158602.93,90555.95,68006.59,40.39,conventional,2015,Denver
48,2015-01-25,1.02,695658.81,140914.23,422434.82,4944.79,127364.97,74743.6,52611.95,9.42,conventional,2015,Denver
49,2015-01-18,0.99,808194.41,151976.7,500683.5,4225.31,151308.9,77528.06,73764.68,16.16,conventional,2015,Denver
50,2015-01-11,1.09,666579.35,110974.25,427723.2,5357.69,122524.21,85793.27,36703.98,26.96,conventional,2015,Denver
51,2015-01-04,0.99,668086.0,117454.09,429518.41,5553.6,115559.9,67894.33,47661.52,4.05,conventional,2015,Denver
0,2016-12-25,1.04,765511.4,123942.37,206365.38,15600.07,419603.58,267985.33,151602.51,15.74,conventional,2016,Denver
