,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.08,255499.7,83097.26,50545.78,59789.18,62067.48,48936.21,762.35,12368.92,conventional,2015,Detroit
1,2015-12-20,1.1,250436.24,110507.5,42663.06,45459.85,51805.83,40496.17,2931.68,8377.98,conventional,2015,Detroit
2,2015-12-13,1.05,275587.85,132206.07,38088.87,47788.47,57504.44,48318.35,2843.43,6342.66,conventional,2015,Detroit
3,2015-12-06,0.98,339797.19,92957.56,78805.63,113791.21,54242.79,30612.06,885.86,22744.87,conventional,2015,Detroit
4,2015-11-29,1.11,228427.08,84236.03,38244.11,63664.14,42282.8,31628.56,920.38,9733.86,conventional,2015,Detroit
5,2015-11-22,1.09,270529.34,95526.76,55945.23,63404.02,55653.33,47388.76,1257.23,7007.34,conventional,2015,Detroit
6,2015-11-15,1.1,248933.35,88132.72,35472.8,52490.9,72836.93,65345.24,1141.32,6350.37,conventional,2015,Detroit
7,2015-11-08,1.03,343645.67,103367.05,72647.24,113928.21,53703.17,30614.89,734.95,22353.33,conventional,2015,Detroit
8,2015-11-01,1.04,340746.59,112432.15,67252.29,104529.5,56532.65,35176.99,1106.6,20249.06,conventional,2015,Detroit
9,2015-10-25,1.17,251336.74,84318.99,49927.69,74327.91,42762.15,30131.74,727.93,11902.48,conventional,2015,Detroit
10,2015-10-18,0.97,358143.26,117479.44,97788.02,72553.22,70322.58,63143.78,823.99,6354.81,conventional,2015,Detroit
11,2015-10-11,0.99,362400.65,110374.23,105188.14,72960.79,73877.49,68721.34,1222.93,3933.22,conventional,2015,Detroit
12,2015-10-04,1.1,286400.89,81617.68,60336.35,90271.45,54175.41,40779.28,1039.04,12357.09,conventional,2015,Detroit
13,2015-09-27,1.17,257472.31,88573.56,43702.48,78776.6,46419.67,33816.62,1081.83,11521.22,conventional,2015,Detroit
14,2015-09-20,1.0,373545.23,129945.11,71335.62,111298.27,60966.23,38180.88,839.26,21946.09,conventional,2015,Detroit
15,2015-09-13,1.03,401472.63,151274.05,73572.68,106452.77,70173.13,51456.91,1329.55,17386.67,conventional,2015,Detroit
16,2015-09-06,1.09,336982.39,143927.73,51351.12,79770.33,61933.21,49676.97,1237.68,11018.56,conventional,2015,Detroit
17,2015-08-30,0.96,422762.9,177827.49,75478.01,100520.31,68937.09,52515.07,1066.62,15355.4,conventional,2015,Detroit
18,2015-08-23,1.11,267968.5,114208.75,36663.35,61914.67,55181.73,45741.01,2154.69,7286.03,conventional,2015,Detroit
19,2015-08-16,0.97,400251.59,113822.13,86783.96,125069.99,74575.51,53326.63,1573.3,19675.58,conventional,2015,Detroit
20,2015-08-09,1.07,341289.98,136799.68,56896.42,80145.92,67447.96,54938.34,1471.57,11038.05,conventional,2015,Detroit
21,2015-08-02,1.04,364735.69,157018.49,58592.28,76533.58,72591.34,63454.14,1676.31,7460.89,conventional,2015,Detroit
22,2015-07-26,0.99,326233.8,119084.73,38501.17,63099.7,105548.2,98037.18,2518.38,4992.64,conventional,2015,Detroit
23,2015-07-19,1.04,370830.93,125844.19,66223.96,105281.52,73481.26,61402.16,2038.49,10040.61,conventional,2015,Detroit
24,2015-07-12,1.02,310049.5,127995.39,36569.66,62708.05,82776.4,76701.28,1977.04,4098.08,conventional,2015,Detroit
25,2015-07-05,1.06,373691.57,140339.02,62718.27,96051.18,74583.1,66416.56,1849.74,6316.8,conventional,2015,Detroit
26,2015-06-28,1.0,329753.61,135230.94,30175.61,48618.79,115728.27,111301.27,2126.05,2300.95,conventional,2015,Detroit
27,2015-06-21,0.97,424580.52,133405.45,87075.84,121664.66,82434.57,70155.32,2831.82,9447.43,conventional,2015,Detroit
28,2015-06-14,1.04,372413.5,136802.87,58418.17,90747.55,86444.91,80661.4,1786.01,3997.5,conventional,2015,Detroit
29,2015-06-07,0.97,447813.52,153214.87,87106.49,131114.3,76377.86,61921.23,1180.76,13275.87,conventional,2015,Detroit
30,2015-05-31,1.09,324400.67,162243.06,28903.88,53233.66,80020.07,74758.21,797.64,4464.22,conventional,2015,Detroit
31,2015-05-24,1.03,373245.43,193348.39,34774.04,46503.59,98619.41,94585.49,715.81,3318.11,conventional,2015,Detroit
32,2015-05-17,0.95,495155.82,214237.95,98513.1,116503.88,65900.89,53494.15,591.25,11815.49,conventional,2015,Detroit
33,2015-05-10,1.11,360917.96,177872.77,42422.72,48825.24,91797.23,87986.35,1880.03,1930.85,conventional,2015,Detroit
34,2015-05-03,1.06,374659.88,161288.26,71919.54,74593.79,66858.29,60634.57,785.52,5438.2,conventional,2015,Detroit
35,2015-04-26,1.01,361243.2,133322.95,61051.45,66651.75,100217.05,93903.26,1475.78,4838.01,conventional,2015,Detroit
36,2015-04-19,0.96,468643.05,140434.29,139016.06,107930.54,81262.16,68265.07,4057.84,8939.25,conventional,2015,Detroit
37,2015-04-12,1.02,271182.01,96441.78,24663.5,43008.11,107068.62,101770.1,2451.53,2846.99,conventional,2015,Detroit
38,2015-04-05,1.11,295385.41,113210.53,62859.83,49925.6,69389.45,65997.82,1999.07,1392.56,conventional,2015,Detroit
39,2015-03-29,0.97,304048.16,120782.43,28182.89,38352.45,116730.39,113016.39,2415.87,1298.13,conventional,2015,Detroit
40,2015-03-22,0.97,455372.43,138397.72,109057.9,144745.74,63171.07,44419.39,754.44,17997.24,conventional,2015,Detroit
41,2015-03-15,1.13,254974.87,107980.24,31613.46,48302.85,67078.32,62158.56,1375.92,3543.84,conventional,2015,Detroit
42,2015-03-08,1.01,278695.29,97420.1,29942.92,46763.06,104569.21,99704.49,473.7,4391.02,conventional,2015,Detroit
43,2015-03-01,0.97,397899.56,97605.68,101935.17,129285.88,69072.83,50732.68,1144.16,17195.99,conventional,2015,Detroit
44,2015-02-22,1.15,250888.8,99207.09,34703.33,46471.63,70506.75,66789.41,267.65,3449.69,conventional,2015,Detroit
45,2015-02-15,1.16,255597.63,100594.59,31170.09,41639.69,82193.26,78474.19,676.16,3042.91,conventional,2015,Detroit
46,2015-02-08,1.11,268195.87,129910.26,35996.84,40515.81,61772.96,57777.05,1023.87,2972.04,conventional,2015,Detroit
47,2015-02-01,0.92,539750.77,205775.28,136119.82,127173.89,70681.78,54003.36,688.47,15989.95,conventional,2015,Detroit
48,2015-01-25,1.19,277325.29,110113.35,47558.4,45889.29,73764.25,69311.52,1280.03,3172.7,conventional,2015,Detroit
49,2015-01-18,1.1,291788.43,113616.86,45446.17,37740.18,94985.22,92319.38,1066.01,1599.83,conventional,2015,Detroit
50,2015-01-11,1.08,332165.05,108378.69,90104.73,76985.0,56696.63,48639.13,620.82,7436.68,conventional,2015,Detroit
51,2015-01-04,1.01,369694.27,121634.27,117865.11,74062.76,56132.13,46679.86,1060.51,8391.76,conventional,2015,Detroit
0,2016-12-25,1.06,319957.45,89825.0,59758.69,7121.96,163251.8,161040.94,2191.64,19.22,conventional,2016,Detroit
1,2016-12-18,1.05,298755.3,82536.6,85859.26,10805.16,119554.28,117398.2,2071.85,84.23,conventional,2016,Detroit
2,2016-12-11,0.95,333109.65,135589.71,44003.6,5245.09,148271.25,145974.91,2039.21,257.13,conventional,2016,Detroit
3,2016-12-04,0.81,545216.52,156549.99,173437.9,22752.47,192476.16,188722.8,3634.98,118.38,conventional,2016,Detroit
4,2016-11-27,1.18,262530.31,86557.85,47554.19,4974.63,123443.64,121146.63,2289.93,7.08,conventional,2016,Detroit
5,2016-11-20,1.35,243576.96,76104.87,46523.68,5327.53,115620.88,114230.31,1381.66,8.91,conventional,2016,Detroit
6,2016-11-13,1.39,236523.09,78974.4,43868.31,5687.17,107993.21,107105.62,873.33,14.26,conventional,2016,Detroit
7,2016-11-06,1.4,231422.37,80604.72,46242.75,5688.67,98886.23,97805.5,1073.59,7.14,conventional,2016,Detroit
8,2016-10-30,1.4,193940.78,75576.83,41553.71,4805.57,72004.67,70936.81,1058.93,8.93,conventional,2016,Detroit
9,2016-10-23,1.35,227233.92,84500.57,51517.1,8023.49,83192.76,80684.45,2492.26,16.05,conventional,2016,Detroit
10,2016-10-16,1.26,256744.34,83560.9,51486.24,6767.11,114930.09,112344.57,2581.96,3.56,conventional,2016,Detroit
11,2016-10-09,1.27,253886.8,85266.6,50763.68,6966.14,110890.38,104611.95,6147.48,130.95,conventional,2016,Detroit
12,2016-10-02,1.25,266892.47,83699.68,49320.17,7837.66,126034.96,118414.21,7604.7,16.05,conventional,2016,Detroit
13,2016-09-25,1.24,274937.38,89632.07,50863.12,8202.35,126239.84,124695.62,1542.45,1.77,conventional,2016,Detroit
14,2016-09-18,1.1,320748.32,105595.83,53981.52,8602.38,152568.59,147793.11,4601.38,174.1,conventional,2016,Detroit
15,2016-09-11,1.09,339890.13,123013.74,57728.78,10905.57,148242.04,143846.64,4395.4,0.0,conventional,2016,Detroit
16,2016-09-04,1.08,326335.52,119899.31,56047.32,11880.35,138508.54,138186.39,287.05,35.1,conventional,2016,Detroit
17,2016-08-28,1.01,353420.52,123353.98,54190.11,10761.35,165115.08,164229.27,533.04,352.77,conventional,2016,Detroit
18,2016-08-21,1.15,316859.74,121469.45,53707.3,13151.78,128531.21,127061.88,108.89,1360.44,conventional,2016,Detroit
19,2016-08-14,1.08,367007.17,127204.13,53136.76,15900.17,170766.11,168988.87,1081.03,696.21,conventional,2016,Detroit
20,2016-08-07,1.13,352764.25,127164.35,60621.61,20552.56,144425.73,124979.56,18669.46,776.71,conventional,2016,Detroit
21,2016-07-31,1.16,340176.41,133525.93,51178.25,23139.38,132332.85,122542.75,5808.23,3981.87,conventional,2016,Detroit
22,2016-07-24,1.15,354577.28,133984.58,39970.66,40559.67,140062.37,111538.67,10056.37,18467.33,conventional,2016,Detroit
23,2016-07-17,1.17,328237.93,126817.85,41460.73,41888.34,118071.01,100212.75,906.85,16951.41,conventional,2016,Detroit
24,2016-07-10,1.18,311241.09,117420.11,41580.84,38634.53,113605.61,82669.6,14996.21,15939.8,conventional,2016,Detroit
25,2016-07-03,1.17,336701.66,127175.1,42029.92,37960.27,129536.37,113573.12,2084.25,13879.0,conventional,2016,Detroit
26,2016-06-26,1.13,344391.38,116197.85,50835.79,57169.98,120187.76,101180.43,242.82,18764.51,conventional,2016,Detroit
27,2016-06-19,1.0,442961.17,149055.97,60807.9,75225.17,157872.13,130698.09,1731.45,25442.59,conventional,2016,Detroit
28,2016-06-12,0.98,414532.49,162656.29,38374.42,38384.9,175116.88,160647.51,1915.84,12553.53,conventional,2016,Detroit
29,2016-06-05,0.92,473131.2,121769.89,90921.04,123670.88,136769.39,94467.61,3849.16,38452.62,conventional,2016,Detroit
30,2016-05-29,1.04,348557.33,127403.87,45533.0,38082.17,137538.29,122656.94,4439.52,10441.83,conventional,2016,Detroit
31,2016-05-22,1.07,303330.62,118921.39,40268.68,35077.81,109062.74,94755.66,4350.37,9956.71,conventional,2016,Detroit
32,2016-05-15,0.86,485653.27,139497.99,86027.72,120894.82,139232.74,86915.56,16445.31,35871.87,conventional,2016,Detroit
33,2016-05-08,0.96,500424.55,168696.93,84169.69,107930.15,139627.78,91310.2,21053.46,27264.12,conventional,2016,Detroit
34,2016-05-01,1.0,319391.58,109542.32,48135.67,46048.82,115664.77,97920.55,6527.68,11216.54,conventional,2016,Detroit
35,2016-04-24,1.0,331109.85,116267.83,50906.17,45925.85,118010.0,102880.88,6973.0,8156.12,conventional,2016,Detroit
36,2016-04-17,0.97,447346.61,96173.74,116000.57,132061.08,103111.22,66168.66,6262.89,30679.67,conventional,2016,Detroit
37,2016-04-10,1.03,312995.88,126215.49,30729.07,44982.2,111069.12,92085.27,10172.56,8811.29,conventional,2016,Detroit
38,2016-04-03,1.02,335108.11,121653.22,33903.57,72329.16,107222.16,65916.23,27480.29,13825.64,conventional,2016,Detroit
39,2016-03-27,1.05,378431.9,80333.46,65448.49,119488.87,113161.08,55446.34,37647.04,20067.7,conventional,2016,Detroit
