,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.13,147713.85,2992.62,101109.84,5754.75,37856.64,30738.09,2919.24,4199.31,conventional,2015,GrandRapids
1,2015-12-20,1.13,126262.26,2630.11,85259.91,3211.51,35160.73,30547.62,2288.36,2324.75,conventional,2015,GrandRapids
2,2015-12-13,1.24,117645.69,3809.88,69582.68,3264.07,40989.06,38257.02,2231.37,500.67,conventional,2015,GrandRapids
3,2015-12-06,0.93,217174.66,4026.57,165454.45,15635.86,32057.78,26570.4,1560.59,3926.79,conventional,2015,GrandRapids
4,2015-11-29,1.12,120552.43,3726.77,82760.11,3336.97,30728.58,27835.71,2816.43,76.44,conventional,2015,GrandRapids
5,2015-11-22,1.11,140981.22,3734.97,94794.75,5725.81,36725.69,33606.78,2327.22,791.69,conventional,2015,GrandRapids
6,2015-11-15,1.2,129448.75,3490.77,74695.44,2506.31,48756.23,47301.23,1427.26,27.74,conventional,2015,GrandRapids
7,2015-11-08,0.93,198257.69,3970.87,149876.75,7556.57,36853.5,34956.27,1819.27,77.96,conventional,2015,GrandRapids
8,2015-11-01,0.91,205592.1,3731.64,147281.28,8605.43,45973.75,43392.69,1757.12,823.94,conventional,2015,GrandRapids
9,2015-10-25,1.14,134921.44,3899.73,86434.9,9431.21,35155.6,30487.72,3036.22,1631.66,conventional,2015,GrandRapids
10,2015-10-18,0.94,184806.99,3821.47,118521.96,17329.17,45134.39,40257.54,1830.77,3046.08,conventional,2015,GrandRapids
11,2015-10-11,0.97,198769.54,3638.99,106363.84,49279.06,39487.65,21799.3,2155.38,15532.97,conventional,2015,GrandRapids
12,2015-10-04,0.99,160322.48,3241.7,102316.58,18103.36,36660.84,29446.94,2198.98,5014.92,conventional,2015,GrandRapids
13,2015-09-27,1.15,137849.61,2977.77,87274.97,13024.28,34572.59,28888.74,1913.24,3770.61,conventional,2015,GrandRapids
14,2015-09-20,0.88,244696.01,3612.73,177686.12,9651.55,53745.61,51686.05,1815.57,243.99,conventional,2015,GrandRapids
15,2015-09-13,0.95,219380.93,4113.5,143018.46,20439.94,51809.03,43865.37,2851.68,5091.98,conventional,2015,GrandRapids
16,2015-09-06,1.09,170309.3,3673.53,111964.57,6016.37,48654.83,45108.48,3486.89,59.46,conventional,2015,GrandRapids
17,2015-08-30,0.91,226898.73,3931.2,152332.2,16719.44,53915.89,48562.08,2309.09,3044.72,conventional,2015,GrandRapids
18,2015-08-23,1.28,128681.94,4847.16,72826.86,5459.79,45548.13,40204.96,4716.36,626.81,conventional,2015,GrandRapids
19,2015-08-16,0.89,268902.14,5134.58,177609.75,20395.04,65762.77,55316.85,6674.12,3771.8,conventional,2015,GrandRapids
20,2015-08-09,1.08,186733.16,4807.41,120579.39,8389.85,52956.51,49559.83,3294.27,102.41,conventional,2015,GrandRapids
21,2015-08-02,1.05,184067.49,4122.95,109853.88,10359.57,59731.09,55048.69,4030.14,652.26,conventional,2015,GrandRapids
22,2015-07-26,1.12,153868.79,3192.59,66065.84,9957.92,74652.44,69267.05,4085.24,1300.15,conventional,2015,GrandRapids
23,2015-07-19,1.05,215736.47,2680.7,122122.69,29478.33,61454.75,52697.22,3806.21,4951.32,conventional,2015,GrandRapids
24,2015-07-12,1.19,153112.84,4663.59,66045.81,9833.58,72569.86,66368.31,4901.72,1299.83,conventional,2015,GrandRapids
25,2015-07-05,1.16,202842.97,2709.26,109357.57,34986.3,55789.84,44032.97,5692.28,6064.59,conventional,2015,GrandRapids
26,2015-06-28,1.1,155972.38,3089.5,55014.27,9941.32,87927.29,80548.8,5044.35,2334.14,conventional,2015,GrandRapids
27,2015-06-21,0.96,265555.66,2552.14,167585.16,32903.12,62515.24,53623.47,4943.16,3948.61,conventional,2015,GrandRapids
28,2015-06-14,1.07,197387.76,4446.1,116392.81,4934.17,71614.68,67207.35,4401.93,5.4,conventional,2015,GrandRapids
29,2015-06-07,1.14,212599.11,6926.42,134230.11,10407.58,61035.0,55432.55,4067.09,1535.36,conventional,2015,GrandRapids
30,2015-05-31,1.31,167907.51,7097.0,90411.8,3360.05,67038.66,64208.38,2794.35,35.93,conventional,2015,GrandRapids
31,2015-05-24,1.3,158917.21,7888.33,74169.01,3111.69,73748.18,69048.81,4663.55,35.82,conventional,2015,GrandRapids
32,2015-05-17,0.97,277502.12,5515.43,202939.01,12421.42,56626.26,52456.3,3991.49,178.47,conventional,2015,GrandRapids
33,2015-05-10,1.36,159642.82,7383.85,84947.73,3817.57,63493.67,59129.49,4335.74,28.44,conventional,2015,GrandRapids
34,2015-05-03,1.06,238550.81,6301.92,176717.87,6727.83,48803.19,46862.74,1898.03,42.42,conventional,2015,GrandRapids
35,2015-04-26,1.09,189609.49,4480.46,105590.91,6421.76,73116.36,68758.56,4305.08,52.72,conventional,2015,GrandRapids
36,2015-04-19,0.93,310672.4,5547.29,217323.81,15023.71,72777.59,68697.84,3761.98,317.77,conventional,2015,GrandRapids
37,2015-04-12,1.13,147494.24,5875.73,66804.31,2717.16,72097.04,68693.55,3377.45,26.04,conventional,2015,GrandRapids
38,2015-04-05,1.22,157721.54,4487.21,92044.84,5487.61,55701.88,50462.56,5165.79,73.53,conventional,2015,GrandRapids
39,2015-03-29,1.11,149631.24,1977.68,63600.68,3003.97,81048.91,75725.67,5299.2,24.04,conventional,2015,GrandRapids
40,2015-03-22,0.91,311876.75,1930.32,231211.7,19097.99,59636.74,57118.41,2105.9,412.43,conventional,2015,GrandRapids
41,2015-03-15,1.35,123895.07,1621.03,69452.53,4214.32,48607.19,45347.61,3244.22,15.36,conventional,2015,GrandRapids
42,2015-03-08,1.08,146835.6,1783.51,68592.44,3903.17,72556.48,69329.04,3169.54,57.9,conventional,2015,GrandRapids
43,2015-03-01,0.95,263987.21,1355.2,182093.72,26454.42,54083.87,47217.11,3519.09,3347.67,conventional,2015,GrandRapids
44,2015-02-22,1.31,129295.86,1593.4,69934.93,4894.78,52872.75,48858.06,3767.48,247.21,conventional,2015,GrandRapids
45,2015-02-15,1.21,136761.35,1659.05,67025.59,4215.01,63861.7,57601.99,6203.39,56.32,conventional,2015,GrandRapids
46,2015-02-08,1.24,132621.01,1155.67,74113.5,4855.23,52496.61,48150.41,4209.37,136.83,conventional,2015,GrandRapids
47,2015-02-01,0.94,309471.69,1621.68,240215.65,19211.54,48422.82,43899.75,4377.27,145.8,conventional,2015,GrandRapids
48,2015-01-25,1.19,144301.73,1112.09,78092.72,6374.01,58722.91,54053.21,4552.75,116.95,conventional,2015,GrandRapids
49,2015-01-18,1.07,150201.39,970.13,78433.37,6411.99,64385.9,60381.95,3727.81,276.14,conventional,2015,GrandRapids
50,2015-01-11,1.03,185135.41,972.96,127984.25,13798.9,42379.3,39193.44,2896.97,288.89,conventional,2015,GrandRapids
51,2015-01-04,0.95,258979.63,1097.0,189348.6,22612.46,45921.57,43899.46,1097.68,924.43,conventional,2015,GrandRapids
0,2016-12-25,1.33,149348.88,1345.56,91323.33,3768.64,52911.35,47453.6,5227.71,230.04,conventional,2016,GrandRapids
1,2016-12-18,1.14,161136.65,908.23,109288.75,4631.16,46308.51,42335.09,3947.09,26.33,conventional,2016,GrandRapids
2,2016-12-11,1.2,128166.44,1044.89,60598.79,2268.01,64254.75,58703.61,5538.87,12.27,conventional,2016,GrandRapids
3,2016-12-04,0.92,263904.24,1092.97,189101.7,9125.63,64583.94,61980.87,2547.12,55.95,conventional,2016,GrandRapids
4,2016-11-27,1.44,103697.69,1329.56,62173.5,2035.91,38158.72,34494.75,3626.4,37.57,conventional,2016,GrandRapids
5,2016-11-20,1.46,127392.78,1165.74,82541.69,2576.45,41108.9,39610.98,1472.27,25.65,conventional,2016,GrandRapids
6,2016-11-13,1.59,118566.57,1340.96,62841.77,2934.42,51449.42,50551.78,892.44,5.2,conventional,2016,GrandRapids
7,2016-11-06,1.67,100001.45,1858.84,58869.42,2785.71,36487.48,34753.44,1713.3,20.74,conventional,2016,GrandRapids
8,2016-10-30,1.42,107013.58,1991.45,80587.89,2821.22,21613.02,17160.23,4411.44,41.35,conventional,2016,GrandRapids
9,2016-10-23,1.72,100904.77,1234.72,64735.86,3120.36,31813.83,26017.7,5758.25,37.88,conventional,2016,GrandRapids
10,2016-10-16,1.63,117842.82,1510.9,69625.5,3811.2,42895.22,38573.86,4300.71,20.65,conventional,2016,GrandRapids
11,2016-10-09,1.62,116477.56,1531.38,67528.39,3408.67,44009.12,39395.64,4580.81,32.67,conventional,2016,GrandRapids
12,2016-10-02,1.6,122091.54,1617.76,67660.2,4166.81,48646.77,43757.18,4868.96,20.63,conventional,2016,GrandRapids
13,2016-09-25,1.55,137599.07,2757.72,75047.32,4714.89,55079.14,47569.38,7490.85,18.91,conventional,2016,GrandRapids
14,2016-09-18,1.49,139511.61,1406.64,82346.79,4837.74,50920.44,44436.27,6479.01,5.16,conventional,2016,GrandRapids
15,2016-09-11,1.58,136492.43,1710.59,76987.54,6085.4,51708.9,46524.9,5159.92,24.08,conventional,2016,GrandRapids
16,2016-09-04,1.52,142913.72,2698.76,79726.85,8313.96,52174.15,47210.76,4235.26,728.13,conventional,2016,GrandRapids
17,2016-08-28,1.45,143049.62,2477.85,68530.49,10744.95,61296.33,54347.32,4939.34,2009.67,conventional,2016,GrandRapids
18,2016-08-21,1.63,132894.77,2041.86,66472.24,18506.96,45873.71,39617.39,1742.09,4514.23,conventional,2016,GrandRapids
19,2016-08-14,1.53,147711.44,1835.81,61893.13,23661.83,60320.67,49618.78,3263.09,7438.8,conventional,2016,GrandRapids
20,2016-08-07,1.59,145207.86,2219.98,72545.05,19401.04,51041.79,42209.88,3446.15,5385.76,conventional,2016,GrandRapids
21,2016-07-31,1.6,142302.47,2218.73,78075.95,12112.22,49895.57,44479.98,3058.86,2356.73,conventional,2016,GrandRapids
22,2016-07-24,1.6,149002.57,2349.93,66146.5,26206.73,54299.41,40486.7,3842.5,9970.21,conventional,2016,GrandRapids
23,2016-07-17,1.58,146730.62,2136.76,69205.5,24890.18,50498.18,38583.22,3582.14,8332.82,conventional,2016,GrandRapids
24,2016-07-10,1.6,133747.66,1971.43,70502.43,21317.82,39955.98,25889.86,4005.05,10061.07,conventional,2016,GrandRapids
25,2016-07-03,1.49,159566.9,2334.7,79978.16,20020.38,57233.66,42381.97,4598.05,10253.64,conventional,2016,GrandRapids
26,2016-06-26,1.26,183547.1,2370.43,104539.76,14725.39,61911.52,49679.16,4816.94,7415.42,conventional,2016,GrandRapids
27,2016-06-19,1.26,216299.96,3034.67,130169.29,18998.81,64097.19,49222.23,4610.79,10264.17,conventional,2016,GrandRapids
28,2016-06-12,1.36,167703.13,3254.28,93760.09,2234.0,68454.76,62658.2,4765.73,1030.83,conventional,2016,GrandRapids
29,2016-06-05,0.93,310903.8,1814.45,218134.77,6825.69,84128.89,76847.62,6582.54,698.73,conventional,2016,GrandRapids
30,2016-05-29,1.32,193459.52,2079.99,117665.38,2496.3,71217.85,65724.71,5039.38,453.76,conventional,2016,GrandRapids
31,2016-05-22,1.31,151840.62,1949.63,84537.07,4986.35,60367.57,50741.23,7308.23,2318.11,conventional,2016,GrandRapids
32,2016-05-15,0.88,295706.69,1673.41,211337.24,6471.52,76224.52,67998.45,7823.6,402.47,conventional,2016,GrandRapids
33,2016-05-08,1.04,272057.12,1949.46,201017.01,5353.11,63737.54,56652.84,6645.68,439.02,conventional,2016,GrandRapids
34,2016-05-01,1.12,191903.31,1858.07,131194.43,3002.96,55847.85,49040.43,6737.08,70.34,conventional,2016,GrandRapids
35,2016-04-24,1.07,181857.18,2001.47,113325.77,3088.37,63441.57,55324.04,8087.07,30.46,conventional,2016,GrandRapids
