,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.01,2580602.96,336673.7,1411808.83,254629.93,577490.5,400003.8,98401.09,79085.61,conventional,2015,GreatLakes
1,2015-12-20,1.01,2504745.45,383701.76,1337404.03,241580.61,542059.05,358218.65,122999.48,60840.92,conventional,2015,GreatLakes
2,2015-12-13,1.03,2608448.06,463349.67,1342449.84,228576.54,574072.01,409909.7,148004.93,16157.38,conventional,2015,GreatLakes
3,2015-12-06,1.0,2981347.2,401676.14,1680591.43,398320.64,500758.99,325850.0,124306.44,50602.55,conventional,2015,GreatLakes
4,2015-11-29,1.07,2198408.92,318661.4,1199426.12,248818.72,431502.68,328369.47,83149.01,19984.2,conventional,2015,GreatLakes
5,2015-11-22,1.03,2601821.63,347803.29,1471865.16,280543.97,501609.21,391454.61,89472.08,20682.52,conventional,2015,GreatLakes
6,2015-11-15,1.09,2494044.41,342002.87,1322818.28,248635.49,580587.77,465154.46,99695.62,15737.69,conventional,2015,GreatLakes
7,2015-11-08,0.98,3184946.53,410061.0,1794703.2,425242.73,554939.6,365002.12,138161.32,51776.16,conventional,2015,GreatLakes
8,2015-11-01,1.0,3229124.75,436343.74,1825512.93,388703.05,578565.03,399665.31,133071.89,45827.83,conventional,2015,GreatLakes
9,2015-10-25,1.1,2671535.94,383559.81,1460066.36,331096.84,496812.93,335249.25,130933.76,30629.92,conventional,2015,GreatLakes
10,2015-10-18,1.03,2981549.94,396690.54,1695841.56,353741.96,535275.88,419558.97,92629.46,23087.45,conventional,2015,GreatLakes
11,2015-10-11,1.02,3004133.39,355508.86,1652244.4,456771.26,539608.87,384772.59,93016.17,61820.11,conventional,2015,GreatLakes
12,2015-10-04,1.05,2814678.93,296032.66,1632488.05,381986.61,504171.61,354840.13,106127.86,43203.62,conventional,2015,GreatLakes
13,2015-09-27,1.1,2770074.76,343271.52,1605775.14,344488.51,476539.59,327299.75,103091.55,46148.29,conventional,2015,GreatLakes
14,2015-09-20,1.02,3336245.24,460475.95,1887110.85,418235.21,570423.23,406010.16,109268.58,55144.49,conventional,2015,GreatLakes
15,2015-09-13,1.03,3532480.92,492741.15,1958150.0,447108.5,634481.27,448051.74,132685.58,53743.95,conventional,2015,GreatLakes
16,2015-09-06,1.07,3272555.01,432770.76,1876392.91,348448.68,614942.66,468148.29,121209.44,25584.93,conventional,2015,GreatLakes
17,2015-08-30,1.04,3388803.79,478858.03,1877733.21,419390.5,612822.05,457558.59,111788.68,43474.78,conventional,2015,GreatLakes
18,2015-08-23,1.14,2849127.29,404182.26,1596909.93,279710.88,568324.22,427635.3,122225.92,18463.0,conventional,2015,GreatLakes
19,2015-08-16,1.03,3653376.07,414756.68,2087149.52,475383.38,676086.49,486209.97,129683.8,60192.72,conventional,2015,GreatLakes
20,2015-08-09,1.12,3230139.65,420919.7,1839862.82,331336.66,638020.47,497895.48,115527.66,24597.33,conventional,2015,GreatLakes
21,2015-08-02,1.14,3162447.64,490577.01,1722754.95,321610.93,627504.75,500704.88,104570.86,22229.01,conventional,2015,GreatLakes
22,2015-07-26,1.1,3135698.38,475306.73,1616355.0,281882.1,762154.55,617211.53,127530.47,17412.55,conventional,2015,GreatLakes
23,2015-07-19,1.12,3436864.41,449090.82,1843047.36,454643.18,690083.05,535843.25,110898.39,43341.41,conventional,2015,GreatLakes
24,2015-07-12,1.14,3077237.12,456044.5,1617124.36,288141.07,715927.19,581802.24,120335.36,13789.59,conventional,2015,GreatLakes
