,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.16,173645.55,22694.58,98629.2,149.11,52172.66,51396.6,776.06,0.0,conventional,2015,HarrisburgScranton
1,2015-12-20,1.11,180186.23,24111.34,100758.01,158.29,55158.59,53929.04,1229.55,0.0,conventional,2015,HarrisburgScranton
2,2015-12-13,1.14,187058.65,27053.78,107144.99,229.97,52629.91,51752.86,877.05,0.0,conventional,2015,HarrisburgScranton
3,2015-12-06,1.1,171195.76,25260.16,99013.86,118.19,46803.55,46345.26,458.29,0.0,conventional,2015,HarrisburgScranton
4,2015-11-29,1.17,146103.34,23707.06,82015.89,110.54,40269.85,39640.65,629.2,0.0,conventional,2015,HarrisburgScranton
5,2015-11-22,1.16,162429.43,26601.95,85742.43,198.26,49886.79,47519.78,2367.01,0.0,conventional,2015,HarrisburgScranton
6,2015-11-15,1.09,189916.88,25483.85,113515.58,93.58,50823.87,46939.57,3884.3,0.0,conventional,2015,HarrisburgScranton
7,2015-11-08,1.09,214993.36,27837.88,137670.52,169.5,49315.46,47637.88,1677.58,0.0,conventional,2015,HarrisburgScranton
8,2015-11-01,1.13,219970.37,28916.15,140625.82,173.18,50255.22,49340.53,914.69,0.0,conventional,2015,HarrisburgScranton
9,2015-10-25,1.11,183276.68,27595.5,101618.92,185.61,53876.65,52569.78,1306.87,0.0,conventional,2015,HarrisburgScranton
10,2015-10-18,0.93,264223.22,27640.26,186372.86,408.03,49802.07,48878.61,923.46,0.0,conventional,2015,HarrisburgScranton
11,2015-10-11,1.05,225079.92,32042.53,137367.2,267.77,55402.42,53610.63,1791.79,0.0,conventional,2015,HarrisburgScranton
12,2015-10-04,1.16,188436.91,32554.49,95392.4,323.79,60166.23,59227.5,938.73,0.0,conventional,2015,HarrisburgScranton
13,2015-09-27,1.15,192478.26,30410.27,108385.85,294.6,53387.54,51731.16,1656.38,0.0,conventional,2015,HarrisburgScranton
14,2015-09-20,1.17,188314.24,31925.36,101200.97,279.75,54908.16,53988.59,919.57,0.0,conventional,2015,HarrisburgScranton
15,2015-09-13,1.07,254744.58,33047.61,170884.4,294.21,50518.36,48537.65,1980.71,0.0,conventional,2015,HarrisburgScranton
16,2015-09-06,1.19,225494.59,37453.63,128772.37,465.01,58803.58,57426.04,1344.61,32.93,conventional,2015,HarrisburgScranton
17,2015-08-30,1.18,219908.82,34595.95,125106.29,614.86,59591.72,57205.13,1779.77,606.82,conventional,2015,HarrisburgScranton
18,2015-08-23,1.1,222637.15,37213.9,128402.42,584.81,56436.02,54580.78,1140.14,715.1,conventional,2015,HarrisburgScranton
19,2015-08-16,1.09,247813.45,37089.49,161018.66,402.5,49302.8,48581.44,714.85,6.51,conventional,2015,HarrisburgScranton
20,2015-08-09,1.07,247575.06,40320.2,149595.95,510.58,57148.33,56333.05,815.28,0.0,conventional,2015,HarrisburgScranton
21,2015-08-02,1.1,242281.36,40387.93,143352.05,733.22,57808.16,56786.27,1018.67,3.22,conventional,2015,HarrisburgScranton
22,2015-07-26,1.17,225227.57,39346.13,123455.52,480.44,61945.48,60632.24,1271.5,41.74,conventional,2015,HarrisburgScranton
23,2015-07-19,1.19,229650.57,42405.8,119272.94,1020.51,66951.32,65842.25,1051.54,57.53,conventional,2015,HarrisburgScranton
24,2015-07-12,1.17,233638.96,42200.05,119798.85,2740.31,68899.75,67025.83,1705.19,168.73,conventional,2015,HarrisburgScranton
25,2015-07-05,1.19,275844.88,49829.42,142250.13,3215.99,80549.34,78409.83,1623.22,516.29,conventional,2015,HarrisburgScranton
26,2015-06-28,1.2,243537.29,42688.0,124701.97,2556.6,73590.72,70488.1,2376.23,726.39,conventional,2015,HarrisburgScranton
