,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.04,123096.09,4647.28,69384.73,11206.4,37857.68,20644.64,11524.06,5688.98,conventional,2015,Indianapolis
1,2015-12-20,1.1,116353.68,3702.2,67983.94,9327.71,35339.83,18144.63,12133.67,5061.53,conventional,2015,Indianapolis
2,2015-12-13,1.03,125342.89,4904.51,69984.32,11398.44,39055.62,21259.82,15580.08,2215.72,conventional,2015,Indianapolis
3,2015-12-06,0.92,145740.44,4067.0,89452.99,13570.12,38650.33,19365.92,17733.68,1550.73,conventional,2015,Indianapolis
4,2015-11-29,1.08,108444.41,3079.44,65254.08,10854.59,29256.3,17455.74,9975.21,1825.35,conventional,2015,Indianapolis
5,2015-11-22,1.11,115384.56,3979.57,68939.61,9639.94,32825.44,20313.48,11041.51,1470.45,conventional,2015,Indianapolis
6,2015-11-15,1.08,124218.61,3478.99,71346.37,12795.08,36598.17,22294.87,11753.19,2550.11,conventional,2015,Indianapolis
7,2015-11-08,0.96,147799.55,4337.57,84844.19,20220.42,38397.37,19246.38,15189.72,3961.27,conventional,2015,Indianapolis
8,2015-11-01,1.01,147459.62,5224.61,84968.04,16933.14,40333.83,20800.04,16206.13,3327.66,conventional,2015,Indianapolis
9,2015-10-25,1.02,151558.74,4333.17,89943.26,16586.3,40696.01,18548.38,19394.8,2752.83,conventional,2015,Indianapolis
10,2015-10-18,0.97,159463.52,4397.88,102117.87,12142.13,40805.64,24129.91,15546.0,1129.73,conventional,2015,Indianapolis
11,2015-10-11,1.1,128848.68,4270.64,75604.83,13860.26,35112.95,21300.25,11566.09,2246.61,conventional,2015,Indianapolis
12,2015-10-04,0.98,139679.01,3645.9,87385.31,13528.83,35118.97,18727.08,14546.97,1844.92,conventional,2015,Indianapolis
13,2015-09-27,1.04,139490.52,2961.25,85578.17,16176.43,34774.67,19742.24,12078.24,2954.19,conventional,2015,Indianapolis
14,2015-09-20,0.91,185962.59,3942.44,116683.58,24166.47,41170.1,18045.98,18135.33,4988.79,conventional,2015,Indianapolis
15,2015-09-13,0.87,201620.58,3668.07,130327.72,17967.91,49656.88,22010.51,24284.79,3361.58,conventional,2015,Indianapolis
16,2015-09-06,1.11,156608.28,3361.77,92568.64,16662.01,44015.86,25163.49,15845.63,3006.74,conventional,2015,Indianapolis
17,2015-08-30,1.17,147066.48,3709.1,86767.95,15531.08,41058.35,23305.32,15000.54,2752.49,conventional,2015,Indianapolis
18,2015-08-23,1.22,131935.23,4293.59,77251.43,10288.24,40101.97,23701.08,14786.36,1614.53,conventional,2015,Indianapolis
19,2015-08-16,1.14,160059.77,5270.74,90141.76,20017.79,44629.48,23010.0,17605.07,4014.41,conventional,2015,Indianapolis
20,2015-08-09,1.2,148384.89,3553.34,91631.6,12389.35,40810.6,24883.56,14289.69,1637.35,conventional,2015,Indianapolis
21,2015-08-02,1.21,151883.21,3914.24,94006.28,13847.9,40114.79,22812.1,14978.27,2324.42,conventional,2015,Indianapolis
22,2015-07-26,1.22,144476.44,3840.1,84797.31,7897.34,47941.69,27526.1,19119.03,1296.56,conventional,2015,Indianapolis
23,2015-07-19,1.07,168164.47,4866.47,101983.73,15100.98,46213.29,25201.47,18741.75,2270.07,conventional,2015,Indianapolis
24,2015-07-12,1.05,161431.59,4181.35,101947.17,7053.06,48250.01,27061.56,20240.11,948.34,conventional,2015,Indianapolis
25,2015-07-05,1.05,190716.43,4890.33,119457.27,13495.86,52872.97,30631.37,21037.53,1204.07,conventional,2015,Indianapolis
26,2015-06-28,0.95,198267.13,5514.89,121148.6,9267.12,62336.52,34863.23,26114.84,1358.45,conventional,2015,Indianapolis
27,2015-06-21,1.03,205199.16,7214.14,124628.24,14564.3,58792.48,33861.06,23155.13,1776.29,conventional,2015,Indianapolis
28,2015-06-14,1.15,173545.33,10382.27,97079.96,13744.21,52338.89,33478.56,17581.12,1279.21,conventional,2015,Indianapolis
29,2015-06-07,1.28,155730.59,16121.1,80781.48,10648.98,48179.03,30541.64,15866.46,1770.93,conventional,2015,Indianapolis
30,2015-05-31,1.37,142817.83,13199.86,80053.62,6630.76,42933.59,26714.31,15126.47,1092.81,conventional,2015,Indianapolis
31,2015-05-24,1.29,168797.97,19662.17,92856.9,14814.07,41464.83,26023.27,12630.31,2811.25,conventional,2015,Indianapolis
32,2015-05-17,1.26,164076.81,18666.08,89510.92,16162.78,39737.03,21260.58,16314.28,2162.17,conventional,2015,Indianapolis
33,2015-05-10,1.06,195532.38,16899.58,127193.06,5271.2,46168.54,23578.29,22228.41,361.84,conventional,2015,Indianapolis
34,2015-05-03,1.13,178889.83,18025.82,113204.3,7488.56,40171.15,21559.51,17453.1,1158.54,conventional,2015,Indianapolis
35,2015-04-26,1.24,158499.41,12319.28,88398.02,16641.02,41141.09,23192.65,14397.12,3551.32,conventional,2015,Indianapolis
36,2015-04-19,1.08,179103.3,12091.85,106308.89,10136.69,50565.87,35778.37,13533.9,1253.6,conventional,2015,Indianapolis
37,2015-04-12,1.15,146422.18,13496.9,86722.03,2457.5,43745.75,33143.47,10414.35,187.93,conventional,2015,Indianapolis
38,2015-04-05,1.17,151260.15,12623.45,95213.63,2843.96,40579.11,33761.92,6720.88,96.31,conventional,2015,Indianapolis
39,2015-03-29,1.09,161288.59,5382.76,97691.27,8095.81,50118.75,37465.78,11727.21,925.76,conventional,2015,Indianapolis
40,2015-03-22,1.11,160557.81,3961.0,102319.13,15542.64,38735.04,19721.51,16305.28,2708.25,conventional,2015,Indianapolis
41,2015-03-15,1.21,140487.57,4942.49,88080.11,5551.28,41913.69,24140.96,16954.05,818.68,conventional,2015,Indianapolis
42,2015-03-08,1.07,160438.38,6082.65,97697.59,10846.32,45811.82,27937.4,15551.62,2322.8,conventional,2015,Indianapolis
43,2015-03-01,1.13,169556.49,4876.24,110740.95,14372.16,39567.14,22401.71,14728.68,2436.75,conventional,2015,Indianapolis
44,2015-02-22,1.34,127501.04,4269.36,80442.92,5161.84,37626.92,22828.92,13884.93,913.07,conventional,2015,Indianapolis
45,2015-02-15,1.3,121767.82,5833.67,75495.03,4664.15,35774.97,22442.7,12428.29,903.98,conventional,2015,Indianapolis
46,2015-02-08,0.98,158792.02,7650.86,109166.71,8455.43,33519.02,18968.55,12562.27,1988.2,conventional,2015,Indianapolis
47,2015-02-01,0.92,245352.56,7245.61,181784.28,14761.53,41561.14,20669.59,18130.75,2760.8,conventional,2015,Indianapolis
48,2015-01-25,1.06,149473.79,3642.56,108152.4,724.5,36954.33,21963.56,14952.61,38.16,conventional,2015,Indianapolis
49,2015-01-18,1.14,149319.82,2910.77,103890.9,2048.78,40469.37,22405.47,17913.92,149.98,conventional,2015,Indianapolis
50,2015-01-11,1.25,138617.04,3024.88,100509.97,1771.71,33310.48,18466.87,14765.56,78.05,conventional,2015,Indianapolis
51,2015-01-04,1.02,160130.15,4007.41,118435.79,1201.5,36485.45,20325.41,16160.04,0.0,conventional,2015,Indianapolis
0,2016-12-25,1.13,135848.61,9560.82,59100.87,1962.89,65224.03,39632.2,25547.03,44.8,conventional,2016,Indianapolis
1,2016-12-18,1.19,122035.89,9114.0,56820.04,1973.93,54127.92,33414.95,20669.06,43.91,conventional,2016,Indianapolis
2,2016-12-11,1.17,133480.18,10029.3,61398.63,2771.39,59280.86,38874.39,20249.59,156.88,conventional,2016,Indianapolis
3,2016-12-04,1.18,144732.39,9441.16,70441.52,5143.87,59705.84,34658.44,24180.2,867.2,conventional,2016,Indianapolis
4,2016-11-27,1.34,103728.7,8422.19,43655.05,1231.47,50419.99,26198.63,24221.36,0.0,conventional,2016,Indianapolis
5,2016-11-20,1.29,124674.05,9062.48,52842.3,1517.4,61251.87,28999.98,32251.89,0.0,conventional,2016,Indianapolis
6,2016-11-13,1.29,127579.36,8852.56,56481.59,1724.7,60520.51,31532.27,28946.57,41.67,conventional,2016,Indianapolis
7,2016-11-06,1.37,126205.09,9100.1,55557.73,1578.23,59969.03,30459.11,29180.53,329.39,conventional,2016,Indianapolis
8,2016-10-30,1.2,139574.84,9278.4,61450.22,1682.81,67163.41,26068.96,41094.45,0.0,conventional,2016,Indianapolis
9,2016-10-23,1.31,142946.23,7986.6,65584.52,2219.92,67155.19,28373.94,38779.76,1.49,conventional,2016,Indianapolis
10,2016-10-16,1.27,138921.48,10968.01,60049.75,1952.54,65951.18,35703.64,30247.54,0.0,conventional,2016,Indianapolis
11,2016-10-09,1.2,143911.76,11357.01,61269.72,2173.86,69111.17,36546.8,32111.39,452.98,conventional,2016,Indianapolis
12,2016-10-02,1.31,146709.18,14488.94,66598.01,2091.96,63530.27,36081.38,27445.88,3.01,conventional,2016,Indianapolis
13,2016-09-25,1.39,150804.6,16855.29,68404.44,2557.07,62987.8,37497.61,25490.19,0.0,conventional,2016,Indianapolis
14,2016-09-18,1.26,153211.68,16666.21,67688.59,2707.32,66149.56,40788.78,25360.78,0.0,conventional,2016,Indianapolis
15,2016-09-11,1.29,157333.39,17414.42,70736.72,3134.92,66047.33,44187.61,21859.72,0.0,conventional,2016,Indianapolis
16,2016-09-04,1.31,160672.02,17530.05,75640.39,3252.69,64248.89,47772.68,16371.21,105.0,conventional,2016,Indianapolis
17,2016-08-28,1.27,167401.86,13732.36,78138.81,2802.01,72728.68,49838.22,21877.06,1013.4,conventional,2016,Indianapolis
18,2016-08-21,1.3,160968.73,15022.11,73966.5,3405.65,68574.47,44089.82,24244.65,240.0,conventional,2016,Indianapolis
19,2016-08-14,1.27,169421.1,15863.47,79507.42,4255.36,69794.85,39950.23,28559.62,1285.0,conventional,2016,Indianapolis
20,2016-08-07,1.33,163338.94,20926.28,77899.46,5741.75,58771.45,36453.98,21522.19,795.28,conventional,2016,Indianapolis
21,2016-07-31,1.27,159573.77,16079.16,80211.44,6277.21,57005.96,34005.49,22328.62,671.85,conventional,2016,Indianapolis
22,2016-07-24,1.2,178389.87,14627.32,82110.02,9886.51,71766.02,37248.18,29877.64,4640.2,conventional,2016,Indianapolis
23,2016-07-17,1.08,195710.39,15914.63,93315.97,9427.32,77052.47,39495.08,32642.41,4914.98,conventional,2016,Indianapolis
24,2016-07-10,1.12,191786.29,15126.45,96588.25,9530.83,70540.76,39858.04,25082.88,5599.84,conventional,2016,Indianapolis
25,2016-07-03,1.1,205562.64,15757.59,97347.96,9152.69,83304.4,47612.13,29634.22,6058.05,conventional,2016,Indianapolis
26,2016-06-26,1.15,183555.06,14452.83,90386.24,15029.71,63686.28,41778.41,16248.62,5659.25,conventional,2016,Indianapolis
27,2016-06-19,1.13,193533.04,17469.3,91178.24,19044.12,65841.38,34458.27,25319.68,6063.43,conventional,2016,Indianapolis
28,2016-06-12,1.12,186723.32,19442.51,89225.97,19115.07,58939.77,39160.04,13630.94,6148.79,conventional,2016,Indianapolis
29,2016-06-05,1.05,208086.58,16444.14,100386.68,21893.15,69362.61,39935.76,23087.08,6339.77,conventional,2016,Indianapolis
30,2016-05-29,1.01,210386.61,13152.88,109784.28,12495.73,74953.72,47279.19,24844.19,2830.34,conventional,2016,Indianapolis
31,2016-05-22,0.87,214847.19,10857.82,105336.69,17819.68,80833.0,46352.36,29562.74,4917.9,conventional,2016,Indianapolis
32,2016-05-15,0.88,212806.58,11249.01,98565.23,23505.68,79486.66,46726.38,27196.04,5564.24,conventional,2016,Indianapolis
33,2016-05-08,0.93,228601.39,17356.36,106300.33,18838.87,86105.83,54973.21,27766.71,3365.91,conventional,2016,Indianapolis
34,2016-05-01,0.92,207488.02,16727.66,106590.22,12071.46,72098.68,43567.48,26781.76,1749.44,conventional,2016,Indianapolis
35,2016-04-24,0.95,217736.25,12802.85,116190.57,22243.74,66499.09,32258.42,30147.93,4092.74,conventional,2016,Indianapolis
36,2016-04-17,0.97,218237.53,15361.33,113832.99,24253.28,64789.93,27683.11,33415.09,3691.73,conventional,2016,Indianapolis
37,2016-04-10,1.07,168009.21,15421.4,84833.75,11125.19,56628.87,29065.55,26374.68,1188.64,conventional,2016,Indianapolis
38,2016-04-03,0.99,154098.59,13073.15,73683.93,14509.1,52832.41,23047.8,26829.29,2955.32,conventional,2016,Indianapolis
39,2016-03-27,0.99,195373.94,10457.51,103261.69,23242.76,58411.98,26546.73,27197.4,4667.85,conventional,2016,Indianapolis
40,2016-03-20,1.12,168886.56,12095.89,91015.53,16824.67,48950.47,27044.14,18685.21,3221.12,conventional,2016,Indianapolis
41,2016-03-13,1.03,179067.02,11923.34,97729.32,17713.83,51700.53,28612.6,19278.08,3809.85,conventional,2016,Indianapolis
42,2016-03-06,0.96,208283.71,11773.3,116609.91,24630.69,55269.81,26420.61,23929.03,4920.17,conventional,2016,Indianapolis
43,2016-02-28,0.99,188077.25,11031.35,107091.35,16742.17,53212.38,26221.88,23948.23,3042.27,conventional,2016,Indianapolis
44,2016-02-21,1.03,153498.43,10806.76,91309.12,8892.49,42490.06,23611.07,17284.88,1594.11,conventional,2016,Indianapolis
45,2016-02-14,0.83,219871.64,13525.56,133956.97,15621.58,56767.53,27240.38,27220.07,2307.08,conventional,2016,Indianapolis
46,2016-02-07,0.88,240237.26,13926.79,145591.86,27708.02,53010.59,24152.64,25269.26,3588.69,conventional,2016,Indianapolis
47,2016-01-31,0.98,175610.18,8329.28,102864.26,22380.58,42036.06,20098.49,17062.82,4874.75,conventional,2016,Indianapolis
48,2016-01-24,0.93,168035.39,1803.73,93613.73,23023.47,49594.46,23374.52,21450.63,4769.31,conventional,2016,Indianapolis
49,2016-01-17,0.97,171404.92,5231.37,105606.63,12443.2,48123.72,26459.05,19618.46,2046.21,conventional,2016,Indianapolis
50,2016-01-10,1.0,173238.2,4590.25,101117.07,18454.86,49076.02,25431.42,20246.87,3397.73,conventional,2016,Indianapolis
51,2016-01-03,0.95,184669.77,5974.1,109973.31,25839.4,42882.96,15993.65,19313.43,7575.88,conventional,2016,Indianapolis
