,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.99,132982.84,91470.46,7688.79,514.7,33308.89,15300.85,18008.04,0.0,conventional,2015,Jacksonville
1,2015-12-20,1.19,95935.66,63053.15,6544.15,241.09,26097.27,16151.43,9940.6,5.24,conventional,2015,Jacksonville
2,2015-12-13,0.96,140036.16,100533.31,8913.72,199.12,30390.01,11312.69,19064.31,13.01,conventional,2015,Jacksonville
3,2015-12-06,1.19,93337.13,65041.02,7716.82,703.2,19876.09,8770.31,11105.78,0.0,conventional,2015,Jacksonville
4,2015-11-29,0.96,121236.54,85341.93,7840.61,266.31,27787.69,7638.25,20149.44,0.0,conventional,2015,Jacksonville
5,2015-11-22,0.98,115300.79,77130.61,8054.18,301.94,29814.06,10738.71,19075.35,0.0,conventional,2015,Jacksonville
6,2015-11-15,1.25,90999.05,57764.9,7319.36,998.99,24915.8,12498.87,12406.71,10.22,conventional,2015,Jacksonville
7,2015-11-08,1.25,94495.69,62219.27,7707.94,411.4,24157.08,12761.19,11395.89,0.0,conventional,2015,Jacksonville
8,2015-11-01,0.97,162559.72,110439.42,11892.01,995.43,39232.86,14379.48,24853.38,0.0,conventional,2015,Jacksonville
9,2015-10-25,1.22,98097.37,61125.82,8956.16,796.53,27218.86,19339.98,7878.88,0.0,conventional,2015,Jacksonville
10,2015-10-18,1.25,92599.79,57713.02,9666.15,834.92,24385.7,14116.28,10269.42,0.0,conventional,2015,Jacksonville
11,2015-10-11,0.99,141875.2,93556.4,12101.67,1201.18,35015.95,14261.06,20754.89,0.0,conventional,2015,Jacksonville
12,2015-10-04,0.99,153146.21,102479.0,13922.67,537.65,36206.89,14925.09,21281.8,0.0,conventional,2015,Jacksonville
13,2015-09-27,1.27,92325.73,52301.92,14641.98,1047.02,24334.81,14588.26,9746.55,0.0,conventional,2015,Jacksonville
14,2015-09-20,0.99,157688.29,97864.33,21665.96,447.77,37710.23,17060.74,20649.49,0.0,conventional,2015,Jacksonville
15,2015-09-13,1.24,102870.89,55192.87,19471.72,461.14,27745.16,18430.6,9314.56,0.0,conventional,2015,Jacksonville
16,2015-09-06,0.98,179837.71,109912.85,23440.35,1561.01,44923.5,20609.55,24313.95,0.0,conventional,2015,Jacksonville
17,2015-08-30,1.26,116109.0,64015.75,19572.08,657.28,31863.89,20460.51,11403.38,0.0,conventional,2015,Jacksonville
18,2015-08-23,1.25,111825.39,60641.9,19269.77,731.09,31182.63,20588.04,10594.59,0.0,conventional,2015,Jacksonville
19,2015-08-16,1.25,107523.14,60507.19,16156.31,697.22,30162.42,19619.87,10514.58,27.97,conventional,2015,Jacksonville
20,2015-08-09,0.99,188720.77,121358.64,22750.53,668.99,43942.61,21556.41,22386.2,0.0,conventional,2015,Jacksonville
21,2015-08-02,1.24,112332.05,63302.99,19717.01,759.06,28552.99,19135.05,9417.94,0.0,conventional,2015,Jacksonville
22,2015-07-26,1.25,112997.27,69032.32,19637.03,619.03,23708.89,18522.5,5186.39,0.0,conventional,2015,Jacksonville
23,2015-07-19,1.0,173741.3,111744.79,24068.98,647.13,37280.4,17718.5,19561.9,0.0,conventional,2015,Jacksonville
24,2015-07-12,1.22,110964.6,62590.29,18465.56,584.22,29324.53,19289.35,10035.18,0.0,conventional,2015,Jacksonville
25,2015-07-05,0.95,211960.25,132207.91,27446.0,1193.27,51113.07,31922.01,19191.06,0.0,conventional,2015,Jacksonville
26,2015-06-28,1.16,135739.94,78066.95,19522.69,866.73,37283.57,29903.31,7380.26,0.0,conventional,2015,Jacksonville
27,2015-06-21,0.95,192111.32,118742.11,23814.65,1147.34,48407.22,26218.22,22189.0,0.0,conventional,2015,Jacksonville
