,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.83,292707.14,135799.94,93317.46,4977.64,58612.1,34675.97,23936.13,0.0,conventional,2015,LasVegas
1,2015-12-20,0.96,232294.71,96355.05,77086.11,4749.61,54103.94,34992.96,19110.98,0.0,conventional,2015,LasVegas
2,2015-12-13,0.95,216119.35,101042.61,68490.51,4942.71,41643.52,33834.13,7809.39,0.0,conventional,2015,LasVegas
3,2015-12-06,0.89,244024.83,94777.64,107758.8,10794.34,30694.05,30201.26,492.79,0.0,conventional,2015,LasVegas
4,2015-11-29,0.95,205476.61,88653.67,81160.21,5227.59,30435.14,29475.24,959.9,0.0,conventional,2015,LasVegas
5,2015-11-22,0.98,215985.17,87241.86,91574.86,3926.84,33241.61,31653.96,1587.65,0.0,conventional,2015,LasVegas
6,2015-11-15,0.95,247795.44,100856.23,106817.36,4614.58,35507.27,33636.41,1870.86,0.0,conventional,2015,LasVegas
7,2015-11-08,0.92,237248.22,119810.22,74648.59,5456.06,37333.35,36573.68,759.67,0.0,conventional,2015,LasVegas
8,2015-11-01,0.99,230414.44,87202.7,94900.43,12912.69,35398.62,34277.25,1121.37,0.0,conventional,2015,LasVegas
9,2015-10-25,0.98,245167.14,79873.47,115618.11,14217.03,35458.53,33684.23,1774.3,0.0,conventional,2015,LasVegas
10,2015-10-18,0.91,279364.03,108979.09,126743.26,4681.66,38960.02,37274.27,1685.75,0.0,conventional,2015,LasVegas
11,2015-10-11,0.94,268709.29,62866.32,155590.5,13357.96,36894.51,33903.57,2990.94,0.0,conventional,2015,LasVegas
12,2015-10-04,0.97,269072.2,69916.72,154943.93,5551.93,38659.62,30931.87,7727.75,0.0,conventional,2015,LasVegas
13,2015-09-27,0.97,272925.76,63209.79,170341.44,4057.49,35317.04,31037.22,4279.82,0.0,conventional,2015,LasVegas
14,2015-09-20,0.97,284247.2,70945.65,163822.19,5225.21,44254.15,35941.12,8313.03,0.0,conventional,2015,LasVegas
15,2015-09-13,0.88,346994.49,82171.46,179103.0,11064.14,74655.89,31703.25,42952.64,0.0,conventional,2015,LasVegas
16,2015-09-06,1.02,311124.27,123361.73,128141.12,7149.5,52471.92,38692.25,13779.67,0.0,conventional,2015,LasVegas
17,2015-08-30,1.09,284309.17,114660.27,124423.82,6958.54,38266.54,37518.56,747.98,0.0,conventional,2015,LasVegas
18,2015-08-23,1.06,261084.13,131414.8,84541.6,4561.64,40566.09,38541.74,2024.35,0.0,conventional,2015,LasVegas
19,2015-08-16,0.96,314774.36,110442.18,136169.01,7799.26,60363.91,48127.04,12236.87,0.0,conventional,2015,LasVegas
20,2015-08-09,0.96,353118.24,117882.58,163299.76,8925.51,63010.39,41697.82,21312.57,0.0,conventional,2015,LasVegas
21,2015-08-02,1.09,272441.01,137413.89,79606.69,6250.99,49169.44,38914.95,10254.49,0.0,conventional,2015,LasVegas
22,2015-07-26,1.06,272267.5,137702.81,75823.92,8654.82,50085.95,41514.45,8571.5,0.0,conventional,2015,LasVegas
23,2015-07-19,1.03,269642.38,131325.7,78566.88,5011.33,54738.47,44134.02,10604.45,0.0,conventional,2015,LasVegas
