,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.8,2326942.14,976982.58,455203.42,86202.11,808554.03,722787.61,74359.03,11407.39,conventional,2015,LosAngeles
1,2015-12-20,0.85,2149872.45,870581.1,396515.66,96111.9,786663.79,681332.22,94921.87,10409.7,conventional,2015,LosAngeles
2,2015-12-13,0.74,2690296.07,1072331.45,456120.56,67975.05,1093869.01,962784.81,123270.26,7813.94,conventional,2015,LosAngeles
3,2015-12-06,0.66,3048290.53,1204232.39,682692.02,64728.33,1096637.79,997845.83,92324.72,6467.24,conventional,2015,LosAngeles
4,2015-11-29,0.83,2156008.93,833468.11,501667.47,70943.62,749929.73,681435.37,61342.99,7151.37,conventional,2015,LosAngeles
5,2015-11-22,0.81,2268076.38,886079.66,558302.72,75963.22,747730.78,676325.88,64489.99,6914.91,conventional,2015,LosAngeles
6,2015-11-15,0.74,2828361.9,1281378.91,661936.25,70734.46,814312.28,763322.82,44152.29,6837.17,conventional,2015,LosAngeles
7,2015-11-08,0.84,2621078.31,1314856.37,702841.97,75385.11,527994.86,492713.56,29335.02,5946.28,conventional,2015,LosAngeles
8,2015-11-01,0.89,2617806.65,1232603.24,914725.31,74252.61,396225.49,378048.56,13371.54,4805.39,conventional,2015,LosAngeles
9,2015-10-25,0.95,2327634.45,974251.62,925306.32,78774.2,349302.31,341731.29,3774.75,3796.27,conventional,2015,LosAngeles
10,2015-10-18,0.89,2661345.12,1045819.2,1169758.16,78303.54,367464.22,358998.74,6303.21,2162.27,conventional,2015,LosAngeles
11,2015-10-11,0.92,2591981.76,1014382.6,1205553.71,74862.42,297183.03,280841.88,13203.35,3137.8,conventional,2015,LosAngeles
12,2015-10-04,0.98,2278629.09,798046.49,1120569.37,86683.25,273329.98,251924.68,17899.44,3505.86,conventional,2015,LosAngeles
13,2015-09-27,0.9,2674658.54,1004429.55,1305809.85,81864.64,282554.5,268104.31,9642.69,4807.5,conventional,2015,LosAngeles
14,2015-09-20,0.99,2392448.9,1024117.14,947562.49,118706.07,302063.2,284791.57,12275.43,4996.2,conventional,2015,LosAngeles
15,2015-09-13,0.98,2549512.5,1076046.71,1079298.4,97210.13,296957.26,226956.87,64067.31,5933.08,conventional,2015,LosAngeles
16,2015-09-06,0.92,2983163.34,1809743.28,738938.41,90624.69,343856.96,312763.93,26701.71,4391.32,conventional,2015,LosAngeles
17,2015-08-30,0.9,3037663.98,2084250.55,503077.81,86574.37,363761.25,357387.32,3503.63,2870.3,conventional,2015,LosAngeles
18,2015-08-23,1.03,2604991.25,1687625.73,538010.14,92245.94,287109.44,279700.22,3994.61,3414.61,conventional,2015,LosAngeles
19,2015-08-16,0.93,2943218.77,2040657.52,516718.52,79890.52,305952.21,301831.12,760.09,3361.0,conventional,2015,LosAngeles
20,2015-08-09,0.94,3371114.14,2176899.72,813280.77,69168.37,311765.28,304882.47,4251.42,2631.39,conventional,2015,LosAngeles
21,2015-08-02,1.0,2742211.46,1883744.01,503247.72,58532.61,296687.12,291524.01,2991.1,2172.01,conventional,2015,LosAngeles
22,2015-07-26,0.95,2893887.74,2052103.6,440413.6,79478.59,321891.95,316322.88,2936.81,2632.26,conventional,2015,LosAngeles
23,2015-07-19,1.02,2614726.11,1801294.72,417289.56,89206.49,306935.34,290890.18,13264.37,2780.79,conventional,2015,LosAngeles
24,2015-07-12,1.03,2652480.7,1707544.28,548712.47,83398.45,312825.5,298568.77,11398.26,2858.47,conventional,2015,LosAngeles
25,2015-07-05,0.96,3435374.51,2373501.16,564583.23,99097.11,398193.01,377663.89,17234.66,3294.46,conventional,2015,LosAngeles
26,2015-06-28,0.94,2921148.91,2073077.35,419199.06,75759.53,353112.97,336537.82,13953.67,2621.48,conventional,2015,LosAngeles
27,2015-06-21,0.91,3040023.34,2133616.93,473295.46,79616.07,353494.88,334560.23,15484.32,3450.33,conventional,2015,LosAngeles
28,2015-06-14,0.79,3689140.93,2747257.69,497878.86,69556.02,374448.36,357012.13,14619.41,2816.82,conventional,2015,LosAngeles
29,2015-06-07,0.84,3261844.41,2356669.17,447751.9,71705.74,385717.6,367627.51,14651.88,3438.21,conventional,2015,LosAngeles
30,2015-05-31,0.85,3196936.02,2355022.1,455405.46,76580.26,309928.2,292423.13,14480.99,3024.08,conventional,2015,LosAngeles
31,2015-05-24,0.97,2853904.6,2013195.78,465604.19,73414.62,301690.01,283662.09,14885.79,3142.13,conventional,2015,LosAngeles
32,2015-05-17,0.98,2557700.83,1817736.96,390302.38,54789.31,294872.18,280916.4,11067.18,2888.6,conventional,2015,LosAngeles
33,2015-05-10,0.78,3553642.53,2743972.44,390901.84,60232.29,358535.96,345073.29,10675.7,2786.97,conventional,2015,LosAngeles
34,2015-05-03,0.78,4015563.02,2914047.44,670161.4,61569.48,369784.7,356360.42,11566.37,1857.91,conventional,2015,LosAngeles
