,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.99,545064.74,387953.32,44652.25,54.44,112404.73,53606.13,58798.6,0.0,conventional,2015,MiamiFtLauderdale
1,2015-12-20,1.21,350533.71,238269.18,32386.55,92.33,79785.65,50138.45,29624.11,23.09,conventional,2015,MiamiFtLauderdale
2,2015-12-13,0.97,529317.46,387065.94,49363.2,85.47,92802.85,38463.54,54339.31,0.0,conventional,2015,MiamiFtLauderdale
3,2015-12-06,1.25,340513.61,247061.97,34861.19,83.27,58507.18,25297.27,33209.91,0.0,conventional,2015,MiamiFtLauderdale
4,2015-11-29,0.98,470218.14,349408.27,42435.51,70.13,78304.23,27392.48,50911.75,0.0,conventional,2015,MiamiFtLauderdale
5,2015-11-22,0.98,499396.26,359876.76,47195.19,72.44,92251.87,32763.43,59482.61,5.83,conventional,2015,MiamiFtLauderdale
6,2015-11-15,1.22,368996.48,258624.78,42921.48,21.31,67428.91,34369.92,33058.99,0.0,conventional,2015,MiamiFtLauderdale
7,2015-11-08,1.22,329065.04,223219.98,37562.72,21.15,68261.19,36440.1,31818.17,2.92,conventional,2015,MiamiFtLauderdale
8,2015-11-01,0.98,566030.64,415970.77,54992.76,32.81,95034.3,37980.05,57051.32,2.93,conventional,2015,MiamiFtLauderdale
9,2015-10-25,1.25,307072.85,212163.19,35901.59,42.02,58966.05,33429.62,25527.63,8.8,conventional,2015,MiamiFtLauderdale
10,2015-10-18,1.24,333933.98,224505.79,42454.42,24.92,66948.85,40518.51,26421.51,8.83,conventional,2015,MiamiFtLauderdale
11,2015-10-11,1.0,538384.22,384920.27,59335.78,21.6,94106.57,39787.55,54316.07,2.95,conventional,2015,MiamiFtLauderdale
12,2015-10-04,0.99,570367.24,411182.68,63182.62,48.48,95953.46,47869.19,48084.27,0.0,conventional,2015,MiamiFtLauderdale
13,2015-09-27,1.31,318048.12,200219.37,57857.02,40.63,59931.1,35358.56,24572.54,0.0,conventional,2015,MiamiFtLauderdale
14,2015-09-20,0.98,559818.31,381034.21,76606.11,58.29,102119.7,47692.12,54427.58,0.0,conventional,2015,MiamiFtLauderdale
15,2015-09-13,1.26,331077.9,197328.71,64770.61,17.92,68960.66,42655.4,26305.26,0.0,conventional,2015,MiamiFtLauderdale
16,2015-09-06,0.98,637326.79,442545.72,80524.31,13.63,114243.13,49819.37,64423.76,0.0,conventional,2015,MiamiFtLauderdale
17,2015-08-30,1.24,362232.28,212188.58,66569.74,73.73,83400.23,59815.95,23581.37,2.91,conventional,2015,MiamiFtLauderdale
18,2015-08-23,1.24,372525.3,218751.04,70677.18,63.85,83033.23,58853.12,24165.63,14.48,conventional,2015,MiamiFtLauderdale
19,2015-08-16,1.24,360308.77,213812.79,61634.91,31.89,84829.18,62035.11,22794.07,0.0,conventional,2015,MiamiFtLauderdale
20,2015-08-09,0.97,655821.9,450713.76,86740.57,81.16,118286.41,61527.63,56758.78,0.0,conventional,2015,MiamiFtLauderdale
21,2015-08-02,1.22,371660.15,219518.15,66230.77,66.26,85844.97,63761.3,22083.67,0.0,conventional,2015,MiamiFtLauderdale
22,2015-07-26,1.24,379954.31,233056.82,63065.93,76.64,83754.92,63018.58,20736.34,0.0,conventional,2015,MiamiFtLauderdale
23,2015-07-19,0.96,626841.5,436603.6,96849.49,98.68,93289.73,55330.18,37959.55,0.0,conventional,2015,MiamiFtLauderdale
24,2015-07-12,1.24,402706.71,235985.01,79717.36,87.27,86917.07,61873.39,24836.74,206.94,conventional,2015,MiamiFtLauderdale
25,2015-07-05,0.98,718152.22,483878.34,101119.61,193.76,132960.51,72566.19,60394.32,0.0,conventional,2015,MiamiFtLauderdale
