,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.05,2065131.33,435246.31,1022861.71,103811.97,503211.34,464119.16,35717.26,3374.92,conventional,2015,Midsouth
1,2015-12-20,1.05,2044020.93,446433.13,1024405.09,96387.48,476795.23,434534.42,38523.1,3737.71,conventional,2015,Midsouth
2,2015-12-13,1.03,2193142.82,515063.58,1060753.67,113979.43,503346.14,445274.87,57239.73,831.54,conventional,2015,Midsouth
3,2015-12-06,1.0,2233138.01,507201.58,1154808.22,133316.89,437811.32,377999.41,57793.89,2018.02,conventional,2015,Midsouth
4,2015-11-29,1.05,1845443.13,417849.42,939038.5,101739.67,386815.54,344830.99,40738.63,1245.92,conventional,2015,Midsouth
5,2015-11-22,1.06,1903245.0,422437.27,955972.74,117353.23,407481.76,364155.91,41724.4,1601.45,conventional,2015,Midsouth
6,2015-11-15,1.02,2355839.19,470482.8,1302219.95,168586.54,414549.9,373075.42,40843.12,631.36,conventional,2015,Midsouth
7,2015-11-08,1.04,2503008.26,568612.19,1248271.45,228267.05,457857.57,402488.58,52180.99,3188.0,conventional,2015,Midsouth
8,2015-11-01,1.08,2511760.36,549089.55,1188242.89,260946.16,513481.76,429082.15,81904.3,2495.31,conventional,2015,Midsouth
9,2015-10-25,1.13,2188485.29,522060.98,980865.05,211478.23,474081.03,417038.17,55815.71,1227.15,conventional,2015,Midsouth
10,2015-10-18,1.05,2783170.15,555583.11,1537196.96,215608.69,474781.39,423533.77,50778.19,469.43,conventional,2015,Midsouth
11,2015-10-11,1.13,2329757.67,469059.21,1057488.47,277954.43,525255.56,455592.88,68091.96,1570.72,conventional,2015,Midsouth
12,2015-10-04,1.18,2233935.94,467701.3,1070891.86,194003.8,501338.98,438547.27,61454.54,1337.17,conventional,2015,Midsouth
13,2015-09-27,1.11,2390611.02,479660.47,1206766.08,274903.15,429281.32,383854.11,43807.49,1619.72,conventional,2015,Midsouth
14,2015-09-20,1.13,2447264.74,555127.12,1122683.82,208537.92,560915.88,479718.29,76793.78,4403.81,conventional,2015,Midsouth
15,2015-09-13,1.09,2814803.06,574792.78,1444401.99,182702.62,612905.67,548306.36,61850.13,2749.18,conventional,2015,Midsouth
16,2015-09-06,1.08,3013825.75,564493.74,1458691.19,314497.84,676142.98,598816.21,75569.59,1757.18,conventional,2015,Midsouth
17,2015-08-30,1.18,2535192.78,516825.42,1161145.08,196950.9,660271.38,620018.68,36845.26,3407.44,conventional,2015,Midsouth
18,2015-08-23,1.12,2765838.1,571552.62,1286342.3,210164.47,697778.71,654945.01,41707.37,1126.33,conventional,2015,Midsouth
19,2015-08-16,1.14,2823405.23,627950.44,1355609.83,222563.23,617281.73,577210.39,36597.11,3474.23,conventional,2015,Midsouth
20,2015-08-09,1.15,2710710.15,531460.61,1328248.62,203932.87,647068.05,597061.79,48069.52,1936.74,conventional,2015,Midsouth
21,2015-08-02,1.14,2752081.97,532287.84,1359710.96,208419.92,651663.25,604227.7,46004.95,1430.6,conventional,2015,Midsouth
22,2015-07-26,1.15,2664424.22,531729.96,1239353.81,199553.32,693787.13,638982.26,53809.21,995.66,conventional,2015,Midsouth
23,2015-07-19,1.14,2751192.77,569216.65,1234664.0,218257.94,729054.18,685065.97,41646.75,2341.46,conventional,2015,Midsouth
24,2015-07-12,1.13,2783554.82,532046.38,1337980.83,205773.72,707753.89,662158.17,44652.53,943.19,conventional,2015,Midsouth
25,2015-07-05,1.13,3183419.6,632988.75,1545460.43,232974.97,771995.45,717654.81,53154.69,1185.95,conventional,2015,Midsouth
26,2015-06-28,1.14,2835630.41,534709.22,1324231.26,215752.18,760937.75,722276.9,37287.39,1373.46,conventional,2015,Midsouth
27,2015-06-21,1.13,2979417.82,601782.55,1363070.07,215613.45,798951.75,750253.84,45536.54,3161.37,conventional,2015,Midsouth
28,2015-06-14,1.09,3173051.42,653441.16,1484200.81,206159.51,829249.94,786795.07,40769.55,1685.32,conventional,2015,Midsouth
29,2015-06-07,1.14,2918298.91,724315.73,1217522.42,200001.49,776459.27,717859.42,56141.4,2458.45,conventional,2015,Midsouth
30,2015-05-31,1.14,3039403.06,734816.3,1377202.12,207708.91,719675.73,661787.82,56794.41,1093.5,conventional,2015,Midsouth
31,2015-05-24,1.14,3119050.91,719874.17,1431141.56,231744.91,736290.27,679537.84,55107.23,1645.2,conventional,2015,Midsouth
32,2015-05-17,1.18,2817008.33,698401.8,1201257.18,203615.52,713733.83,667222.64,44437.39,2073.8,conventional,2015,Midsouth
33,2015-05-10,1.17,2956859.19,721935.59,1299998.7,190755.81,744169.09,679213.0,64322.24,633.85,conventional,2015,Midsouth
34,2015-05-03,1.07,3410467.52,793989.95,1557507.45,364283.54,694686.58,624533.81,68904.63,1248.14,conventional,2015,Midsouth
35,2015-04-26,1.2,2699614.5,698128.52,1125853.0,192090.19,683542.79,642966.9,39078.44,1497.45,conventional,2015,Midsouth
36,2015-04-19,1.18,2711008.32,654378.33,1125460.56,190006.01,741163.42,701805.76,37167.77,2189.89,conventional,2015,Midsouth
37,2015-04-12,1.13,2829416.58,665283.33,1298472.42,185691.58,679969.25,635124.32,44745.79,99.14,conventional,2015,Midsouth
38,2015-04-05,1.19,2519677.31,617567.29,1066608.5,183653.85,651847.67,607923.59,42910.27,1013.81,conventional,2015,Midsouth
39,2015-03-29,1.18,2523110.39,576473.89,1160794.38,203057.64,582784.48,547007.1,35421.43,355.95,conventional,2015,Midsouth
40,2015-03-22,1.11,2779012.66,681261.26,1282053.45,197573.91,618124.04,560370.06,53740.87,4013.11,conventional,2015,Midsouth
41,2015-03-15,1.19,2462108.11,570576.91,1066470.63,210234.78,614825.79,578103.5,34641.93,2080.36,conventional,2015,Midsouth
42,2015-03-08,1.21,2297509.11,545690.6,949015.34,179824.24,622978.93,588931.15,33275.04,772.74,conventional,2015,Midsouth
43,2015-03-01,1.14,2538981.6,620672.44,1151353.87,182873.34,584081.95,543841.07,37011.94,3228.94,conventional,2015,Midsouth
44,2015-02-22,1.1,2720346.71,632670.12,1209150.04,295228.18,583298.37,535973.53,46783.55,541.29,conventional,2015,Midsouth
45,2015-02-15,1.17,2420829.45,634266.43,982380.32,206499.63,597683.07,515932.56,81139.48,611.03,conventional,2015,Midsouth
46,2015-02-08,1.06,2734006.98,732854.05,1222159.62,159491.59,619501.72,543231.71,75649.4,620.61,conventional,2015,Midsouth
