,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.96,123669.89,79508.7,8706.29,4748.08,30706.82,23563.06,7140.43,3.33,conventional,2015,Nashville
1,2015-12-20,0.99,127373.56,87309.07,7415.81,4356.81,28291.87,23562.1,4722.17,7.6,conventional,2015,Nashville
2,2015-12-13,0.91,153425.94,103097.4,11175.45,6145.91,33007.18,23065.69,9806.94,134.55,conventional,2015,Nashville
3,2015-12-06,1.0,130989.23,88033.66,9655.78,5447.67,27852.12,22956.94,4797.18,98.0,conventional,2015,Nashville
4,2015-11-29,0.95,119919.67,77155.36,9407.46,5435.02,27921.83,20470.74,7440.75,10.34,conventional,2015,Nashville
5,2015-11-22,0.96,127165.59,79960.92,10083.16,5985.48,31136.03,23717.19,7157.13,261.71,conventional,2015,Nashville
6,2015-11-15,1.04,124671.4,77510.5,11869.33,5903.53,29388.04,24126.65,5261.39,0.0,conventional,2015,Nashville
7,2015-11-08,1.03,135506.08,87957.9,11807.4,4873.39,30867.39,25641.93,5225.46,0.0,conventional,2015,Nashville
8,2015-11-01,0.94,159318.32,97774.21,20102.72,5054.46,36386.93,24437.2,11949.73,0.0,conventional,2015,Nashville
9,2015-10-25,0.91,148660.26,89991.51,20511.16,4334.1,33823.49,25000.22,8823.27,0.0,conventional,2015,Nashville
10,2015-10-18,0.91,182647.96,114107.69,29076.74,6047.46,33416.07,23996.08,9419.99,0.0,conventional,2015,Nashville
11,2015-10-11,0.96,167655.6,83621.05,35428.18,7009.22,41597.15,23793.78,17803.37,0.0,conventional,2015,Nashville
12,2015-10-04,0.96,157490.03,78331.45,30106.11,6363.08,42689.39,26267.85,16376.41,45.13,conventional,2015,Nashville
13,2015-09-27,1.04,160547.52,93381.62,25445.0,6807.92,34912.98,25432.19,9435.58,45.21,conventional,2015,Nashville
14,2015-09-20,0.95,197649.58,108519.0,32478.82,9286.56,47365.2,27175.41,19540.16,649.63,conventional,2015,Nashville
15,2015-09-13,1.05,154621.8,76424.28,25095.26,9786.12,43316.14,31983.6,11023.29,309.25,conventional,2015,Nashville
16,2015-09-06,0.97,175977.6,92988.8,30510.75,9638.66,42839.39,27102.45,15494.02,242.92,conventional,2015,Nashville
17,2015-08-30,1.09,142153.55,82766.98,21072.35,7912.88,30401.34,24581.81,5819.53,0.0,conventional,2015,Nashville
18,2015-08-23,0.97,171575.35,112284.06,19284.06,10060.87,29946.36,25633.87,4312.49,0.0,conventional,2015,Nashville
19,2015-08-16,0.96,187310.28,126796.3,18393.32,13672.42,28448.24,22867.47,5354.02,226.75,conventional,2015,Nashville
20,2015-08-09,0.98,176410.4,105537.27,20560.4,10196.35,40116.38,30602.26,8883.04,631.08,conventional,2015,Nashville
21,2015-08-02,1.08,151807.11,87160.08,19863.22,9366.36,35417.45,30724.37,4552.23,140.85,conventional,2015,Nashville
22,2015-07-26,1.07,149262.89,85386.58,19400.24,9807.32,34668.75,29923.8,4702.51,42.44,conventional,2015,Nashville
23,2015-07-19,0.98,186258.97,113404.36,19371.52,9567.97,43915.12,34877.55,8680.3,357.27,conventional,2015,Nashville
24,2015-07-12,1.09,152991.78,90781.1,17434.57,9746.41,35029.7,29736.49,5171.88,121.33,conventional,2015,Nashville
25,2015-07-05,0.97,201797.82,121473.02,25125.21,10804.25,44395.34,35733.99,8482.0,179.35,conventional,2015,Nashville
26,2015-06-28,1.06,159981.66,90881.66,19436.14,8297.63,41366.23,36900.28,3662.58,803.37,conventional,2015,Nashville
27,2015-06-21,0.96,188762.81,111226.04,17917.39,8103.01,51516.37,41015.0,9725.53,775.84,conventional,2015,Nashville
28,2015-06-14,1.03,172302.47,103389.69,17224.17,7010.57,44678.04,38948.35,5729.69,0.0,conventional,2015,Nashville
29,2015-06-07,0.96,189470.19,128293.7,10385.79,10508.18,40282.52,31059.24,8944.38,278.9,conventional,2015,Nashville
30,2015-05-31,1.04,166214.14,117285.11,8351.55,11839.0,28738.48,24244.27,4413.3,80.91,conventional,2015,Nashville
31,2015-05-24,0.98,194990.71,140921.85,9348.72,14228.41,30491.73,22090.48,7942.08,459.17,conventional,2015,Nashville
32,2015-05-17,1.07,149400.13,100832.21,8161.87,10852.62,29553.43,25235.57,4310.3,7.56,conventional,2015,Nashville
33,2015-05-10,1.07,165726.92,114337.07,9079.59,13932.74,28377.52,23620.06,4406.92,350.54,conventional,2015,Nashville
34,2015-05-03,0.98,222813.0,159791.64,13149.16,16218.93,33653.27,23216.64,10436.63,0.0,conventional,2015,Nashville
35,2015-04-26,1.08,166556.79,117295.03,8599.82,15685.44,24976.5,21480.56,3495.94,0.0,conventional,2015,Nashville
36,2015-04-19,1.11,140649.3,91537.59,7598.5,12377.93,29135.28,22422.52,6712.76,0.0,conventional,2015,Nashville
37,2015-04-12,1.0,158490.37,111682.33,9658.98,12737.74,24411.32,14353.71,10057.61,0.0,conventional,2015,Nashville
38,2015-04-05,1.06,155074.03,104270.46,8266.56,14141.74,28395.27,21583.06,6812.21,0.0,conventional,2015,Nashville
39,2015-03-29,1.07,151301.45,102824.72,8307.47,14079.54,26089.72,19540.62,6549.1,0.0,conventional,2015,Nashville
40,2015-03-22,1.01,173980.22,122204.32,9195.02,13155.99,29424.89,22501.23,6833.78,89.88,conventional,2015,Nashville
41,2015-03-15,1.08,131053.65,86390.93,6821.52,11458.43,26382.77,21886.31,3381.7,1114.76,conventional,2015,Nashville
42,2015-03-08,1.08,149239.4,104187.91,7723.68,10813.59,26514.22,22958.63,3555.59,0.0,conventional,2015,Nashville
43,2015-03-01,0.99,169423.5,121799.85,9712.84,10894.89,27015.92,20732.64,6153.5,129.78,conventional,2015,Nashville
44,2015-02-22,1.05,148164.2,101095.06,10053.42,13693.83,23321.89,20671.7,2645.2,4.99,conventional,2015,Nashville
45,2015-02-15,1.03,153852.03,109047.7,9817.42,11085.73,23901.18,21186.15,2715.03,0.0,conventional,2015,Nashville
46,2015-02-08,0.94,171749.31,125785.83,8119.73,9717.73,28126.02,25896.73,2229.29,0.0,conventional,2015,Nashville
47,2015-02-01,0.94,221471.45,160834.57,13445.84,17578.18,29612.86,23898.35,5714.51,0.0,conventional,2015,Nashville
48,2015-01-25,1.07,140855.47,95428.54,8371.74,11082.07,25973.12,24183.43,1789.69,0.0,conventional,2015,Nashville
49,2015-01-18,1.08,143464.64,97216.47,8423.57,12187.72,25636.88,23520.54,2116.34,0.0,conventional,2015,Nashville
50,2015-01-11,1.07,149832.2,103822.6,9098.86,11665.78,25244.96,22478.92,2766.04,0.0,conventional,2015,Nashville
51,2015-01-04,1.0,162162.75,113865.83,11083.58,11699.03,25514.31,19681.13,5611.51,221.67,conventional,2015,Nashville
0,2016-12-25,0.93,166486.05,63236.61,18070.01,66.44,85112.99,67429.01,16683.98,1000.0,conventional,2016,Nashville
1,2016-12-18,0.92,158024.16,66411.85,16272.07,104.08,75236.16,57450.73,16375.43,1410.0,conventional,2016,Nashville
2,2016-12-11,0.9,193711.04,84856.17,12359.04,158.44,96337.39,83236.32,10921.07,2180.0,conventional,2016,Nashville
3,2016-12-04,0.96,189526.37,82751.98,20042.35,853.8,85878.24,60604.33,23948.91,1325.0,conventional,2016,Nashville
4,2016-11-27,1.24,129937.75,50379.42,12290.64,177.21,67090.48,55387.15,11098.89,604.44,conventional,2016,Nashville
5,2016-11-20,1.33,131605.7,53849.43,12277.03,98.85,65380.39,54104.45,10860.94,415.0,conventional,2016,Nashville
6,2016-11-13,1.39,141387.19,59293.41,13161.11,181.78,68750.89,56865.21,10715.68,1170.0,conventional,2016,Nashville
7,2016-11-06,1.31,146936.93,66594.58,13756.62,126.52,66459.21,54846.72,11172.49,440.0,conventional,2016,Nashville
8,2016-10-30,1.18,151715.9,65786.54,17343.11,165.83,68420.42,54539.04,12436.38,1445.0,conventional,2016,Nashville
9,2016-10-23,1.19,163017.85,66511.98,28375.72,125.57,68004.58,57360.66,9383.92,1260.0,conventional,2016,Nashville
10,2016-10-16,1.06,177609.17,78566.29,21640.42,233.46,77169.0,56615.71,20373.29,180.0,conventional,2016,Nashville
11,2016-10-09,1.2,156477.24,77153.68,15555.1,127.9,63640.56,41727.3,21913.26,0.0,conventional,2016,Nashville
12,2016-10-02,1.15,172755.25,76163.23,15615.55,85.74,80890.73,63579.82,17310.91,0.0,conventional,2016,Nashville
13,2016-09-25,1.16,174768.99,79738.2,20581.3,188.24,74261.25,59330.89,14930.36,0.0,conventional,2016,Nashville
14,2016-09-18,1.01,191359.67,98830.01,16914.64,80.79,75534.23,55278.01,20256.22,0.0,conventional,2016,Nashville
15,2016-09-11,0.75,250165.13,144886.48,12777.22,342.05,92159.38,70618.95,21540.43,0.0,conventional,2016,Nashville
16,2016-09-04,0.73,292902.13,172938.84,14374.03,371.7,105217.56,89643.04,15574.52,0.0,conventional,2016,Nashville
17,2016-08-28,1.09,172757.72,104278.59,12600.77,347.34,55531.02,52255.66,3275.36,0.0,conventional,2016,Nashville
18,2016-08-21,1.09,184733.93,102330.82,15916.71,193.95,66292.45,62586.96,3705.49,0.0,conventional,2016,Nashville
19,2016-08-14,1.06,202833.66,102665.18,19071.46,173.94,80923.08,67507.82,13415.26,0.0,conventional,2016,Nashville
20,2016-08-07,1.12,188016.6,95351.73,25466.1,161.34,67037.43,46061.04,20976.39,0.0,conventional,2016,Nashville
21,2016-07-31,1.1,186520.46,88436.32,29435.66,250.6,68397.88,58584.96,9715.7,97.22,conventional,2016,Nashville
22,2016-07-24,1.07,191727.48,87692.81,31317.01,255.64,72462.02,59470.62,12991.4,0.0,conventional,2016,Nashville
23,2016-07-17,1.07,196773.62,90032.0,33912.54,220.24,72608.84,63132.79,9476.05,0.0,conventional,2016,Nashville
24,2016-07-10,1.0,198240.02,88754.1,37966.33,320.41,71199.18,51675.19,19523.99,0.0,conventional,2016,Nashville
25,2016-07-03,0.87,250902.49,106013.67,46053.0,354.02,98481.8,74730.82,23750.98,0.0,conventional,2016,Nashville
26,2016-06-26,0.98,195471.62,100031.56,25602.81,243.82,69593.43,60658.88,8683.16,251.39,conventional,2016,Nashville
27,2016-06-19,0.89,232084.2,135024.7,19715.89,436.95,76906.66,62256.8,13376.53,1273.33,conventional,2016,Nashville
28,2016-06-12,0.97,190921.36,119783.13,12815.76,905.03,57417.44,46174.86,9199.25,2043.33,conventional,2016,Nashville
29,2016-06-05,0.88,223368.78,136409.36,17532.4,727.53,68699.49,52919.87,14359.62,1420.0,conventional,2016,Nashville
30,2016-05-29,0.87,238624.36,144140.44,21273.82,993.26,72216.84,56072.86,15057.31,1086.67,conventional,2016,Nashville
31,2016-05-22,0.92,204128.5,115616.52,18839.88,712.61,68959.49,56097.72,11396.65,1465.12,conventional,2016,Nashville
32,2016-05-15,0.81,219615.86,103729.74,31344.62,975.69,83565.81,55828.84,27611.27,125.7,conventional,2016,Nashville
33,2016-05-08,0.88,212720.44,114895.39,26341.65,745.9,70737.5,51755.7,18956.39,25.41,conventional,2016,Nashville
34,2016-05-01,0.81,237679.37,117137.23,37442.51,1425.99,81673.64,49536.04,32137.6,0.0,conventional,2016,Nashville
35,2016-04-24,0.81,233759.31,111614.9,33820.97,1474.28,86849.16,60106.84,26635.38,106.94,conventional,2016,Nashville
36,2016-04-17,0.9,178369.19,96001.31,23421.52,1199.07,57747.29,40772.11,16972.66,2.52,conventional,2016,Nashville
37,2016-04-10,0.82,206829.38,98423.23,31061.97,3073.03,74271.15,43662.04,30601.57,7.54,conventional,2016,Nashville
38,2016-04-03,0.95,165587.67,94345.14,19391.21,6467.38,45383.94,26413.15,18970.79,0.0,conventional,2016,Nashville
39,2016-03-27,0.93,171568.47,98386.62,20112.88,6373.68,46695.29,33537.98,13157.31,0.0,conventional,2016,Nashville
40,2016-03-20,0.93,179305.81,100108.05,21586.77,6535.06,51075.93,35369.01,15704.4,2.52,conventional,2016,Nashville
41,2016-03-13,0.87,188478.21,91631.74,32085.32,5965.84,58795.31,27726.02,31069.29,0.0,conventional,2016,Nashville
42,2016-03-06,0.97,159755.26,87362.97,20762.36,5969.9,45660.03,29901.71,15758.32,0.0,conventional,2016,Nashville
43,2016-02-28,0.88,190263.02,99189.75,31558.82,7034.53,52479.92,27927.65,24552.27,0.0,conventional,2016,Nashville
44,2016-02-21,0.94,182025.3,101831.21,25448.04,9518.87,45227.18,33528.15,11699.03,0.0,conventional,2016,Nashville
45,2016-02-14,0.88,203205.09,103368.34,42830.57,8627.2,48378.98,32189.53,16189.45,0.0,conventional,2016,Nashville
46,2016-02-07,0.77,268608.69,124530.37,59611.16,7759.08,76708.08,39458.27,37249.81,0.0,conventional,2016,Nashville
47,2016-01-31,0.95,173689.71,90482.99,33297.46,8012.73,41896.53,27523.08,14373.45,0.0,conventional,2016,Nashville
48,2016-01-24,0.87,167159.24,78105.34,33125.0,6297.48,49631.42,25723.5,23907.92,0.0,conventional,2016,Nashville
49,2016-01-17,0.95,181360.74,98888.27,30227.7,6427.63,45817.14,32109.79,13707.35,0.0,conventional,2016,Nashville
50,2016-01-10,0.9,212752.83,123086.83,29886.44,7579.87,52199.69,31952.8,20246.89,0.0,conventional,2016,Nashville
51,2016-01-03,0.98,185316.35,131286.47,11153.76,7695.24,35180.88,26143.71,9037.17,0.0,conventional,2016,Nashville
0,2017-12-31,0.81,258729.83,159028.54,10137.8,177.54,89385.95,70278.2,18477.36,630.39,conventional,2017,Nashville
1,2017-12-24,1.04,182002.85,96258.83,6816.8,201.49,78725.73,65116.32,12231.63,1377.78,conventional,2017,Nashville
2,2017-12-17,0.91,197844.12,97643.53,7363.32,224.12,92613.15,79113.94,12580.32,918.89,conventional,2017,Nashville
3,2017-12-10,0.9,239587.94,123093.48,7029.89,199.82,109264.75,94522.11,13872.64,870.0,conventional,2017,Nashville
4,2017-12-03,1.01,229337.0,123038.0,8062.0,175.0,98063.0,78202.0,18913.0,949.0,conventional,2017,Nashville
5,2017-11-26,1.08,159826.0,83217.0,6254.0,183.0,70172.0,58959.0,10358.0,856.0,conventional,2017,Nashville
6,2017-11-19,1.02,188444.0,104128.0,6946.0,262.0,77107.0,65958.0,10329.0,820.0,conventional,2017,Nashville
