,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.91,187664.29,105570.93,18655.62,284.7,63153.04,53908.72,9224.82,19.5,conventional,2015,NewOrleansMobile
1,2015-12-20,0.92,191937.02,110266.94,18630.27,255.72,62784.09,57100.55,5619.06,64.48,conventional,2015,NewOrleansMobile
2,2015-12-13,0.86,204217.2,119689.49,31214.29,437.88,52875.54,44564.8,8310.74,0.0,conventional,2015,NewOrleansMobile
3,2015-12-06,0.94,185395.2,117854.69,21553.04,325.0,45662.47,41822.8,3839.67,0.0,conventional,2015,NewOrleansMobile
4,2015-11-29,0.9,175833.54,96662.75,23572.73,298.68,55299.38,49172.32,6127.06,0.0,conventional,2015,NewOrleansMobile
5,2015-11-22,0.94,192074.98,112638.84,18822.53,388.83,60224.78,53791.54,6426.96,6.28,conventional,2015,NewOrleansMobile
6,2015-11-15,0.98,195780.23,113570.58,21747.26,335.0,60127.39,56099.0,4028.39,0.0,conventional,2015,NewOrleansMobile
7,2015-11-08,0.96,197713.69,122265.65,21552.54,692.39,53203.11,49206.68,3996.43,0.0,conventional,2015,NewOrleansMobile
8,2015-11-01,0.97,204738.15,129683.8,16059.69,486.47,58508.19,50413.78,8082.05,12.36,conventional,2015,NewOrleansMobile
9,2015-10-25,1.01,191180.56,117736.07,17516.63,646.78,55281.08,51959.11,3321.97,0.0,conventional,2015,NewOrleansMobile
10,2015-10-18,1.02,206563.03,124894.03,18241.03,1003.78,62424.19,58060.12,4364.07,0.0,conventional,2015,NewOrleansMobile
11,2015-10-11,1.0,217777.46,135769.89,16126.01,1155.54,64726.02,56426.31,8293.55,6.16,conventional,2015,NewOrleansMobile
12,2015-10-04,1.0,222488.23,133195.58,20601.83,1171.5,67519.32,59907.03,7612.29,0.0,conventional,2015,NewOrleansMobile
13,2015-09-27,1.06,199908.44,123528.92,17616.44,1515.75,57247.33,53115.57,4131.76,0.0,conventional,2015,NewOrleansMobile
14,2015-09-20,1.0,224017.47,135003.95,24187.24,1608.76,63217.52,56901.55,6309.86,6.11,conventional,2015,NewOrleansMobile
15,2015-09-13,1.02,219776.27,140509.91,18106.55,1713.51,59446.3,54335.47,5110.83,0.0,conventional,2015,NewOrleansMobile
