,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.17,1129876.05,13711.19,872603.6,894.58,242666.68,208470.99,34191.25,4.44,conventional,2015,NewYork
1,2015-12-20,1.23,1139347.98,13998.35,867406.68,803.83,257139.12,212615.2,44523.92,0.0,conventional,2015,NewYork
2,2015-12-13,1.12,1254805.29,15990.38,975504.52,1657.92,261652.47,222446.62,39205.85,0.0,conventional,2015,NewYork
3,2015-12-06,1.2,1068971.54,15730.1,887708.08,892.62,164640.74,136643.23,27997.51,0.0,conventional,2015,NewYork
4,2015-11-29,1.16,999169.64,13652.41,814571.57,863.58,170082.08,139508.76,30573.32,0.0,conventional,2015,NewYork
5,2015-11-22,1.14,1111803.12,15004.7,905344.06,1227.89,190226.47,156660.8,33558.6,7.07,conventional,2015,NewYork
6,2015-11-15,1.04,1357393.34,23669.62,1107466.31,929.57,225327.84,196060.17,29267.67,0.0,conventional,2015,NewYork
7,2015-11-08,1.13,1406262.16,20146.29,1097994.07,753.78,287368.02,198024.18,89343.84,0.0,conventional,2015,NewYork
8,2015-11-01,1.06,2180520.22,24197.61,1916954.83,1226.57,238141.21,183727.03,54399.03,15.15,conventional,2015,NewYork
9,2015-10-25,1.23,1048045.86,18035.94,790163.44,540.63,239305.85,192750.44,46555.41,0.0,conventional,2015,NewYork
10,2015-10-18,0.97,1856337.85,23873.63,1598365.27,1173.01,232925.94,181854.71,51069.15,2.08,conventional,2015,NewYork
11,2015-10-11,1.28,1099283.22,14859.09,792683.64,721.46,291019.03,214209.27,76809.76,0.0,conventional,2015,NewYork
12,2015-10-04,1.26,1342963.26,19623.48,1060768.61,1078.17,261493.0,208106.11,53386.89,0.0,conventional,2015,NewYork
13,2015-09-27,1.16,1201066.41,15448.68,941112.78,983.6,243521.35,185973.17,57548.18,0.0,conventional,2015,NewYork
14,2015-09-20,1.18,1192210.54,16098.34,913022.98,801.09,262288.13,214317.49,47970.64,0.0,conventional,2015,NewYork
15,2015-09-13,1.16,1479334.84,20526.41,1208256.11,1030.24,249522.08,181277.74,68237.18,7.16,conventional,2015,NewYork
16,2015-09-06,1.22,1340925.56,19894.27,1074698.43,1295.45,245037.41,201210.17,43820.11,7.13,conventional,2015,NewYork
