,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.21,304598.42,2601.32,250270.9,12123.24,39602.96,39602.96,0.0,0.0,conventional,2015,NorthernNewEngland
1,2015-12-20,1.17,284808.22,2616.13,232459.75,3820.83,45911.51,45911.51,0.0,0.0,conventional,2015,NorthernNewEngland
2,2015-12-13,0.95,407482.83,2970.12,369076.25,116.84,35319.62,35319.62,0.0,0.0,conventional,2015,NorthernNewEngland
3,2015-12-06,1.11,303058.29,3320.11,261503.41,94.18,38140.59,38140.59,0.0,0.0,conventional,2015,NorthernNewEngland
4,2015-11-29,1.25,219689.9,2897.91,181977.84,88.58,34725.57,34725.57,0.0,0.0,conventional,2015,NorthernNewEngland
5,2015-11-22,1.08,274209.2,2770.62,230517.24,140.77,40780.57,40777.1,3.47,0.0,conventional,2015,NorthernNewEngland
6,2015-11-15,1.07,287015.98,2589.55,237255.49,90.93,47080.01,46867.66,212.35,0.0,conventional,2015,NorthernNewEngland
7,2015-11-08,0.96,489339.78,2347.38,453089.14,132.37,33770.89,33362.0,408.89,0.0,conventional,2015,NorthernNewEngland
8,2015-11-01,1.07,350260.55,3271.4,281498.53,209.48,65281.14,65081.14,200.0,0.0,conventional,2015,NorthernNewEngland
9,2015-10-25,1.08,313881.26,2599.46,268057.07,158.24,43066.49,42475.38,591.11,0.0,conventional,2015,NorthernNewEngland
10,2015-10-18,1.0,402466.4,3274.11,361448.46,192.81,37551.02,36297.69,1253.33,0.0,conventional,2015,NorthernNewEngland
11,2015-10-11,1.19,278472.66,3616.8,231543.02,204.79,43108.05,43001.38,106.67,0.0,conventional,2015,NorthernNewEngland
12,2015-10-04,1.12,298222.53,3978.7,253346.07,248.25,40649.51,40431.73,217.78,0.0,conventional,2015,NorthernNewEngland
13,2015-09-27,0.98,458602.59,2768.16,427544.89,265.22,28024.32,27515.43,508.89,0.0,conventional,2015,NorthernNewEngland
14,2015-09-20,1.17,322729.94,2413.3,270775.68,291.7,49249.26,48164.82,1084.44,0.0,conventional,2015,NorthernNewEngland
15,2015-09-13,1.09,356105.25,1752.73,301172.05,277.25,52903.22,52023.22,880.0,0.0,conventional,2015,NorthernNewEngland
16,2015-09-06,1.01,508207.79,2506.81,456884.53,377.7,48438.75,48349.86,88.89,0.0,conventional,2015,NorthernNewEngland
17,2015-08-30,1.13,395127.18,2834.15,337184.98,457.24,54650.81,54650.81,0.0,0.0,conventional,2015,NorthernNewEngland
18,2015-08-23,1.18,400101.77,2487.19,338130.6,608.29,58875.69,58875.69,0.0,0.0,conventional,2015,NorthernNewEngland
19,2015-08-16,1.23,372516.0,2067.21,304465.27,775.0,65208.52,65208.52,0.0,0.0,conventional,2015,NorthernNewEngland
20,2015-08-09,1.03,579226.47,2513.38,523492.97,815.98,52404.14,52400.81,3.33,0.0,conventional,2015,NorthernNewEngland
21,2015-08-02,1.25,417082.92,2279.1,347110.01,1637.61,66056.2,66056.2,0.0,0.0,conventional,2015,NorthernNewEngland
22,2015-07-26,1.25,402791.86,2558.33,324258.79,2452.04,73522.7,73518.43,4.27,0.0,conventional,2015,NorthernNewEngland
23,2015-07-19,1.03,594451.88,3108.09,522040.27,6851.58,62451.94,62434.86,17.08,0.0,conventional,2015,NorthernNewEngland
24,2015-07-12,1.1,509215.2,3111.08,341891.96,15371.77,148840.39,148811.62,28.77,0.0,conventional,2015,NorthernNewEngland
25,2015-07-05,1.15,536642.98,2968.62,338863.42,17991.98,176818.96,176636.74,182.22,0.0,conventional,2015,NorthernNewEngland
26,2015-06-28,1.14,452801.32,2582.77,282587.99,15156.27,152474.29,152425.4,48.89,0.0,conventional,2015,NorthernNewEngland
27,2015-06-21,1.18,425885.58,2279.37,300069.61,14779.66,108756.94,108756.94,0.0,0.0,conventional,2015,NorthernNewEngland
28,2015-06-14,1.04,537725.07,2804.46,362082.5,10744.54,162093.57,162093.57,0.0,0.0,conventional,2015,NorthernNewEngland
29,2015-06-07,1.17,427216.77,2096.21,314308.78,37.43,110774.35,110774.35,0.0,0.0,conventional,2015,NorthernNewEngland
30,2015-05-31,1.2,413699.46,2523.96,313153.31,61.25,97960.94,97960.94,0.0,0.0,conventional,2015,NorthernNewEngland
31,2015-05-24,1.04,512172.44,2624.76,372289.48,53.34,137204.86,137204.86,0.0,0.0,conventional,2015,NorthernNewEngland
32,2015-05-17,1.15,422484.37,2745.99,287792.49,29.88,131916.01,131904.74,11.27,0.0,conventional,2015,NorthernNewEngland
33,2015-05-10,1.05,578436.76,2739.66,503984.46,78.56,71634.08,71253.97,380.11,0.0,conventional,2015,NorthernNewEngland
34,2015-05-03,1.16,366987.36,2322.24,304233.27,59.55,60372.3,60354.57,17.73,0.0,conventional,2015,NorthernNewEngland
35,2015-04-26,1.24,311879.23,1960.76,253562.76,79.62,56276.09,56259.03,17.06,0.0,conventional,2015,NorthernNewEngland
36,2015-04-19,1.13,346561.62,2156.47,284389.27,78.27,59937.61,59936.64,0.97,0.0,conventional,2015,NorthernNewEngland
37,2015-04-12,1.16,306250.63,2160.72,214309.89,58.52,89721.5,89699.64,21.86,0.0,conventional,2015,NorthernNewEngland
38,2015-04-05,1.19,309143.83,2352.11,252306.55,82.02,54403.15,54288.7,114.45,0.0,conventional,2015,NorthernNewEngland
39,2015-03-29,1.07,412639.2,2452.76,372165.06,57.27,37964.11,37036.33,927.78,0.0,conventional,2015,NorthernNewEngland
40,2015-03-22,1.19,282155.05,4556.72,229492.52,55.64,48050.17,47856.09,194.08,0.0,conventional,2015,NorthernNewEngland
41,2015-03-15,1.15,301852.8,6236.37,247092.81,90.6,48433.02,48390.8,42.22,0.0,conventional,2015,NorthernNewEngland
42,2015-03-08,1.09,287963.73,2507.83,234532.06,15.02,50908.82,50606.6,302.22,0.0,conventional,2015,NorthernNewEngland
43,2015-03-01,1.05,355677.99,2266.45,310490.26,41.26,42880.02,42880.02,0.0,0.0,conventional,2015,NorthernNewEngland
44,2015-02-22,1.13,264118.86,2875.24,217477.35,23.63,43742.64,43735.97,6.67,0.0,conventional,2015,NorthernNewEngland
