,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.99,305773.54,211102.9,20765.29,124.04,73781.31,40641.55,33139.76,0.0,conventional,2015,Orlando
1,2015-12-20,1.21,200074.81,131152.6,15794.56,122.07,53005.58,36258.03,16747.55,0.0,conventional,2015,Orlando
2,2015-12-13,0.96,310101.52,217679.37,24260.86,168.63,67992.66,31407.15,36585.51,0.0,conventional,2015,Orlando
3,2015-12-06,1.2,199063.82,135222.96,21555.66,121.93,42163.27,24098.62,18064.65,0.0,conventional,2015,Orlando
4,2015-11-29,0.96,262683.8,190361.54,21007.77,37.82,51276.67,21536.82,29739.85,0.0,conventional,2015,Orlando
5,2015-11-22,0.98,266950.55,184441.61,21585.56,120.55,60802.83,27114.53,33688.3,0.0,conventional,2015,Orlando
6,2015-11-15,1.24,200715.34,129533.08,20681.56,109.39,50391.31,27742.9,22648.41,0.0,conventional,2015,Orlando
7,2015-11-08,1.24,202954.88,132375.83,21007.3,92.19,49479.56,31369.94,18109.62,0.0,conventional,2015,Orlando
8,2015-11-01,0.97,330071.34,228073.04,29350.55,80.56,72567.19,33748.18,38819.01,0.0,conventional,2015,Orlando
9,2015-10-25,1.25,210265.79,138110.06,24182.08,91.29,47882.36,29737.38,18128.16,16.82,conventional,2015,Orlando
10,2015-10-18,1.24,204526.46,131126.38,24094.4,71.02,49234.66,32915.51,16319.15,0.0,conventional,2015,Orlando
11,2015-10-11,1.0,308032.62,211056.18,30064.22,105.62,66806.6,31968.47,34838.13,0.0,conventional,2015,Orlando
12,2015-10-04,1.0,332997.12,224769.27,34085.54,60.86,74081.45,37192.16,36886.48,2.81,conventional,2015,Orlando
13,2015-09-27,1.28,202457.31,114107.06,41995.26,142.31,46212.68,29149.95,17062.73,0.0,conventional,2015,Orlando
14,2015-09-20,0.99,329684.97,201392.27,51930.95,119.94,76241.81,36956.49,39285.32,0.0,conventional,2015,Orlando
15,2015-09-13,1.23,221548.25,113374.88,51291.97,43.61,56837.79,37653.91,19183.88,0.0,conventional,2015,Orlando
16,2015-09-06,0.99,375737.02,232502.52,56930.16,82.75,86221.59,43014.65,43206.94,0.0,conventional,2015,Orlando
17,2015-08-30,1.25,238269.85,123335.43,51487.73,173.11,63273.58,44694.9,18578.68,0.0,conventional,2015,Orlando
18,2015-08-23,1.21,228926.1,113657.5,51869.47,81.78,63317.35,47516.81,15800.54,0.0,conventional,2015,Orlando
19,2015-08-16,1.23,240185.69,128769.54,46941.6,91.62,64382.93,45260.21,19122.72,0.0,conventional,2015,Orlando
20,2015-08-09,0.99,388550.28,249265.95,57952.32,99.51,81232.5,47242.5,33990.0,0.0,conventional,2015,Orlando
21,2015-08-02,1.24,240821.52,130990.19,49482.92,88.69,60259.72,43472.9,16786.82,0.0,conventional,2015,Orlando
22,2015-07-26,1.22,239841.95,128204.96,51179.38,71.27,60386.34,44878.7,15507.64,0.0,conventional,2015,Orlando
23,2015-07-19,0.98,363733.15,226313.4,57749.18,61.06,79609.51,42477.4,37132.11,0.0,conventional,2015,Orlando
24,2015-07-12,1.22,245528.89,133073.61,53986.68,73.35,58395.25,41732.15,16663.1,0.0,conventional,2015,Orlando
25,2015-07-05,0.97,420329.35,258450.62,66371.81,83.04,95423.88,58523.36,36900.52,0.0,conventional,2015,Orlando
26,2015-06-28,1.15,277853.94,144510.58,52467.4,118.88,80757.08,62186.73,18570.35,0.0,conventional,2015,Orlando
27,2015-06-21,0.96,394035.19,243576.61,57122.76,726.55,92609.27,55420.02,37189.25,0.0,conventional,2015,Orlando
28,2015-06-14,1.22,256149.75,141946.09,36946.34,2083.82,75173.5,56501.85,18663.64,8.01,conventional,2015,Orlando
