,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.25,308546.88,9778.07,208945.03,530.89,89292.89,82776.35,6513.36,3.18,conventional,2015,Philadelphia
1,2015-12-20,1.33,306843.13,9646.13,198361.8,532.68,98302.52,88587.5,9715.02,0.0,conventional,2015,Philadelphia
2,2015-12-13,1.18,352369.17,12500.24,244536.03,683.27,94649.63,87738.34,6908.05,3.24,conventional,2015,Philadelphia
3,2015-12-06,1.18,346896.0,16536.57,254808.6,540.52,75010.31,67405.8,7596.24,8.27,conventional,2015,Philadelphia
4,2015-11-29,1.23,275091.78,11335.64,195284.31,533.71,67938.12,62262.05,5676.07,0.0,conventional,2015,Philadelphia
5,2015-11-22,1.23,320058.33,12680.14,226193.52,591.76,80592.91,74840.49,5752.42,0.0,conventional,2015,Philadelphia
6,2015-11-15,1.17,363548.06,13989.06,263608.21,604.6,85346.19,78169.59,7176.6,0.0,conventional,2015,Philadelphia
7,2015-11-08,1.27,374933.8,13866.99,268320.02,479.7,92267.09,76143.42,16123.67,0.0,conventional,2015,Philadelphia
8,2015-11-01,1.13,559566.5,15179.56,453729.65,570.57,90086.72,78873.23,11206.74,6.75,conventional,2015,Philadelphia
9,2015-10-25,1.19,398337.69,19897.83,283085.98,437.37,94916.51,84288.89,10627.62,0.0,conventional,2015,Philadelphia
10,2015-10-18,1.06,496236.63,14369.89,388376.48,819.38,92670.88,83101.65,9569.23,0.0,conventional,2015,Philadelphia
11,2015-10-11,1.26,373650.83,13073.44,256350.83,550.69,103675.87,83281.81,20392.37,1.69,conventional,2015,Philadelphia
12,2015-10-04,1.28,388205.8,14121.46,268719.03,754.42,104610.89,91635.61,12975.28,0.0,conventional,2015,Philadelphia
13,2015-09-27,1.25,368779.77,14983.22,255352.91,497.49,97946.15,82669.93,15276.22,0.0,conventional,2015,Philadelphia
14,2015-09-20,1.25,361361.6,14832.84,251090.34,580.3,94858.12,84698.03,10160.09,0.0,conventional,2015,Philadelphia
15,2015-09-13,1.19,454795.64,15898.8,346217.39,752.17,91927.28,78976.79,12950.49,0.0,conventional,2015,Philadelphia
16,2015-09-06,1.25,399061.75,16018.81,284480.15,633.36,97929.43,89096.28,8827.37,5.78,conventional,2015,Philadelphia
17,2015-08-30,1.26,381319.43,14942.34,269812.12,654.66,95910.31,86293.69,9570.66,45.96,conventional,2015,Philadelphia
