,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.49,1137707.43,738314.8,286858.37,11642.46,100891.8,70749.02,30142.78,0.0,conventional,2015,PhoenixTucson
1,2015-12-20,0.53,1097224.25,785254.94,204147.3,10346.68,97475.33,72169.92,25305.41,0.0,conventional,2015,PhoenixTucson
2,2015-12-13,0.66,907470.09,546182.56,241774.69,9429.99,110082.85,92028.11,18054.74,0.0,conventional,2015,PhoenixTucson
3,2015-12-06,0.56,1105500.34,760680.02,271207.14,13354.8,60258.38,60255.64,2.74,0.0,conventional,2015,PhoenixTucson
4,2015-11-29,0.75,724915.6,449043.34,208439.29,9770.44,57662.53,57662.53,0.0,0.0,conventional,2015,PhoenixTucson
5,2015-11-22,0.77,737834.48,441712.62,220374.84,11102.75,64644.27,63088.81,1555.46,0.0,conventional,2015,PhoenixTucson
6,2015-11-15,0.62,1010132.49,690246.77,244820.79,11412.94,63651.99,63178.2,473.79,0.0,conventional,2015,PhoenixTucson
7,2015-11-08,0.6,1102271.52,793103.44,234926.57,11555.39,62686.12,62666.63,19.49,0.0,conventional,2015,PhoenixTucson
8,2015-11-01,0.71,907452.21,592066.03,232050.89,20971.41,62363.88,62363.88,0.0,0.0,conventional,2015,PhoenixTucson
9,2015-10-25,0.83,761261.71,435986.9,240689.98,19968.66,64616.17,64585.35,30.82,0.0,conventional,2015,PhoenixTucson
10,2015-10-18,0.65,1094731.43,728349.92,287934.77,10255.97,68190.77,68128.99,61.78,0.0,conventional,2015,PhoenixTucson
11,2015-10-11,0.89,795732.52,382706.67,321487.4,19579.82,71958.63,71955.82,2.81,0.0,conventional,2015,PhoenixTucson
12,2015-10-04,0.89,726095.5,363730.26,269015.75,10663.95,82685.54,82685.54,0.0,0.0,conventional,2015,PhoenixTucson
13,2015-09-27,0.91,664201.67,364703.64,229488.26,9974.5,60035.27,59972.02,63.25,0.0,conventional,2015,PhoenixTucson
14,2015-09-20,0.71,892151.19,410147.31,403760.93,6031.4,72211.55,64530.22,7681.33,0.0,conventional,2015,PhoenixTucson
15,2015-09-13,0.71,1100901.69,606856.71,294311.71,15399.69,184333.58,74017.75,110315.83,0.0,conventional,2015,PhoenixTucson
16,2015-09-06,0.58,1390417.77,937165.6,293505.07,6101.99,153645.11,93116.34,60528.77,0.0,conventional,2015,PhoenixTucson
17,2015-08-30,0.74,939785.74,610521.08,238518.32,5931.86,84814.48,84714.7,99.78,0.0,conventional,2015,PhoenixTucson
18,2015-08-23,0.78,873856.52,562928.77,228549.09,4923.05,77455.61,75885.27,1570.34,0.0,conventional,2015,PhoenixTucson
19,2015-08-16,0.66,1203149.94,836443.14,223690.17,8294.96,134721.67,95992.23,38729.44,0.0,conventional,2015,PhoenixTucson
20,2015-08-09,0.79,981975.08,621184.17,228961.24,7040.81,124788.86,79670.22,45118.64,0.0,conventional,2015,PhoenixTucson
21,2015-08-02,0.78,946868.0,611966.36,205131.07,5261.65,124508.92,80224.04,44284.88,0.0,conventional,2015,PhoenixTucson
22,2015-07-26,0.77,903242.22,579515.76,204147.69,8805.55,110773.22,77011.19,33762.03,0.0,conventional,2015,PhoenixTucson
23,2015-07-19,0.76,928600.19,608209.31,200732.5,4302.29,115356.09,84065.18,31290.91,0.0,conventional,2015,PhoenixTucson
24,2015-07-12,0.7,1015567.49,689407.92,201234.96,4759.57,120165.04,84710.72,35134.88,319.44,conventional,2015,PhoenixTucson
25,2015-07-05,0.56,1456835.79,1096452.67,220124.25,5251.74,135007.13,98977.04,36030.09,0.0,conventional,2015,PhoenixTucson
26,2015-06-28,0.7,955510.57,668071.26,176318.03,4419.34,106701.94,84853.81,21848.13,0.0,conventional,2015,PhoenixTucson
27,2015-06-21,0.54,1343180.92,1028045.58,188115.35,4910.71,122109.28,99129.04,22980.24,0.0,conventional,2015,PhoenixTucson
28,2015-06-14,0.53,1353850.06,1046887.77,180388.89,4263.45,122309.95,94240.24,28069.71,0.0,conventional,2015,PhoenixTucson
29,2015-06-07,0.52,1457359.83,1130917.54,199669.94,4499.84,122272.51,90030.35,32242.16,0.0,conventional,2015,PhoenixTucson
30,2015-05-31,0.56,1282095.88,981853.86,177850.55,10400.82,111990.65,81585.03,30405.62,0.0,conventional,2015,PhoenixTucson
31,2015-05-24,0.58,1261540.03,968755.93,180676.87,6013.78,106093.45,84441.02,21652.43,0.0,conventional,2015,PhoenixTucson
32,2015-05-17,0.67,1013049.67,739725.96,167185.6,4706.99,101431.12,77703.34,23727.78,0.0,conventional,2015,PhoenixTucson
33,2015-05-10,0.67,1072300.38,775683.37,182956.41,4878.68,108781.92,77196.88,31585.04,0.0,conventional,2015,PhoenixTucson
34,2015-05-03,0.6,1268607.36,901701.94,256791.72,5692.05,104421.65,80245.0,23882.21,294.44,conventional,2015,PhoenixTucson
35,2015-04-26,0.53,1272428.72,1012900.04,159158.29,5832.62,94537.77,76637.06,17900.71,0.0,conventional,2015,PhoenixTucson
36,2015-04-19,0.51,1366844.88,1097285.22,164460.99,7534.3,97564.37,44646.67,52917.7,0.0,conventional,2015,PhoenixTucson
37,2015-04-12,0.66,1019280.57,746352.69,181417.77,5732.19,85777.92,39455.85,46322.07,0.0,conventional,2015,PhoenixTucson
38,2015-04-05,0.57,1320320.85,1058164.41,172115.69,7128.12,82912.63,49271.61,33641.02,0.0,conventional,2015,PhoenixTucson
39,2015-03-29,0.57,1231267.27,998057.91,157108.31,8638.85,67462.2,43759.93,23702.27,0.0,conventional,2015,PhoenixTucson
40,2015-03-22,0.71,1089117.0,813326.5,208871.24,6035.48,60883.78,60874.89,8.89,0.0,conventional,2015,PhoenixTucson
