,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.25,73109.9,1241.48,45856.11,951.32,25060.99,17512.17,7392.15,156.67,conventional,2015,Pittsburgh
1,2015-12-20,1.22,68972.79,1176.24,40726.41,1003.63,26066.51,17094.03,8749.15,223.33,conventional,2015,Pittsburgh
2,2015-12-13,1.19,65332.74,1219.9,38684.45,959.83,24468.56,15525.47,8943.09,0.0,conventional,2015,Pittsburgh
3,2015-12-06,1.21,61870.23,1712.54,41481.83,1081.56,17594.3,8739.98,8854.32,0.0,conventional,2015,Pittsburgh
4,2015-11-29,1.26,54779.61,1443.95,35859.3,958.7,16517.66,7946.78,8570.88,0.0,conventional,2015,Pittsburgh
5,2015-11-22,1.3,63345.59,1584.89,42392.76,1119.61,18248.33,12552.12,5696.21,0.0,conventional,2015,Pittsburgh
6,2015-11-15,1.24,64518.82,1179.87,42966.81,979.92,19392.22,13712.24,5679.98,0.0,conventional,2015,Pittsburgh
7,2015-11-08,0.93,123489.29,1423.35,85217.83,2313.9,34534.21,13430.34,21103.87,0.0,conventional,2015,Pittsburgh
8,2015-11-01,1.16,81573.97,1523.62,60507.97,1706.56,17835.82,12000.07,5835.75,0.0,conventional,2015,Pittsburgh
9,2015-10-25,1.22,69191.72,2301.4,40984.47,1289.08,24616.77,13587.31,11029.46,0.0,conventional,2015,Pittsburgh
10,2015-10-18,1.23,70132.85,1700.52,43226.31,1465.61,23740.41,13949.01,9791.4,0.0,conventional,2015,Pittsburgh
11,2015-10-11,0.96,84053.56,981.32,59821.03,1535.63,21715.58,14948.34,6767.24,0.0,conventional,2015,Pittsburgh
12,2015-10-04,0.99,89538.02,1068.04,69555.83,2321.1,16593.05,13300.88,3292.17,0.0,conventional,2015,Pittsburgh
13,2015-09-27,1.11,91558.77,815.05,62972.23,1852.47,25919.02,14361.09,11557.93,0.0,conventional,2015,Pittsburgh
14,2015-09-20,1.19,74826.22,1137.38,44085.07,1176.81,28426.96,19393.09,9033.87,0.0,conventional,2015,Pittsburgh
15,2015-09-13,1.16,74962.45,1340.03,43000.49,998.6,29623.33,21080.82,8542.51,0.0,conventional,2015,Pittsburgh
16,2015-09-06,1.12,114216.62,1158.99,78578.82,2074.97,32403.84,23118.99,9284.85,0.0,conventional,2015,Pittsburgh
17,2015-08-30,1.37,74510.02,1493.6,40727.85,3632.29,28656.28,20079.07,8573.41,3.8,conventional,2015,Pittsburgh
18,2015-08-23,1.2,83196.11,1411.93,51014.61,1714.56,29055.01,18577.69,10477.32,0.0,conventional,2015,Pittsburgh
19,2015-08-16,1.23,87687.64,1314.23,53769.39,1381.07,31222.95,21335.31,9887.64,0.0,conventional,2015,Pittsburgh
20,2015-08-09,0.96,145930.35,1306.17,99815.2,3021.58,41787.4,26618.86,15168.54,0.0,conventional,2015,Pittsburgh
21,2015-08-02,1.43,74680.7,1309.11,42703.28,1151.93,29516.38,23664.27,5852.11,0.0,conventional,2015,Pittsburgh
