,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.1,1306923.23,571602.6,404837.9,25188.57,305294.16,279127.08,24838.63,1328.45,conventional,2015,Plains
1,2015-12-20,1.13,1139861.64,497437.17,341262.17,27253.71,273908.59,255725.09,16936.24,1247.26,conventional,2015,Plains
2,2015-12-13,1.02,1472501.13,695419.91,463238.46,17927.73,295915.03,266174.79,28516.98,1223.26,conventional,2015,Plains
3,2015-12-06,1.08,1245289.61,579077.46,394656.96,13005.11,258550.08,243961.62,13539.44,1049.02,conventional,2015,Plains
4,2015-11-29,1.11,1099646.06,460759.58,364748.79,10648.01,263489.68,248449.51,14157.64,882.53,conventional,2015,Plains
5,2015-11-22,1.1,1281613.28,584490.6,403638.25,15421.83,278062.6,260079.65,16838.2,1144.75,conventional,2015,Plains
6,2015-11-15,1.09,1294866.75,549163.56,441216.08,17268.45,287218.66,270313.26,16012.74,892.66,conventional,2015,Plains
7,2015-11-08,1.12,1285586.97,513609.22,467808.56,19975.92,284193.27,266376.52,16399.34,1417.41,conventional,2015,Plains
8,2015-11-01,1.12,1350091.82,469390.49,584277.22,17013.86,279410.25,264897.41,13224.58,1288.26,conventional,2015,Plains
9,2015-10-25,1.11,1411354.54,559720.23,583990.89,15616.99,252026.43,237398.61,13346.37,1281.45,conventional,2015,Plains
10,2015-10-18,1.12,1368887.69,492966.35,588304.97,14931.07,272685.3,257340.06,13759.12,1586.12,conventional,2015,Plains
11,2015-10-11,1.05,1560845.55,708470.83,576153.62,14585.67,261635.43,248699.54,11296.81,1639.08,conventional,2015,Plains
12,2015-10-04,1.14,1309245.88,492561.57,566241.35,15401.65,235041.31,223134.82,10382.51,1523.98,conventional,2015,Plains
13,2015-09-27,0.99,1542657.96,564480.54,729792.24,14587.65,233797.53,221484.44,10779.94,1533.15,conventional,2015,Plains
14,2015-09-20,1.16,1386951.96,611683.23,506379.84,15441.14,253447.75,237139.11,15090.36,1218.28,conventional,2015,Plains
15,2015-09-13,1.13,1526985.3,727720.21,491074.45,15652.47,292538.17,271845.35,19120.68,1572.14,conventional,2015,Plains
16,2015-09-06,1.12,1714650.22,857114.48,547236.44,15397.86,294901.44,276258.81,17590.29,1052.34,conventional,2015,Plains
17,2015-08-30,1.13,1481150.17,699755.69,477305.38,14634.43,289454.67,270142.84,18056.86,1254.97,conventional,2015,Plains
18,2015-08-23,1.06,1731574.98,930286.05,498120.52,16041.72,287126.69,275002.9,10772.67,1351.12,conventional,2015,Plains
19,2015-08-16,1.08,1727851.85,911935.06,508403.31,14777.59,292735.89,277836.31,13619.13,1280.45,conventional,2015,Plains
20,2015-08-09,1.14,1605913.77,789751.38,498857.3,21090.12,296214.97,281135.85,13951.38,1127.74,conventional,2015,Plains
21,2015-08-02,1.13,1593031.18,761285.69,506914.62,33145.85,291685.02,276864.79,13477.89,1342.34,conventional,2015,Plains
22,2015-07-26,1.04,1844887.26,898275.28,576870.99,53882.08,315858.91,292786.5,21669.83,1402.58,conventional,2015,Plains
23,2015-07-19,1.09,1701986.81,824192.7,491747.17,37429.71,348617.23,332847.58,14512.26,1257.39,conventional,2015,Plains
24,2015-07-12,1.07,1808842.07,953323.15,530475.53,14462.47,310580.92,292683.09,12904.75,4993.08,conventional,2015,Plains
25,2015-07-05,1.06,1988311.9,927860.87,627548.45,19636.37,413266.21,396505.99,15522.11,1238.11,conventional,2015,Plains
26,2015-06-28,1.08,1826182.48,954738.73,480810.73,18637.71,371995.31,358087.94,12451.24,1456.13,conventional,2015,Plains
27,2015-06-21,1.08,1921720.44,1049002.63,474166.48,22901.69,375649.64,358605.35,15767.87,1276.42,conventional,2015,Plains
28,2015-06-14,1.06,1974806.07,1117926.72,443241.8,27161.21,386476.34,375290.39,9693.84,1492.11,conventional,2015,Plains
29,2015-06-07,1.04,2026464.23,1207877.63,445069.67,17034.85,356482.08,353409.98,1330.64,1741.46,conventional,2015,Plains
30,2015-05-31,1.09,1853451.18,1085643.8,418763.72,11918.96,337124.7,334423.95,902.84,1797.91,conventional,2015,Plains
31,2015-05-24,1.03,2026639.78,1221023.1,450494.18,12148.13,342974.37,338254.28,2828.9,1891.19,conventional,2015,Plains
32,2015-05-17,1.06,1966712.28,1228815.94,413931.34,11424.24,312540.76,308421.89,2567.1,1551.77,conventional,2015,Plains
33,2015-05-10,1.03,2105831.09,1319397.29,424405.51,12270.69,349757.6,344545.73,3874.51,1337.36,conventional,2015,Plains
34,2015-05-03,1.01,2333238.9,1485535.26,508885.83,17406.31,321411.5,311074.95,6744.66,3591.89,conventional,2015,Plains
35,2015-04-26,1.13,1787071.74,1022915.7,447514.72,23878.2,292763.12,278730.74,6240.25,7792.13,conventional,2015,Plains
36,2015-04-19,1.12,1801956.87,1055547.01,433296.82,33180.04,279933.0,272779.43,5725.48,1428.09,conventional,2015,Plains
