,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.01,417190.47,87748.64,131201.91,16182.87,182057.05,181763.3,44.65,249.1,conventional,2015,Portland
1,2015-12-20,0.98,416298.84,82416.56,134956.77,13276.06,185649.45,185479.46,29.77,140.22,conventional,2015,Portland
2,2015-12-13,0.93,429103.52,94577.23,162734.28,12487.18,159304.83,159009.01,109.68,186.14,conventional,2015,Portland
3,2015-12-06,0.73,743770.2,90996.95,270188.87,13360.01,369224.37,363808.78,4531.76,883.83,conventional,2015,Portland
4,2015-11-29,1.04,353818.15,78566.84,113850.46,13672.29,147728.56,147268.25,89.0,371.31,conventional,2015,Portland
5,2015-11-22,1.03,380726.46,83017.79,131660.3,14806.53,151241.84,150474.71,7.4,759.73,conventional,2015,Portland
6,2015-11-15,0.9,568414.35,83998.38,199356.57,16340.66,268718.74,258913.25,2157.19,7648.3,conventional,2015,Portland
7,2015-11-08,1.04,406548.16,100419.74,152265.41,15085.38,138777.63,136935.61,236.07,1605.95,conventional,2015,Portland
8,2015-11-01,1.06,423475.77,98262.62,182672.87,11993.63,130546.65,130164.27,123.39,258.99,conventional,2015,Portland
9,2015-10-25,0.91,480396.16,95297.5,191061.91,13673.67,180363.08,178207.01,1322.84,833.23,conventional,2015,Portland
10,2015-10-18,1.05,438182.64,113111.46,188908.15,16086.11,120076.92,119843.01,92.18,141.73,conventional,2015,Portland
11,2015-10-11,0.79,657656.23,84270.47,324386.38,31627.53,217371.85,211701.25,3997.36,1673.24,conventional,2015,Portland
12,2015-10-04,1.13,421430.94,104149.05,172302.04,45229.53,99750.32,99417.33,165.46,167.53,conventional,2015,Portland
13,2015-09-27,0.9,484598.47,159779.59,187080.35,13101.24,124637.29,124612.73,1.84,22.72,conventional,2015,Portland
14,2015-09-20,0.94,566385.9,121425.14,291367.4,12831.81,140761.55,140535.44,58.92,167.19,conventional,2015,Portland
15,2015-09-13,1.0,535519.29,222536.88,181246.81,15103.06,116632.54,116569.24,22.02,41.28,conventional,2015,Portland
16,2015-09-06,1.1,465258.45,174913.44,188351.71,13357.86,88635.44,88369.14,231.21,35.09,conventional,2015,Portland
17,2015-08-30,1.14,427776.92,154462.2,186124.73,13235.52,73954.47,73781.04,138.56,34.87,conventional,2015,Portland
18,2015-08-23,1.08,545296.58,153011.47,274926.31,15312.9,102045.9,101670.76,332.04,43.1,conventional,2015,Portland
19,2015-08-16,1.17,465897.27,180693.46,190950.32,15332.72,78920.77,78821.71,94.95,4.11,conventional,2015,Portland
20,2015-08-09,1.19,448135.88,174171.38,185098.36,17536.12,71330.02,71232.22,89.57,8.23,conventional,2015,Portland
21,2015-08-02,1.14,501106.6,193728.54,217474.07,20132.68,69771.31,69761.93,7.32,2.06,conventional,2015,Portland
22,2015-07-26,1.18,433999.24,178906.95,171527.43,17189.62,66375.24,66239.5,135.74,0.0,conventional,2015,Portland
23,2015-07-19,1.18,446862.52,188492.76,180269.35,16444.94,61655.47,56419.16,5228.04,8.27,conventional,2015,Portland
24,2015-07-12,1.02,568129.75,264203.19,187613.16,17027.48,99285.92,88288.73,10900.79,96.4,conventional,2015,Portland
25,2015-07-05,1.19,574999.04,215805.97,273227.27,22969.6,62996.2,59731.74,3256.13,8.33,conventional,2015,Portland
26,2015-06-28,1.16,508174.09,196765.08,223128.51,21601.64,66678.86,66557.46,98.42,22.98,conventional,2015,Portland
27,2015-06-21,1.08,579558.0,170388.26,284787.85,32660.15,91721.74,89830.23,14.83,1876.68,conventional,2015,Portland
28,2015-06-14,1.08,622880.59,180452.62,323409.94,18608.64,100409.39,99951.29,393.39,64.71,conventional,2015,Portland
29,2015-06-07,1.16,543944.19,194122.57,239758.46,19235.07,90828.09,90346.52,473.22,8.35,conventional,2015,Portland
30,2015-05-31,1.01,600303.28,249742.24,226577.97,17218.66,106764.41,106687.47,51.91,25.03,conventional,2015,Portland
31,2015-05-24,1.01,606039.09,190231.27,295332.36,15508.11,104967.35,104757.58,136.92,72.85,conventional,2015,Portland
32,2015-05-17,1.06,487024.66,210129.55,162760.11,19253.03,94881.97,94742.82,0.0,139.15,conventional,2015,Portland
33,2015-05-10,0.91,675269.74,241819.96,295585.52,16212.44,121651.82,121155.5,338.86,157.46,conventional,2015,Portland
