,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.96,208425.96,47444.55,86212.38,21669.44,53099.59,52596.72,502.87,0.0,conventional,2015,RaleighGreensboro
1,2015-12-20,0.98,189584.22,43169.56,78630.35,20913.36,46870.95,46617.48,253.47,0.0,conventional,2015,RaleighGreensboro
2,2015-12-13,0.98,207627.79,51042.68,86614.43,24041.02,45929.66,45573.83,355.83,0.0,conventional,2015,RaleighGreensboro
3,2015-12-06,0.97,210379.48,54037.25,84518.32,26500.57,45323.34,45120.91,202.43,0.0,conventional,2015,RaleighGreensboro
4,2015-11-29,0.98,185733.81,49084.79,72843.91,21863.66,41941.45,41606.59,334.86,0.0,conventional,2015,RaleighGreensboro
5,2015-11-22,1.02,179083.03,44120.52,75630.56,25366.63,33965.32,33573.06,392.26,0.0,conventional,2015,RaleighGreensboro
6,2015-11-15,1.0,238990.38,52380.29,112379.04,38424.89,35806.16,34671.43,1134.73,0.0,conventional,2015,RaleighGreensboro
7,2015-11-08,1.07,223564.41,61118.97,68546.36,52451.86,41447.22,39551.73,1895.49,0.0,conventional,2015,RaleighGreensboro
8,2015-11-01,1.12,229530.31,56638.78,60350.15,63741.6,48799.78,46809.56,1990.22,0.0,conventional,2015,RaleighGreensboro
9,2015-10-25,1.22,199222.68,52737.98,50170.35,50086.92,46227.43,44925.95,1301.48,0.0,conventional,2015,RaleighGreensboro
10,2015-10-18,1.23,217581.17,49804.3,64754.24,53069.24,49953.39,48619.54,1333.85,0.0,conventional,2015,RaleighGreensboro
11,2015-10-11,1.17,222606.79,47887.85,54545.59,69417.88,50755.47,48621.59,2133.88,0.0,conventional,2015,RaleighGreensboro
12,2015-10-04,1.29,187692.67,48417.65,56829.33,45935.19,36510.5,34300.9,2209.6,0.0,conventional,2015,RaleighGreensboro
13,2015-09-27,1.12,222849.89,47076.74,71030.22,69313.13,35429.8,33593.74,1836.06,0.0,conventional,2015,RaleighGreensboro
14,2015-09-20,1.22,216519.33,50149.22,63790.55,47238.12,55341.44,52100.42,3241.02,0.0,conventional,2015,RaleighGreensboro
15,2015-09-13,1.16,238903.72,63924.76,55553.71,37519.32,81905.93,80146.2,1759.73,0.0,conventional,2015,RaleighGreensboro
16,2015-09-06,1.04,301641.21,56439.41,83271.26,77352.73,84577.81,83519.16,1058.65,0.0,conventional,2015,RaleighGreensboro
17,2015-08-30,1.16,253577.94,52246.02,61767.29,42039.92,97524.71,97342.36,182.35,0.0,conventional,2015,RaleighGreensboro
18,2015-08-23,1.13,277977.73,50939.49,68496.4,46614.0,111927.84,111602.1,325.74,0.0,conventional,2015,RaleighGreensboro
19,2015-08-16,1.23,241120.74,50360.32,59216.72,47919.71,83623.99,83231.2,392.79,0.0,conventional,2015,RaleighGreensboro
20,2015-08-09,1.23,234070.7,42925.31,65067.83,44441.11,81636.45,81028.63,607.82,0.0,conventional,2015,RaleighGreensboro
21,2015-08-02,1.22,243248.66,49760.49,64419.93,44520.15,84548.09,84232.28,315.81,0.0,conventional,2015,RaleighGreensboro
22,2015-07-26,1.2,232204.85,50568.58,52944.26,41446.55,87245.46,87050.05,195.41,0.0,conventional,2015,RaleighGreensboro
23,2015-07-19,1.2,246513.23,46281.36,63762.88,45046.22,91422.77,90363.6,1059.17,0.0,conventional,2015,RaleighGreensboro
24,2015-07-12,1.19,247167.15,38293.85,78845.11,42204.73,87823.46,86455.56,1367.9,0.0,conventional,2015,RaleighGreensboro
25,2015-07-05,1.16,275670.52,42042.96,103086.21,40891.64,89649.71,88239.15,1410.56,0.0,conventional,2015,RaleighGreensboro
26,2015-06-28,1.17,255921.9,39793.34,84150.14,45055.08,86923.34,86724.24,199.1,0.0,conventional,2015,RaleighGreensboro
27,2015-06-21,1.17,264236.38,45414.99,87728.29,41369.1,89724.0,89158.23,565.77,0.0,conventional,2015,RaleighGreensboro
28,2015-06-14,1.11,286814.82,60157.22,95409.49,41274.25,89973.86,89685.43,288.43,0.0,conventional,2015,RaleighGreensboro
29,2015-06-07,1.14,259977.16,73208.0,61502.61,41892.02,83374.53,82782.86,591.67,0.0,conventional,2015,RaleighGreensboro
