,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.98,161577.6,46837.66,67974.89,5986.26,40778.79,40770.1,3.44,5.25,conventional,2015,RichmondNorfolk
1,2015-12-20,0.99,158870.28,45598.33,73851.02,5425.25,33995.68,33982.55,5.25,7.88,conventional,2015,RichmondNorfolk
2,2015-12-13,0.98,174380.77,57804.67,75113.57,7096.7,34365.83,34365.83,0.0,0.0,conventional,2015,RichmondNorfolk
3,2015-12-06,0.98,176731.22,65474.44,77494.48,7028.58,26733.72,26727.63,6.09,0.0,conventional,2015,RichmondNorfolk
4,2015-11-29,0.99,140939.78,46757.26,65442.13,5499.99,23240.4,23240.4,0.0,0.0,conventional,2015,RichmondNorfolk
5,2015-11-22,1.01,148242.89,44462.58,69493.08,6545.55,27741.68,27736.4,2.64,2.64,conventional,2015,RichmondNorfolk
6,2015-11-15,0.94,198934.23,57421.46,101470.66,9940.86,30101.25,29466.63,634.62,0.0,conventional,2015,RichmondNorfolk
7,2015-11-08,0.95,202831.97,83635.77,76222.46,12315.03,30658.71,29783.15,875.56,0.0,conventional,2015,RichmondNorfolk
8,2015-11-01,1.0,212854.47,72020.73,93880.64,16391.8,30561.3,29676.86,884.44,0.0,conventional,2015,RichmondNorfolk
9,2015-10-25,1.02,180316.1,68613.89,70131.72,13184.36,28386.13,27568.35,817.78,0.0,conventional,2015,RichmondNorfolk
10,2015-10-18,1.0,217221.23,70405.4,106053.96,13205.22,27556.65,27252.31,280.0,24.34,conventional,2015,RichmondNorfolk
11,2015-10-11,1.01,192231.47,61756.93,85083.67,16004.59,29386.28,28741.43,617.78,27.07,conventional,2015,RichmondNorfolk
12,2015-10-04,1.04,200821.29,67267.71,91381.65,11357.4,30814.53,30425.15,389.38,0.0,conventional,2015,RichmondNorfolk
13,2015-09-27,0.97,203675.17,61853.71,101484.98,16430.71,23905.77,23139.55,766.22,0.0,conventional,2015,RichmondNorfolk
14,2015-09-20,1.04,195742.46,76712.59,72627.68,11692.02,34710.17,34070.17,640.0,0.0,conventional,2015,RichmondNorfolk
15,2015-09-13,1.01,229220.66,86208.18,89290.69,9499.01,44222.78,43507.62,715.16,0.0,conventional,2015,RichmondNorfolk
16,2015-09-06,0.98,252853.41,72054.13,112958.68,19484.71,48355.89,48304.3,48.89,2.7,conventional,2015,RichmondNorfolk
17,2015-08-30,1.06,213120.84,70639.52,86152.24,10562.29,45766.79,45766.79,0.0,0.0,conventional,2015,RichmondNorfolk
