,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.96,98584.92,33255.5,31680.16,152.86,33496.4,32877.16,0.0,619.24,conventional,2015,Roanoke
1,2015-12-20,1.0,88183.03,27512.58,31883.26,116.69,28670.5,27888.28,8.89,773.33,conventional,2015,Roanoke
2,2015-12-13,1.01,99886.07,38378.38,34347.46,127.18,27033.05,27030.08,2.97,0.0,conventional,2015,Roanoke
3,2015-12-06,1.01,99519.99,41191.54,35662.29,100.43,22565.73,22565.73,0.0,0.0,conventional,2015,Roanoke
4,2015-11-29,1.03,73733.96,24165.84,30145.95,114.57,19307.6,19307.6,0.0,0.0,conventional,2015,Roanoke
5,2015-11-22,1.0,83963.95,28956.02,29324.32,163.5,25520.11,25520.11,0.0,0.0,conventional,2015,Roanoke
6,2015-11-15,1.0,109928.84,41213.9,45406.39,99.0,23209.55,23209.55,0.0,0.0,conventional,2015,Roanoke
7,2015-11-08,1.01,114124.6,53190.61,35852.04,135.05,24946.9,24873.75,73.15,0.0,conventional,2015,Roanoke
8,2015-11-01,1.0,116798.97,54831.71,40083.51,177.07,21706.68,20934.8,771.88,0.0,conventional,2015,Roanoke
9,2015-10-25,0.99,110896.48,57250.89,33829.89,153.35,19662.35,19231.66,430.69,0.0,conventional,2015,Roanoke
10,2015-10-18,0.98,117516.57,48540.88,47290.21,115.01,21570.47,21570.47,0.0,0.0,conventional,2015,Roanoke
11,2015-10-11,1.01,118009.81,53713.89,37828.75,151.21,26315.96,26312.88,3.08,0.0,conventional,2015,Roanoke
12,2015-10-04,1.04,114487.07,51177.03,38394.24,126.92,24788.88,24788.88,0.0,0.0,conventional,2015,Roanoke
13,2015-09-27,1.01,109274.98,44983.72,44626.23,84.32,19580.71,19577.65,0.0,3.06,conventional,2015,Roanoke
14,2015-09-20,1.0,125682.96,64728.77,37055.97,128.08,23770.14,23770.14,0.0,0.0,conventional,2015,Roanoke
15,2015-09-13,0.99,147617.68,69411.99,49831.29,180.33,28194.07,28181.85,12.22,0.0,conventional,2015,Roanoke
16,2015-09-06,1.09,131197.71,42757.3,55250.67,139.46,33050.28,33001.48,42.7,6.1,conventional,2015,Roanoke
17,2015-08-30,1.14,114054.04,39821.27,43618.93,261.1,30352.74,29963.27,389.47,0.0,conventional,2015,Roanoke
18,2015-08-23,1.12,115608.44,38976.84,47017.25,318.39,29295.96,27837.68,1458.28,0.0,conventional,2015,Roanoke
19,2015-08-16,1.13,113815.5,40667.35,43698.58,411.16,29038.41,29038.41,0.0,0.0,conventional,2015,Roanoke
20,2015-08-09,1.09,116317.58,45164.18,40962.84,76.24,30114.32,30114.32,0.0,0.0,conventional,2015,Roanoke
21,2015-08-02,1.04,122568.69,48105.03,45920.97,92.49,28450.2,28450.2,0.0,0.0,conventional,2015,Roanoke
22,2015-07-26,1.04,118455.23,48519.87,38794.48,67.53,31073.35,31073.35,0.0,0.0,conventional,2015,Roanoke
23,2015-07-19,1.04,124246.77,48761.54,41554.57,110.24,33820.42,33820.42,0.0,0.0,conventional,2015,Roanoke
24,2015-07-12,1.06,128054.41,50647.98,42235.42,740.63,34430.38,34430.38,0.0,0.0,conventional,2015,Roanoke
25,2015-07-05,1.05,147749.25,54928.79,51261.23,2541.99,39017.24,39017.24,0.0,0.0,conventional,2015,Roanoke
26,2015-06-28,1.04,131276.21,50052.8,43905.58,68.94,37248.89,37248.89,0.0,0.0,conventional,2015,Roanoke
27,2015-06-21,1.05,135895.47,51621.94,47601.83,73.18,36598.52,36598.52,0.0,0.0,conventional,2015,Roanoke
28,2015-06-14,1.02,147633.83,58275.46,50914.84,19.99,38423.54,38416.87,6.67,0.0,conventional,2015,Roanoke
29,2015-06-07,1.05,139464.87,58789.36,41702.47,109.92,38863.12,38372.75,490.37,0.0,conventional,2015,Roanoke
30,2015-05-31,1.06,133856.19,57819.4,41122.46,33.05,34881.28,33050.17,1831.11,0.0,conventional,2015,Roanoke
31,2015-05-24,1.07,142274.01,55748.5,50452.59,99.51,35973.41,34793.39,1180.02,0.0,conventional,2015,Roanoke
32,2015-05-17,1.08,135281.35,55106.27,46302.99,68.28,33803.81,32381.59,1422.22,0.0,conventional,2015,Roanoke
33,2015-05-10,1.09,141860.18,52698.39,52242.5,146.1,36773.19,34415.41,2357.78,0.0,conventional,2015,Roanoke
34,2015-05-03,1.03,147690.42,54015.48,60973.26,120.87,32580.81,32327.48,253.33,0.0,conventional,2015,Roanoke
35,2015-04-26,1.09,137885.58,63041.96,47028.39,81.83,27733.4,27733.4,0.0,0.0,conventional,2015,Roanoke
36,2015-04-19,1.08,144665.27,68391.59,44913.65,146.75,31213.28,30623.78,589.5,0.0,conventional,2015,Roanoke
37,2015-04-12,1.13,129698.87,50246.44,49285.67,130.09,30036.67,28274.78,1761.89,0.0,conventional,2015,Roanoke
38,2015-04-05,1.19,121569.73,48155.42,44874.21,258.54,28281.56,27849.27,432.29,0.0,conventional,2015,Roanoke
39,2015-03-29,1.13,117662.32,46540.34,46915.77,110.35,24095.86,22961.86,1134.0,0.0,conventional,2015,Roanoke
40,2015-03-22,1.09,126535.83,51584.99,46659.25,102.64,28188.95,28170.39,15.56,3.0,conventional,2015,Roanoke
41,2015-03-15,1.12,119124.45,47388.04,43327.94,73.88,28334.59,27985.7,348.89,0.0,conventional,2015,Roanoke
42,2015-03-08,1.16,111702.58,43783.88,36289.08,81.58,31548.04,31447.87,100.17,0.0,conventional,2015,Roanoke
43,2015-03-01,1.11,110991.01,45568.34,38348.5,79.57,26994.6,26965.71,28.89,0.0,conventional,2015,Roanoke
44,2015-02-22,1.09,127855.51,55931.84,45806.33,43.06,26074.28,25882.69,191.59,0.0,conventional,2015,Roanoke
45,2015-02-15,1.07,136950.98,68986.21,39203.72,87.02,28674.03,26632.49,2041.54,0.0,conventional,2015,Roanoke
46,2015-02-08,1.02,145648.4,78195.76,38763.75,134.25,28554.64,25981.67,2572.97,0.0,conventional,2015,Roanoke
47,2015-02-01,1.0,168217.72,71867.81,65784.29,93.81,30471.81,27117.84,3353.97,0.0,conventional,2015,Roanoke
