,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.98,403741.62,98482.89,249362.94,13805.3,42090.49,42084.71,5.78,0.0,conventional,2015,Sacramento
1,2015-12-20,1.0,385518.03,99604.61,224843.47,15917.28,45152.67,45138.23,8.66,5.78,conventional,2015,Sacramento
2,2015-12-13,1.0,376689.94,94854.9,221627.68,16953.75,43253.61,43250.73,2.88,0.0,conventional,2015,Sacramento
3,2015-12-06,1.07,318280.23,82537.98,184349.52,12748.39,38644.34,38638.58,0.0,5.76,conventional,2015,Sacramento
4,2015-11-29,0.99,347406.9,80757.92,216851.97,13205.04,36591.97,36574.73,0.0,17.24,conventional,2015,Sacramento
5,2015-11-22,1.06,354986.48,83984.24,218912.41,12684.6,39405.23,39405.23,0.0,0.0,conventional,2015,Sacramento
6,2015-11-15,0.94,414161.47,100343.08,262929.38,11181.91,39707.1,39707.1,0.0,0.0,conventional,2015,Sacramento
7,2015-11-08,1.14,357132.53,118696.55,185189.82,11093.06,42153.1,42153.1,0.0,0.0,conventional,2015,Sacramento
8,2015-11-01,1.02,532467.38,180210.99,300978.15,12762.49,38515.75,38515.75,0.0,0.0,conventional,2015,Sacramento
9,2015-10-25,1.26,343757.21,98792.01,190021.02,12903.0,42041.18,42041.18,0.0,0.0,conventional,2015,Sacramento
10,2015-10-18,1.28,326458.27,94529.6,175181.76,12783.14,43963.77,43963.77,0.0,0.0,conventional,2015,Sacramento
11,2015-10-11,1.29,355472.28,85276.49,211955.75,13141.51,45098.53,45098.53,0.0,0.0,conventional,2015,Sacramento
12,2015-10-04,1.1,377192.1,70755.56,259002.51,12312.13,35121.9,35121.9,0.0,0.0,conventional,2015,Sacramento
13,2015-09-27,1.28,350982.2,84527.09,213297.91,13481.19,39676.01,39676.01,0.0,0.0,conventional,2015,Sacramento
14,2015-09-20,1.25,353231.58,79142.8,220538.2,12364.88,41185.7,41185.7,0.0,0.0,conventional,2015,Sacramento
15,2015-09-13,1.24,384192.52,101189.96,220364.77,15102.86,47534.93,47530.56,4.37,0.0,conventional,2015,Sacramento
16,2015-09-06,1.21,466705.75,137388.73,262139.81,17201.5,49975.71,49967.0,8.71,0.0,conventional,2015,Sacramento
17,2015-08-30,1.3,377229.13,114804.62,197034.03,17331.98,48058.5,48058.5,0.0,0.0,conventional,2015,Sacramento
18,2015-08-23,1.26,405274.71,112710.34,233164.62,12415.75,46984.0,46984.0,0.0,0.0,conventional,2015,Sacramento
19,2015-08-16,1.3,401708.33,136485.36,202459.2,13395.95,49367.82,49356.2,11.62,0.0,conventional,2015,Sacramento
20,2015-08-09,1.28,414823.74,146135.78,206011.16,13618.36,49058.44,49041.0,17.44,0.0,conventional,2015,Sacramento
21,2015-08-02,1.33,404664.32,131156.47,209986.17,14770.96,48750.72,48750.72,0.0,0.0,conventional,2015,Sacramento
22,2015-07-26,1.32,395471.89,130034.73,200668.51,13184.96,51583.69,51550.15,33.54,0.0,conventional,2015,Sacramento
23,2015-07-19,1.29,404604.85,130412.82,210334.54,9285.1,54572.39,54572.39,0.0,0.0,conventional,2015,Sacramento
24,2015-07-12,1.23,411928.38,130109.66,218611.12,6078.13,57129.47,56976.69,0.0,152.78,conventional,2015,Sacramento
25,2015-07-05,1.26,550810.62,161220.26,305122.62,17131.92,67335.82,67335.82,0.0,0.0,conventional,2015,Sacramento
26,2015-06-28,1.26,423984.04,143118.33,210343.54,13590.1,56932.07,56932.07,0.0,0.0,conventional,2015,Sacramento
27,2015-06-21,1.27,422723.91,137206.11,215068.66,14700.4,55748.74,55744.3,4.44,0.0,conventional,2015,Sacramento
28,2015-06-14,1.22,431791.38,149611.03,209926.36,13867.94,58386.05,58386.05,0.0,0.0,conventional,2015,Sacramento
29,2015-06-07,1.18,435087.17,143063.59,224039.06,14288.77,53695.75,53695.75,0.0,0.0,conventional,2015,Sacramento
30,2015-05-31,1.17,435723.85,156719.55,219047.4,14172.36,45784.54,45775.86,8.68,0.0,conventional,2015,Sacramento
31,2015-05-24,1.26,403793.79,110289.47,232223.44,12830.34,48450.54,48450.54,0.0,0.0,conventional,2015,Sacramento
32,2015-05-17,1.18,397215.12,141111.13,200745.02,12034.36,43324.61,43324.61,0.0,0.0,conventional,2015,Sacramento
33,2015-05-10,1.14,437822.76,162135.0,217681.33,13246.38,44760.05,44760.05,0.0,0.0,conventional,2015,Sacramento
34,2015-05-03,1.05,662034.34,149107.81,458178.77,13261.84,41485.92,41281.75,0.0,204.17,conventional,2015,Sacramento
35,2015-04-26,1.27,366719.82,101324.62,205561.23,13085.26,46748.71,46748.71,0.0,0.0,conventional,2015,Sacramento
36,2015-04-19,1.19,415841.32,117518.41,241637.11,13267.34,43418.46,43392.71,25.75,0.0,conventional,2015,Sacramento
37,2015-04-12,1.24,382583.75,119295.38,208546.45,13073.16,41668.76,41625.86,42.9,0.0,conventional,2015,Sacramento
38,2015-04-05,1.23,404333.75,120613.18,214547.09,15099.24,54074.24,54049.06,25.18,0.0,conventional,2015,Sacramento
39,2015-03-29,1.2,391178.81,110809.75,203705.17,13740.39,62923.5,62884.77,38.73,0.0,conventional,2015,Sacramento
40,2015-03-22,1.13,424708.39,106578.88,221094.74,13423.63,83611.14,83611.14,0.0,0.0,conventional,2015,Sacramento
41,2015-03-15,1.22,380761.14,113759.19,204089.22,14830.61,48082.12,48082.12,0.0,0.0,conventional,2015,Sacramento
42,2015-03-08,1.12,415147.69,152131.35,199610.67,13402.92,50002.75,50002.75,0.0,0.0,conventional,2015,Sacramento
43,2015-03-01,1.02,452845.47,143867.37,256090.11,13870.37,39017.62,39017.62,0.0,0.0,conventional,2015,Sacramento
44,2015-02-22,1.14,405013.16,137425.32,216791.05,11561.59,39235.2,39235.2,0.0,0.0,conventional,2015,Sacramento
45,2015-02-15,1.13,381041.74,134992.29,194031.02,10273.69,41744.74,41744.74,0.0,0.0,conventional,2015,Sacramento
46,2015-02-08,0.98,432572.45,144586.53,237751.75,9798.79,40435.38,40435.38,0.0,0.0,conventional,2015,Sacramento
47,2015-02-01,1.04,771974.9,287292.15,429601.75,15342.47,39738.53,39738.53,0.0,0.0,conventional,2015,Sacramento
48,2015-01-25,1.19,360027.65,101289.29,210411.75,9507.42,38819.19,38819.19,0.0,0.0,conventional,2015,Sacramento
49,2015-01-18,1.22,367047.36,83097.77,238956.51,5672.46,39320.62,39320.62,0.0,0.0,conventional,2015,Sacramento
