,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.92,439968.4,141447.28,130341.75,20174.55,148004.82,116383.07,31621.75,0.0,conventional,2015,SanDiego
1,2015-12-20,0.94,420476.44,130565.46,119298.5,25052.93,145559.55,111019.22,34540.33,0.0,conventional,2015,SanDiego
2,2015-12-13,0.84,462548.3,155111.21,118664.89,16726.87,172045.33,128053.44,43991.89,0.0,conventional,2015,SanDiego
3,2015-12-06,0.67,565516.62,196490.3,209350.93,17406.01,142269.38,114044.25,28225.13,0.0,conventional,2015,SanDiego
4,2015-11-29,0.91,385289.59,143861.4,140359.41,20206.16,80862.62,64857.94,16004.68,0.0,conventional,2015,SanDiego
5,2015-11-22,0.98,385300.75,163396.83,129579.32,18973.9,73350.7,59945.93,13404.77,0.0,conventional,2015,SanDiego
6,2015-11-15,0.85,501838.1,264103.11,150523.33,15638.32,71573.34,63091.0,8482.34,0.0,conventional,2015,SanDiego
7,2015-11-08,0.92,492385.15,255993.88,154270.39,16457.11,65663.77,58719.13,6944.64,0.0,conventional,2015,SanDiego
8,2015-11-01,1.01,468472.81,211287.89,179995.77,17716.68,59472.47,53567.27,5897.02,8.18,conventional,2015,SanDiego
9,2015-10-25,1.08,408336.19,172518.85,165522.86,18702.56,51591.92,48469.97,3117.85,4.1,conventional,2015,SanDiego
10,2015-10-18,1.03,447663.17,197862.67,179049.25,19380.83,51370.42,47913.55,3456.87,0.0,conventional,2015,SanDiego
11,2015-10-11,0.93,492276.73,202263.25,234833.71,17638.39,37541.38,35490.61,2050.77,0.0,conventional,2015,SanDiego
12,2015-10-04,1.11,404301.76,154884.04,194838.77,18666.34,35912.61,31952.3,3960.31,0.0,conventional,2015,SanDiego
13,2015-09-27,0.93,491990.83,194526.22,245815.73,14807.56,36841.32,34448.65,2392.67,0.0,conventional,2015,SanDiego
14,2015-09-20,1.07,448488.04,204096.06,173105.77,28629.58,42656.63,39560.7,3095.93,0.0,conventional,2015,SanDiego
15,2015-09-13,1.08,464305.03,191302.75,199953.93,21645.98,51402.37,46655.35,4747.02,0.0,conventional,2015,SanDiego
16,2015-09-06,1.02,502677.35,271640.29,165034.84,19961.19,46041.03,41719.29,4321.74,0.0,conventional,2015,SanDiego
17,2015-08-30,1.04,490268.77,277305.27,145974.51,19843.62,47145.37,45500.19,1645.18,0.0,conventional,2015,SanDiego
18,2015-08-23,1.15,459471.05,250163.47,153378.68,20782.84,35146.06,33582.95,1563.11,0.0,conventional,2015,SanDiego
19,2015-08-16,1.05,514202.63,281209.49,176899.01,16942.25,39151.88,38649.39,502.49,0.0,conventional,2015,SanDiego
20,2015-08-09,1.03,630941.71,285569.68,288086.68,14248.31,43037.04,41132.08,1904.96,0.0,conventional,2015,SanDiego
21,2015-08-02,1.07,500999.15,275822.73,168300.62,12740.87,44134.93,42995.09,1139.84,0.0,conventional,2015,SanDiego
22,2015-07-26,1.1,495344.27,279280.58,161574.35,16605.49,37883.85,36718.01,1165.84,0.0,conventional,2015,SanDiego
23,2015-07-19,1.15,462526.0,258240.72,142492.68,16611.22,45181.38,41231.13,3950.25,0.0,conventional,2015,SanDiego
24,2015-07-12,1.1,490312.63,251056.27,182844.55,14524.67,41887.14,38417.55,3469.59,0.0,conventional,2015,SanDiego
25,2015-07-05,1.05,587740.55,328818.07,187820.87,18794.71,52306.9,46816.59,5490.31,0.0,conventional,2015,SanDiego
26,2015-06-28,1.02,495309.23,295023.15,142348.73,15418.32,42519.03,37940.93,4578.1,0.0,conventional,2015,SanDiego
27,2015-06-21,0.94,594488.41,368402.91,163855.72,16575.72,45654.06,41075.95,4578.11,0.0,conventional,2015,SanDiego
28,2015-06-14,0.87,630746.82,403551.43,165020.73,14478.75,47695.91,43522.9,4173.01,0.0,conventional,2015,SanDiego
29,2015-06-07,0.89,607468.04,378749.86,164367.13,13914.85,50436.2,46211.78,4224.42,0.0,conventional,2015,SanDiego
30,2015-05-31,0.9,569414.76,358147.99,153680.36,14150.62,43435.79,39195.38,4240.41,0.0,conventional,2015,SanDiego
31,2015-05-24,1.08,477415.68,273672.82,155813.57,13519.38,34409.91,29727.22,4682.69,0.0,conventional,2015,SanDiego
32,2015-05-17,1.02,458191.52,283530.1,131772.59,9903.23,32985.6,29400.09,3585.51,0.0,conventional,2015,SanDiego
33,2015-05-10,0.85,594740.3,399789.96,136147.89,11997.54,46804.91,43190.6,3614.31,0.0,conventional,2015,SanDiego
34,2015-05-03,0.8,740760.3,424263.68,247709.36,14408.91,54378.35,50153.42,4224.93,0.0,conventional,2015,SanDiego
35,2015-04-26,1.11,435990.48,235664.26,141949.05,14634.32,43742.85,37689.45,6053.4,0.0,conventional,2015,SanDiego
36,2015-04-19,1.04,488094.98,270328.18,156651.22,13282.24,47833.34,25453.84,22379.5,0.0,conventional,2015,SanDiego
37,2015-04-12,1.01,515246.69,260591.11,189713.87,14665.62,50276.09,26305.87,23949.07,21.15,conventional,2015,SanDiego
38,2015-04-05,1.11,469883.87,249036.72,162601.8,15718.9,42526.45,25464.02,16966.53,95.9,conventional,2015,SanDiego
39,2015-03-29,1.08,450370.85,234361.38,155583.39,14998.04,45428.04,25798.74,19629.3,0.0,conventional,2015,SanDiego
40,2015-03-22,0.96,515764.64,235106.15,221942.26,14165.05,44551.18,38487.7,6063.48,0.0,conventional,2015,SanDiego
41,2015-03-15,1.06,463106.48,257709.12,144761.07,17440.0,43196.29,37920.39,5268.51,7.39,conventional,2015,SanDiego
42,2015-03-08,0.95,504284.16,314550.25,127157.9,14754.16,47821.85,42719.72,5102.13,0.0,conventional,2015,SanDiego
43,2015-03-01,0.83,572552.24,317625.55,202619.21,14036.07,38271.41,32922.93,5315.64,32.84,conventional,2015,SanDiego
44,2015-02-22,0.92,516149.11,301983.87,151869.53,14484.65,47811.06,42234.77,5543.66,32.63,conventional,2015,SanDiego
45,2015-02-15,0.94,486113.55,303637.72,127874.99,15333.5,39267.34,33642.66,5425.61,199.07,conventional,2015,SanDiego
46,2015-02-08,0.98,448394.83,229118.81,162856.34,14251.47,42168.21,36417.77,5526.46,223.98,conventional,2015,SanDiego
47,2015-02-01,0.85,692276.13,357235.87,277723.14,15691.23,41625.89,36622.51,4738.29,265.09,conventional,2015,SanDiego
48,2015-01-25,1.02,406591.11,217747.34,140456.68,13326.97,35060.12,30090.58,4708.25,261.29,conventional,2015,SanDiego
49,2015-01-18,1.01,461063.73,250311.74,163944.2,14125.01,32682.78,27844.81,4411.36,426.61,conventional,2015,SanDiego
50,2015-01-11,0.82,544667.18,303369.02,192913.11,12900.65,35484.4,31807.96,3271.85,404.59,conventional,2015,SanDiego
51,2015-01-04,0.94,461607.33,244152.26,165299.33,15302.75,36852.99,30884.29,5595.0,373.7,conventional,2015,SanDiego
0,2016-12-25,0.89,473730.19,118030.19,191754.65,14438.25,149507.1,125660.66,22080.88,1765.56,conventional,2016,SanDiego
1,2016-12-18,0.9,437170.79,106000.4,161104.63,14145.04,155920.72,115858.84,38951.6,1110.28,conventional,2016,SanDiego
2,2016-12-11,0.81,505122.6,139066.79,205742.62,14736.56,145576.63,91917.03,53237.93,421.67,conventional,2016,SanDiego
3,2016-12-04,0.85,499144.04,214063.09,133318.88,15081.42,136680.65,128681.56,6275.12,1723.97,conventional,2016,SanDiego
4,2016-11-27,1.08,392291.47,160595.93,108871.8,12510.47,110313.27,98751.41,10626.32,935.54,conventional,2016,SanDiego
5,2016-11-20,1.25,369682.4,135337.58,120005.93,14499.34,99839.55,85261.69,14192.86,385.0,conventional,2016,SanDiego
6,2016-11-13,1.37,353828.79,120524.26,126173.1,18445.16,88686.27,74992.87,13258.4,435.0,conventional,2016,SanDiego
7,2016-11-06,1.68,292299.52,89364.77,128356.68,18569.63,56008.44,46336.06,8804.32,868.06,conventional,2016,SanDiego
8,2016-10-30,1.65,270941.97,88975.06,119080.04,14742.36,48144.51,41712.24,6337.0,95.27,conventional,2016,SanDiego
9,2016-10-23,1.32,366026.91,127391.58,119290.35,13215.77,106129.21,91095.15,13109.95,1924.11,conventional,2016,SanDiego
10,2016-10-16,1.27,443367.98,133020.51,139616.39,14087.91,156643.17,137002.06,16987.77,2653.34,conventional,2016,SanDiego
11,2016-10-09,1.25,473046.6,143507.8,142805.42,15433.41,171299.97,150537.8,20262.17,500.0,conventional,2016,SanDiego
12,2016-10-02,1.09,534801.53,209855.65,131355.15,17065.91,176524.82,159927.44,15812.38,785.0,conventional,2016,SanDiego
13,2016-09-25,1.05,566089.72,217679.82,136015.14,15808.76,196586.0,182692.61,12821.45,1071.94,conventional,2016,SanDiego
