,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.05,692206.4,181704.67,422617.8,28184.73,59699.2,59094.49,582.9,21.81,conventional,2015,SanFrancisco
1,2015-12-20,1.15,637091.48,173521.67,364622.31,33083.99,65863.51,65038.1,766.09,59.32,conventional,2015,SanFrancisco
2,2015-12-13,1.22,616016.46,127080.03,384958.63,34069.96,69907.84,69022.62,781.91,103.31,conventional,2015,SanFrancisco
3,2015-12-06,1.06,694982.49,102771.75,498975.34,37321.12,55914.28,55171.77,638.89,103.62,conventional,2015,SanFrancisco
4,2015-11-29,1.05,651638.6,102783.08,462966.47,31195.04,54694.01,53992.69,647.78,53.54,conventional,2015,SanFrancisco
5,2015-11-22,1.04,709444.22,121232.94,502068.19,29410.26,56732.83,55908.92,773.33,50.58,conventional,2015,SanFrancisco
6,2015-11-15,0.99,775848.72,165884.02,517366.37,27969.25,64629.08,63811.01,780.0,38.07,conventional,2015,SanFrancisco
7,2015-11-08,1.4,599884.32,165981.13,319176.32,36598.97,78127.9,77364.54,693.33,70.03,conventional,2015,SanFrancisco
8,2015-11-01,0.97,869927.27,214932.11,563719.33,31481.92,59793.91,58929.19,845.56,19.16,conventional,2015,SanFrancisco
9,2015-10-25,1.55,561342.23,126498.63,334051.96,31358.89,69432.75,68582.18,812.22,38.35,conventional,2015,SanFrancisco
10,2015-10-18,1.52,586073.85,146584.21,332942.22,31021.35,75526.07,74724.61,756.67,44.79,conventional,2015,SanFrancisco
11,2015-10-11,1.58,564456.6,106180.64,351965.39,33512.19,72798.38,72030.82,735.56,32.0,conventional,2015,SanFrancisco
12,2015-10-04,1.04,762866.62,119177.06,563257.19,32511.26,47921.11,47092.45,796.67,31.99,conventional,2015,SanFrancisco
13,2015-09-27,1.38,651697.34,208309.03,349648.86,28301.64,65437.81,64581.92,785.56,70.33,conventional,2015,SanFrancisco
14,2015-09-20,1.56,578500.76,94105.15,380999.77,33739.89,69655.95,68664.57,946.67,44.71,conventional,2015,SanFrancisco
15,2015-09-13,1.53,603840.95,110779.86,367833.98,48322.55,76904.56,76151.26,734.16,19.14,conventional,2015,SanFrancisco
16,2015-09-06,1.54,646810.2,154276.07,384033.22,30732.28,77768.63,76963.49,805.14,0.0,conventional,2015,SanFrancisco
17,2015-08-30,1.53,649891.92,177166.44,364371.17,28647.61,79706.7,78843.03,863.67,0.0,conventional,2015,SanFrancisco
18,2015-08-23,1.59,610212.92,129106.61,380934.57,27089.79,73081.95,72131.45,950.5,0.0,conventional,2015,SanFrancisco
19,2015-08-16,1.59,618237.58,145519.47,364968.69,27530.5,80218.92,79372.32,846.6,0.0,conventional,2015,SanFrancisco
20,2015-08-09,1.56,603876.9,158022.04,345590.21,24997.46,75267.19,74158.48,1108.71,0.0,conventional,2015,SanFrancisco
21,2015-08-02,1.57,645158.33,164972.09,374726.64,28138.78,77320.82,76597.08,723.74,0.0,conventional,2015,SanFrancisco
22,2015-07-26,1.58,628331.04,150230.79,366576.34,32096.3,79427.61,78533.8,893.81,0.0,conventional,2015,SanFrancisco
23,2015-07-19,1.56,633327.17,146180.86,385520.87,19150.08,82475.36,81674.34,801.02,0.0,conventional,2015,SanFrancisco
24,2015-07-12,1.39,680351.84,149802.29,430540.93,10213.51,89795.11,88477.64,893.86,423.61,conventional,2015,SanFrancisco
25,2015-07-05,1.53,752191.79,168468.95,451890.53,30802.97,101029.34,100146.51,882.83,0.0,conventional,2015,SanFrancisco
26,2015-06-28,1.54,646324.68,154423.58,377054.83,29603.67,85242.6,84459.27,783.33,0.0,conventional,2015,SanFrancisco
27,2015-06-21,1.52,673720.54,161726.05,396191.28,29789.01,86014.2,84970.33,1043.87,0.0,conventional,2015,SanFrancisco
28,2015-06-14,1.51,696873.03,181175.51,403173.66,32092.36,80431.5,79360.05,1071.45,0.0,conventional,2015,SanFrancisco
29,2015-06-07,1.31,758817.08,167496.15,477146.12,36846.32,77328.49,76252.85,1075.64,0.0,conventional,2015,SanFrancisco
30,2015-05-31,1.29,764114.39,192708.56,469208.86,26109.55,76087.42,75077.58,1009.84,0.0,conventional,2015,SanFrancisco
31,2015-05-24,1.37,700411.03,131638.62,467572.13,23810.65,77389.63,76306.09,1083.54,0.0,conventional,2015,SanFrancisco
32,2015-05-17,1.32,701099.41,167532.68,434957.48,26013.96,72595.29,71643.24,952.05,0.0,conventional,2015,SanFrancisco
33,2015-05-10,1.3,742672.03,172662.98,462218.87,33343.35,74446.83,73411.19,1035.64,0.0,conventional,2015,SanFrancisco
34,2015-05-03,1.0,1310364.67,237060.7,975141.69,32834.29,65327.99,64042.6,971.5,313.89,conventional,2015,SanFrancisco
35,2015-04-26,1.39,680839.21,107461.85,458055.89,35558.24,79763.23,78503.98,1052.31,206.94,conventional,2015,SanFrancisco
36,2015-04-19,1.23,818816.7,134592.31,584922.85,25208.79,74092.75,72532.18,1560.57,0.0,conventional,2015,SanFrancisco
37,2015-04-12,1.33,729890.28,159838.22,469655.44,25315.71,75080.91,73789.73,1291.18,0.0,conventional,2015,SanFrancisco
