,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.09,450185.94,101442.85,178459.6,7000.66,163282.83,162930.64,26.71,325.48,conventional,2015,Seattle
1,2015-12-20,1.15,404862.32,88134.2,139794.19,6308.35,170625.58,170458.45,11.87,155.26,conventional,2015,Seattle
2,2015-12-13,1.05,454428.03,114813.13,156347.74,9650.5,173616.66,173537.66,35.61,43.39,conventional,2015,Seattle
3,2015-12-06,0.81,726504.61,117507.93,219412.63,9120.48,380463.57,380298.38,0.0,165.19,conventional,2015,Seattle
4,2015-11-29,1.17,373309.53,90354.26,131571.17,9878.62,141505.48,141430.43,0.0,75.05,conventional,2015,Seattle
5,2015-11-22,1.07,426337.91,111896.12,155494.84,9372.34,149574.61,149358.02,0.0,216.59,conventional,2015,Seattle
6,2015-11-15,0.93,643402.84,146061.83,213666.13,9650.82,274024.06,273223.43,0.0,800.63,conventional,2015,Seattle
7,2015-11-08,1.06,490827.32,135637.5,172982.0,9195.56,173012.26,172749.32,0.0,262.94,conventional,2015,Seattle
8,2015-11-01,1.14,435921.23,105846.91,176922.79,10032.64,143118.89,143026.95,0.0,91.94,conventional,2015,Seattle
9,2015-10-25,1.03,520698.46,130741.16,201858.0,8273.34,179825.96,179544.36,0.0,281.6,conventional,2015,Seattle
10,2015-10-18,1.08,484106.11,147440.78,185069.58,10284.15,141311.6,141266.83,0.0,44.77,conventional,2015,Seattle
11,2015-10-11,0.9,640331.58,87081.69,301656.56,15431.19,236162.14,234219.02,0.0,1943.12,conventional,2015,Seattle
12,2015-10-04,1.06,513268.88,103495.71,281914.21,11368.07,116490.89,115646.75,0.0,844.14,conventional,2015,Seattle
13,2015-09-27,1.1,467791.95,159459.18,152002.76,10158.38,146171.63,146143.41,13.28,14.94,conventional,2015,Seattle
14,2015-09-20,1.02,590721.74,158198.44,242849.81,11283.42,178390.07,178374.58,8.85,6.64,conventional,2015,Seattle
15,2015-09-13,1.02,586503.27,230283.36,181240.95,10787.88,164191.08,164176.14,0.0,14.94,conventional,2015,Seattle
16,2015-09-06,1.17,459793.66,167782.09,155468.95,12346.64,124195.98,124129.03,61.97,4.98,conventional,2015,Seattle
17,2015-08-30,1.18,446850.83,171694.14,150815.43,12204.13,112137.13,112127.34,1.48,8.31,conventional,2015,Seattle
18,2015-08-23,1.13,551498.09,137390.97,265837.45,9738.82,138530.85,138486.18,26.47,18.2,conventional,2015,Seattle
19,2015-08-16,1.15,497526.51,173165.55,201936.28,12055.67,110369.01,110361.1,2.94,4.97,conventional,2015,Seattle
20,2015-08-09,1.15,523157.29,220284.27,169096.61,13416.02,120360.39,120360.39,0.0,0.0,conventional,2015,Seattle
21,2015-08-02,1.18,519887.27,210529.13,181274.82,12790.08,115293.24,115288.63,2.95,1.66,conventional,2015,Seattle
22,2015-07-26,1.29,436208.03,158304.49,172990.41,12492.0,92421.13,92385.74,35.39,0.0,conventional,2015,Seattle
23,2015-07-19,1.25,491653.57,197532.38,192075.86,11882.66,90162.67,90074.05,88.62,0.0,conventional,2015,Seattle
24,2015-07-12,1.14,597860.19,261870.98,204320.97,12664.42,119003.82,117906.6,980.83,116.39,conventional,2015,Seattle
25,2015-07-05,1.35,582037.07,201350.06,263046.88,16266.67,101373.46,95899.37,5462.4,11.69,conventional,2015,Seattle
26,2015-06-28,1.31,496302.98,175064.74,222871.77,13848.78,84517.69,84437.86,58.06,21.77,conventional,2015,Seattle
27,2015-06-21,1.19,577605.0,178641.03,272213.83,16161.24,110588.9,110537.43,31.33,20.14,conventional,2015,Seattle
28,2015-06-14,1.18,615500.43,207290.74,274970.73,13480.42,119758.54,119723.88,17.89,16.77,conventional,2015,Seattle
29,2015-06-07,1.27,494855.95,194535.45,207213.71,14325.27,78781.52,78760.94,8.9,11.68,conventional,2015,Seattle
30,2015-05-31,1.12,543908.18,244319.84,185303.96,14394.68,99889.7,99789.03,97.35,3.32,conventional,2015,Seattle
31,2015-05-24,1.14,577946.53,213212.05,240665.64,14400.18,109668.66,109172.41,459.78,36.47,conventional,2015,Seattle
32,2015-05-17,1.22,474081.77,176144.77,196907.32,13149.8,87879.88,86751.2,1074.06,54.62,conventional,2015,Seattle
33,2015-05-10,1.08,638696.86,263440.86,242012.13,9484.24,123759.63,111289.42,12415.67,54.54,conventional,2015,Seattle
34,2015-05-03,1.02,687972.03,226074.37,355250.18,11154.42,95493.06,94995.86,477.54,19.66,conventional,2015,Seattle
35,2015-04-26,1.19,490426.14,202726.84,188384.71,10046.11,89268.48,89235.28,21.77,11.43,conventional,2015,Seattle
36,2015-04-19,1.13,570030.63,130765.93,324680.31,10877.06,103707.33,103533.21,161.1,13.02,conventional,2015,Seattle
37,2015-04-12,1.33,396728.35,134346.5,184720.11,11710.31,65951.43,65783.96,144.77,22.7,conventional,2015,Seattle
38,2015-04-05,1.26,466120.48,148128.23,238612.85,9791.26,69588.14,69293.36,210.54,84.24,conventional,2015,Seattle
39,2015-03-29,1.22,452743.21,162078.03,205582.46,9896.09,75186.63,74523.35,658.45,4.83,conventional,2015,Seattle
