,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.98,251443.08,137133.17,48908.4,8151.76,57249.75,48181.83,9060.09,7.83,conventional,2015,SouthCarolina
1,2015-12-20,1.04,211066.05,115402.34,39931.51,6244.22,49487.98,44628.73,4851.44,7.81,conventional,2015,SouthCarolina
2,2015-12-13,0.96,257166.53,148691.81,47393.23,7391.81,53689.68,43815.6,9863.71,10.37,conventional,2015,SouthCarolina
3,2015-12-06,1.03,233274.4,130410.85,47118.94,9427.71,46316.9,40092.42,6203.8,20.68,conventional,2015,SouthCarolina
4,2015-11-29,0.97,217965.37,125440.43,42269.54,7454.33,42801.07,33356.89,9433.78,10.4,conventional,2015,SouthCarolina
5,2015-11-22,0.99,216767.98,123208.85,42099.26,8114.19,43345.68,34239.23,9106.45,0.0,conventional,2015,SouthCarolina
6,2015-11-15,1.07,224373.12,116059.4,61600.25,11569.87,35143.6,29409.04,5734.56,0.0,conventional,2015,SouthCarolina
7,2015-11-08,1.08,221080.11,118352.11,47266.75,15742.56,39718.69,34385.71,5325.2,7.78,conventional,2015,SouthCarolina
8,2015-11-01,1.0,280886.82,143163.13,59937.59,19045.03,58741.07,44763.47,13977.6,0.0,conventional,2015,SouthCarolina
9,2015-10-25,1.11,223607.39,107103.78,46792.32,17192.49,52518.8,43924.89,8593.91,0.0,conventional,2015,SouthCarolina
10,2015-10-18,1.12,226246.39,105221.4,55038.8,16616.9,49369.29,40996.42,8372.87,0.0,conventional,2015,SouthCarolina
11,2015-10-11,1.03,267962.33,121966.0,64658.41,20190.4,61147.52,43009.49,18138.03,0.0,conventional,2015,SouthCarolina
12,2015-10-04,1.04,267919.95,123692.52,70671.2,14906.36,58649.87,38750.39,19899.48,0.0,conventional,2015,SouthCarolina
13,2015-09-27,1.08,253422.99,111054.81,72273.16,18765.64,51329.38,42223.65,9105.73,0.0,conventional,2015,SouthCarolina
14,2015-09-20,1.02,312177.28,148633.9,77644.18,14421.82,71477.38,49597.26,21851.29,28.83,conventional,2015,SouthCarolina
15,2015-09-13,1.14,269754.97,124781.45,61067.3,13939.72,69966.5,55240.3,14707.82,18.38,conventional,2015,SouthCarolina
16,2015-09-06,1.0,353755.0,165544.52,78503.43,23189.42,86517.63,68114.97,18328.93,73.73,conventional,2015,SouthCarolina
17,2015-08-30,1.15,280699.74,130772.55,58761.62,15284.88,75880.69,70666.71,5198.14,15.84,conventional,2015,SouthCarolina
18,2015-08-23,1.09,310381.51,139531.8,64117.55,17089.65,89642.51,84625.03,5017.48,0.0,conventional,2015,SouthCarolina
19,2015-08-16,1.12,320750.54,157907.67,60468.01,17614.64,84760.22,78819.75,5940.47,0.0,conventional,2015,SouthCarolina
20,2015-08-09,1.05,353930.82,179463.07,69024.22,18362.39,87081.14,75517.04,11497.68,66.42,conventional,2015,SouthCarolina
