,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.98,3024956.05,2045752.24,275823.43,13994.48,689385.9,425319.18,264039.61,27.11,conventional,2015,Southeast
1,2015-12-20,1.12,2206305.07,1449139.49,211595.53,10520.4,535049.65,399343.68,135633.67,72.3,conventional,2015,Southeast
2,2015-12-13,0.96,3042588.2,2127600.06,303892.09,12361.35,598734.7,326312.25,272310.91,111.54,conventional,2015,Southeast
3,2015-12-06,1.13,2205550.58,1520190.48,248205.38,15672.86,421481.86,275520.16,145934.58,27.12,conventional,2015,Southeast
4,2015-11-29,0.97,2615828.04,1797110.09,273706.42,12260.75,532750.78,280568.93,252139.55,42.3,conventional,2015,Southeast
5,2015-11-22,0.98,2667551.84,1799501.02,285065.9,13736.85,569248.07,319821.73,249396.08,30.26,conventional,2015,Southeast
6,2015-11-15,1.16,2242688.2,1455202.28,294620.08,20815.34,472050.5,313845.53,158186.8,18.17,conventional,2015,Southeast
7,2015-11-08,1.16,2197763.7,1420318.78,298081.99,25682.97,453679.96,309652.75,143978.69,48.52,conventional,2015,Southeast
8,2015-11-01,0.98,3227049.19,2058754.3,472310.67,31277.37,664706.85,353188.52,311503.15,15.18,conventional,2015,Southeast
9,2015-10-25,1.16,2211716.76,1278660.6,393459.25,28828.13,510768.78,329672.2,181063.12,33.46,conventional,2015,Southeast
10,2015-10-18,1.15,2274638.59,1274185.16,426237.27,28371.94,545844.22,355763.19,190038.31,42.72,conventional,2015,Southeast
11,2015-10-11,0.97,3179824.67,1810141.55,579736.64,34930.57,755015.91,356707.71,398280.71,27.49,conventional,2015,Southeast
12,2015-10-04,0.98,3259659.28,1909901.24,591640.18,25995.26,732122.6,340717.96,391377.16,27.48,conventional,2015,Southeast
13,2015-09-27,1.17,2314057.46,1266450.71,519006.76,33834.37,494765.62,307494.33,187252.98,18.31,conventional,2015,Southeast
14,2015-09-20,0.96,3496412.09,2000380.63,663554.32,27931.94,804545.2,382666.89,421701.4,176.91,conventional,2015,Southeast
15,2015-09-13,1.15,2486654.71,1317283.12,534412.71,26776.37,608182.51,397112.08,211033.9,36.53,conventional,2015,Southeast
16,2015-09-06,0.97,3750714.49,2175323.4,650270.11,43507.27,881613.71,472040.07,409430.79,142.85,conventional,2015,Southeast
17,2015-08-30,1.19,2544630.5,1422797.76,464251.81,31618.81,625962.12,489650.49,136184.25,127.38,conventional,2015,Southeast
18,2015-08-23,1.16,2580705.47,1423075.89,477975.75,35514.75,644139.08,520131.23,123968.56,39.29,conventional,2015,Southeast
19,2015-08-16,1.16,2766391.11,1615209.93,431016.1,55158.31,665006.77,529013.85,135887.51,105.41,conventional,2015,Southeast
20,2015-08-09,1.0,3804851.11,2430272.64,498991.43,79631.92,795955.12,525549.82,270162.46,242.84,conventional,2015,Southeast
21,2015-08-02,1.18,2674633.13,1539272.45,430133.96,81144.7,624082.02,502278.3,121708.26,95.46,conventional,2015,Southeast
22,2015-07-26,1.15,2742949.66,1615660.84,424560.81,78530.49,624197.52,515493.85,108703.67,0.0,conventional,2015,Southeast
23,2015-07-19,0.99,3810950.39,2507726.2,515358.68,77561.44,710304.07,471729.89,238574.18,0.0,conventional,2015,Southeast
24,2015-07-12,1.17,2748745.96,1578243.11,467848.98,72897.71,629756.16,501415.01,127742.54,598.61,conventional,2015,Southeast
25,2015-07-05,0.99,4295280.16,2713600.49,592279.23,97111.62,892288.82,621425.86,270807.26,55.7,conventional,2015,Southeast
26,2015-06-28,1.14,3026048.11,1721633.23,464034.18,59679.47,780701.23,648105.94,132335.36,259.93,conventional,2015,Southeast
27,2015-06-21,0.97,4019384.71,2602623.94,462243.35,62634.6,891882.82,619129.21,272640.03,113.58,conventional,2015,Southeast
28,2015-06-14,1.15,3021825.81,1910736.86,315079.1,46585.63,749424.22,611440.68,137878.92,104.62,conventional,2015,Southeast
29,2015-06-07,0.99,4003121.77,2862823.58,294519.59,26236.45,819542.15,551432.71,268100.73,8.71,conventional,2015,Southeast
30,2015-05-31,1.17,2884507.74,2048880.09,206982.3,25671.13,602974.22,473339.3,129597.25,37.67,conventional,2015,Southeast
31,2015-05-24,1.0,4298514.96,3209533.78,311176.56,30510.18,747294.44,457338.88,289932.34,23.22,conventional,2015,Southeast
32,2015-05-17,1.15,2936173.63,2098271.46,211868.36,26127.7,599906.11,470992.66,128913.45,0.0,conventional,2015,Southeast
33,2015-05-10,1.17,2963777.8,2167781.63,212422.04,24440.63,559133.5,437055.69,122077.81,0.0,conventional,2015,Southeast
34,2015-05-03,0.97,4986270.76,3682277.46,383803.95,40064.12,880125.23,496136.95,382606.34,1381.94,conventional,2015,Southeast
35,2015-04-26,1.16,3011225.49,2170188.85,220781.47,23844.72,596410.45,461692.75,133263.53,1454.17,conventional,2015,Southeast
36,2015-04-19,1.14,2857156.51,2014443.63,214218.14,23684.96,604809.78,455795.5,149014.28,0.0,conventional,2015,Southeast
37,2015-04-12,1.0,3781504.91,2801179.62,292733.49,23471.11,664120.69,371569.32,292551.37,0.0,conventional,2015,Southeast
38,2015-04-05,1.08,3140456.17,2257669.21,252737.98,26137.34,603911.64,387483.75,215544.56,883.33,conventional,2015,Southeast
39,2015-03-29,1.16,2558925.23,1804282.66,205041.11,23224.7,526376.76,379305.43,147071.33,0.0,conventional,2015,Southeast
40,2015-03-22,0.98,3867453.83,2823708.05,299770.04,21570.5,722405.24,447949.27,274435.21,20.76,conventional,2015,Southeast
41,2015-03-15,1.21,2602341.55,1865220.72,211822.87,25792.72,499505.24,375572.97,123875.82,56.45,conventional,2015,Southeast
42,2015-03-08,1.18,2642581.73,1894002.38,199317.95,20683.77,528577.63,413603.79,114973.84,0.0,conventional,2015,Southeast
43,2015-03-01,1.01,3633174.13,2682065.6,281502.89,19429.67,650175.97,396512.64,253660.35,2.98,conventional,2015,Southeast
44,2015-02-22,1.11,2796195.76,1960713.06,236520.37,34466.49,564495.84,437763.9,126731.94,0.0,conventional,2015,Southeast
45,2015-02-15,1.16,2558563.78,1820564.15,219336.78,21706.04,496956.81,295183.36,201773.45,0.0,conventional,2015,Southeast
46,2015-02-08,1.11,2573973.63,1871661.73,226039.73,18310.04,457962.13,272767.32,185194.81,0.0,conventional,2015,Southeast
47,2015-02-01,0.93,4924049.79,3656338.95,451194.73,40258.76,776257.35,359145.48,417111.87,0.0,conventional,2015,Southeast
48,2015-01-25,1.15,2778000.82,1990978.47,266024.34,18600.92,502397.09,281141.42,221255.67,0.0,conventional,2015,Southeast
49,2015-01-18,1.19,2595783.66,1815847.03,273695.84,22004.31,484236.48,258541.9,225694.58,0.0,conventional,2015,Southeast
50,2015-01-11,1.18,2433295.61,1667012.92,269027.02,21918.53,475337.14,260164.0,215173.14,0.0,conventional,2015,Southeast
51,2015-01-04,0.98,3204112.16,2296069.27,320373.63,18938.42,568730.84,287820.14,280910.7,0.0,conventional,2015,Southeast
0,2016-12-25,0.94,3722102.33,1449893.5,760830.39,5643.49,1505734.95,736767.31,767155.7,1811.94,conventional,2016,Southeast
1,2016-12-18,0.96,3413410.59,1236270.98,729400.6,8172.53,1439566.48,670843.43,766286.38,2436.67,conventional,2016,Southeast
2,2016-12-11,1.21,2648135.47,1055827.38,463050.84,4655.77,1124601.48,630163.97,492521.95,1915.56,conventional,2016,Southeast
3,2016-12-04,0.99,3941512.2,1481392.35,851643.42,5133.86,1603342.57,644607.27,957516.13,1219.17,conventional,2016,Southeast
4,2016-11-27,1.39,2408199.34,943433.21,459434.44,4791.45,1000540.24,509394.25,490242.94,903.05,conventional,2016,Southeast
5,2016-11-20,1.38,2670425.59,1054588.13,480430.32,8082.2,1127324.94,592607.45,532645.82,2071.67,conventional,2016,Southeast
6,2016-11-13,1.37,2819888.75,1219549.43,506554.74,13358.39,1080426.19,543743.7,535602.77,1079.72,conventional,2016,Southeast
7,2016-11-06,1.44,2590997.85,1086704.1,508906.52,14547.51,980839.72,432321.09,547443.91,1074.72,conventional,2016,Southeast
8,2016-10-30,1.44,2502552.63,1006135.26,517368.07,14441.46,964607.84,416179.29,545707.16,2721.39,conventional,2016,Southeast
9,2016-10-23,1.43,2704875.68,1086334.04,625236.22,11469.22,981836.2,435847.7,543596.56,2391.94,conventional,2016,Southeast
10,2016-10-16,1.24,3233029.42,1219511.41,791521.66,10217.86,1211778.49,420581.32,790113.56,1083.61,conventional,2016,Southeast
11,2016-10-09,1.37,2885138.33,1122505.43,657057.65,7239.64,1098335.61,516483.34,580235.88,1616.39,conventional,2016,Southeast
12,2016-10-02,1.38,3106952.74,1267964.11,621971.41,10940.09,1206077.13,602427.54,602149.59,1500.0,conventional,2016,Southeast
13,2016-09-25,1.32,3266161.45,1398879.9,588359.56,9605.99,1269316.0,691449.32,573138.62,4728.06,conventional,2016,Southeast
14,2016-09-18,1.11,3403999.22,1501212.7,566389.42,9444.29,1326952.81,706832.05,617002.43,3118.33,conventional,2016,Southeast
15,2016-09-11,1.08,3431698.41,1673305.36,497550.12,10177.7,1250665.23,791919.62,455458.67,3286.94,conventional,2016,Southeast
16,2016-09-04,0.96,4804279.06,2776884.75,664439.79,12528.81,1350425.71,771445.27,574732.66,4247.78,conventional,2016,Southeast
17,2016-08-28,1.11,3580022.43,1919441.39,610781.64,10303.2,1039496.2,738943.52,290855.73,9696.95,conventional,2016,Southeast
18,2016-08-21,1.11,3716886.69,1923227.36,648951.54,13450.33,1131257.46,827154.53,276587.65,27515.28,conventional,2016,Southeast
19,2016-08-14,1.09,4230674.67,2241425.0,738177.11,15287.26,1235785.3,745879.1,467642.03,22264.17,conventional,2016,Southeast
