,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.05,67099.38,20577.16,21592.44,2889.97,22039.81,21900.09,0.0,139.72,conventional,2015,Spokane
1,2015-12-20,1.12,61555.62,17819.26,16576.75,2660.37,24499.24,24499.24,0.0,0.0,conventional,2015,Spokane
2,2015-12-13,0.99,67431.18,22229.24,20738.68,2189.59,22273.67,22269.39,4.28,0.0,conventional,2015,Spokane
3,2015-12-06,0.85,100233.67,18780.0,39234.39,2758.78,39460.5,38946.79,513.71,0.0,conventional,2015,Spokane
4,2015-11-29,1.17,51432.09,16876.93,16826.84,2523.85,15204.47,15204.47,0.0,0.0,conventional,2015,Spokane
5,2015-11-22,1.12,56013.43,17535.51,21806.06,2671.75,14000.11,14000.11,0.0,0.0,conventional,2015,Spokane
6,2015-11-15,1.0,84398.93,17121.98,38867.94,2013.77,26395.24,26395.24,0.0,0.0,conventional,2015,Spokane
7,2015-11-08,1.08,63821.22,19315.13,26207.73,2182.03,16116.33,16116.33,0.0,0.0,conventional,2015,Spokane
8,2015-11-01,1.13,60151.68,20262.48,23801.85,2428.84,13658.51,13658.51,0.0,0.0,conventional,2015,Spokane
9,2015-10-25,1.08,66852.57,16618.08,33389.28,2073.74,14771.47,14720.74,50.73,0.0,conventional,2015,Spokane
10,2015-10-18,1.13,60732.92,16562.04,30936.55,1935.49,11298.84,11298.84,0.0,0.0,conventional,2015,Spokane
11,2015-10-11,0.94,88580.07,11289.75,56878.37,1932.9,18479.05,18479.05,0.0,0.0,conventional,2015,Spokane
12,2015-10-04,0.99,77514.75,18331.9,47471.02,1657.16,10054.67,10054.67,0.0,0.0,conventional,2015,Spokane
13,2015-09-27,1.09,63902.9,25431.53,23735.71,2196.24,12539.42,12539.42,0.0,0.0,conventional,2015,Spokane
14,2015-09-20,1.05,79503.08,20718.72,42342.6,4327.13,12114.63,12114.63,0.0,0.0,conventional,2015,Spokane
15,2015-09-13,1.03,78771.3,39572.15,24065.27,2657.99,12475.89,12475.89,0.0,0.0,conventional,2015,Spokane
16,2015-09-06,1.08,67101.52,32235.74,18153.73,3891.68,12820.37,12820.37,0.0,0.0,conventional,2015,Spokane
17,2015-08-30,1.11,61176.91,31274.84,16651.71,3820.56,9429.8,9427.72,2.08,0.0,conventional,2015,Spokane
18,2015-08-23,1.08,84333.73,34441.25,35454.67,2497.82,11939.99,11869.39,70.6,0.0,conventional,2015,Spokane
19,2015-08-16,1.15,72392.09,33363.36,25970.27,3108.08,9950.38,9950.38,0.0,0.0,conventional,2015,Spokane
20,2015-08-09,1.21,70351.29,32213.37,23114.49,3261.8,11761.63,11761.63,0.0,0.0,conventional,2015,Spokane
21,2015-08-02,1.19,74839.74,35242.08,24453.69,3189.46,11954.51,11954.51,0.0,0.0,conventional,2015,Spokane
22,2015-07-26,1.18,71150.24,33592.19,22293.64,3203.53,12060.88,12060.88,0.0,0.0,conventional,2015,Spokane
23,2015-07-19,1.16,77305.34,39750.66,23169.36,2910.03,11475.29,11475.29,0.0,0.0,conventional,2015,Spokane
24,2015-07-12,1.05,86318.9,45146.65,23703.42,3714.04,13754.79,13594.7,160.09,0.0,conventional,2015,Spokane
25,2015-07-05,1.22,91195.99,43121.13,30059.65,6422.29,11592.92,11245.14,347.78,0.0,conventional,2015,Spokane
26,2015-06-28,1.2,81276.47,38303.6,26660.48,6367.68,9944.71,9944.71,0.0,0.0,conventional,2015,Spokane
27,2015-06-21,1.12,84739.31,33513.17,33789.94,4665.82,12770.38,12770.38,0.0,0.0,conventional,2015,Spokane
28,2015-06-14,1.13,88579.12,36980.68,35548.22,3428.77,12621.45,12621.45,0.0,0.0,conventional,2015,Spokane
29,2015-06-07,1.19,79733.85,40534.99,26271.71,3744.52,9182.63,9182.63,0.0,0.0,conventional,2015,Spokane
30,2015-05-31,1.08,82469.7,42027.99,24334.27,3310.34,12797.1,12797.1,0.0,0.0,conventional,2015,Spokane
31,2015-05-24,1.07,92664.44,41058.09,33679.94,3564.33,14362.08,14362.08,0.0,0.0,conventional,2015,Spokane
32,2015-05-17,1.09,77996.78,36879.96,24110.51,4295.38,12710.93,12710.93,0.0,0.0,conventional,2015,Spokane
33,2015-05-10,1.03,95615.23,46467.69,31703.17,3071.94,14372.43,12192.59,2179.84,0.0,conventional,2015,Spokane
34,2015-05-03,0.98,108051.54,44094.43,48511.36,3133.35,12312.4,12127.23,185.17,0.0,conventional,2015,Spokane
35,2015-04-26,1.08,80443.94,41208.97,24094.05,2597.12,12543.8,12543.8,0.0,0.0,conventional,2015,Spokane
