,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.1,152121.37,50481.76,25206.85,23.89,76408.87,58430.48,17978.39,0.0,conventional,2015,StLouis
1,2015-12-20,1.13,135427.66,40333.06,23867.6,40.52,71186.48,59160.36,12026.12,0.0,conventional,2015,StLouis
2,2015-12-13,0.99,166083.52,64673.08,24481.09,71.71,76857.64,55878.32,20979.32,0.0,conventional,2015,StLouis
3,2015-12-06,1.09,147544.08,60481.9,25222.92,27.18,61812.08,53742.31,8069.77,0.0,conventional,2015,StLouis
4,2015-11-29,1.16,129475.25,38130.41,26526.03,115.21,64703.6,57854.06,6840.66,8.88,conventional,2015,StLouis
5,2015-11-22,1.15,134989.16,40115.68,27003.98,23.45,67846.05,60331.15,7514.9,0.0,conventional,2015,StLouis
6,2015-11-15,1.07,160185.59,62810.86,28499.99,14.91,68859.83,61782.77,7074.83,2.23,conventional,2015,StLouis
7,2015-11-08,1.18,148030.6,54277.81,29529.64,25.08,64198.07,59269.38,4928.69,0.0,conventional,2015,StLouis
8,2015-11-01,1.21,152077.32,49010.65,34559.26,43.44,68463.97,64373.15,4084.11,6.71,conventional,2015,StLouis
9,2015-10-25,1.21,151268.28,52371.31,37039.7,37.92,61819.35,56579.05,5240.3,0.0,conventional,2015,StLouis
10,2015-10-18,1.26,143944.11,53413.73,34898.38,25.38,55606.62,51312.19,4287.69,6.74,conventional,2015,StLouis
11,2015-10-11,1.15,159011.26,77647.86,25627.41,28.01,55707.98,52275.19,3421.53,11.26,conventional,2015,StLouis
12,2015-10-04,1.23,151219.39,64603.33,36643.05,51.42,49921.59,46870.06,3051.53,0.0,conventional,2015,StLouis
13,2015-09-27,1.12,175958.11,99021.18,34231.9,62.01,42643.02,40596.31,2046.71,0.0,conventional,2015,StLouis
14,2015-09-20,1.24,165255.03,77969.04,37269.87,58.84,49957.28,47579.68,2357.32,20.28,conventional,2015,StLouis
15,2015-09-13,1.15,200117.98,108859.16,33405.69,227.53,57625.6,55794.9,1694.5,136.2,conventional,2015,StLouis
16,2015-09-06,1.3,180705.59,85673.91,36576.66,71.5,58383.52,58293.14,88.13,2.25,conventional,2015,StLouis
17,2015-08-30,1.32,164716.78,74751.64,34386.84,16.21,55562.09,55153.25,404.34,4.5,conventional,2015,StLouis
18,2015-08-23,1.11,202861.68,111101.26,35104.11,33.19,56623.12,56606.63,11.99,4.5,conventional,2015,StLouis
19,2015-08-16,0.88,290906.05,186669.12,44789.17,101.82,59345.94,59339.2,0.0,6.74,conventional,2015,StLouis
20,2015-08-09,1.15,200794.99,92511.57,47874.46,230.92,60178.04,60173.56,0.0,4.48,conventional,2015,StLouis
21,2015-08-02,1.26,184501.15,79291.85,43745.86,4.0,61459.44,61457.2,0.0,2.24,conventional,2015,StLouis
22,2015-07-26,1.06,216993.01,120124.79,38710.22,21.88,58136.12,58136.12,0.0,0.0,conventional,2015,StLouis
23,2015-07-19,1.2,204464.92,99044.52,41712.52,56.2,63651.68,63651.68,0.0,0.0,conventional,2015,StLouis
24,2015-07-12,1.13,233579.7,132490.39,44204.19,232.99,56652.13,56425.96,3.95,222.22,conventional,2015,StLouis
25,2015-07-05,1.32,224901.96,97253.4,57668.67,23.52,69956.37,69313.52,642.85,0.0,conventional,2015,StLouis
26,2015-06-28,1.17,217234.17,107631.08,40137.34,54.82,69410.93,69371.63,39.3,0.0,conventional,2015,StLouis
27,2015-06-21,1.26,198137.18,84699.66,38461.41,51.04,74925.07,74925.07,0.0,0.0,conventional,2015,StLouis
28,2015-06-14,1.28,203247.31,87726.18,41782.62,102.06,73636.45,73588.28,0.0,48.17,conventional,2015,StLouis
29,2015-06-07,1.3,194667.64,92964.49,38450.22,41.86,63211.07,63206.71,0.0,4.36,conventional,2015,StLouis
30,2015-05-31,1.16,247195.62,147104.98,38945.34,8.73,61136.57,61113.45,23.12,0.0,conventional,2015,StLouis
31,2015-05-24,1.18,236189.46,135166.39,38773.04,9.0,62241.03,62233.36,7.67,0.0,conventional,2015,StLouis
32,2015-05-17,1.32,186936.02,96530.89,37553.09,37.3,52814.74,52814.74,0.0,0.0,conventional,2015,StLouis
33,2015-05-10,1.25,218562.94,125846.03,33050.99,42.85,59623.07,59620.93,0.0,2.14,conventional,2015,StLouis
34,2015-05-03,1.09,275080.92,190986.18,36252.66,32.39,47809.69,47809.69,0.0,0.0,conventional,2015,StLouis
35,2015-04-26,1.37,178200.42,86967.98,42320.51,15.07,48896.86,48894.75,0.0,2.11,conventional,2015,StLouis
36,2015-04-19,1.34,184979.95,101449.24,38169.29,33.73,45327.69,45322.98,4.71,0.0,conventional,2015,StLouis
37,2015-04-12,1.21,214125.11,138215.06,37441.77,144.84,38323.44,38323.44,0.0,0.0,conventional,2015,StLouis
38,2015-04-05,1.36,159461.64,77970.98,34544.71,67.97,46877.98,46762.42,115.56,0.0,conventional,2015,StLouis
39,2015-03-29,1.21,198395.76,111921.69,39575.0,56.26,46842.81,46687.25,155.56,0.0,conventional,2015,StLouis
40,2015-03-22,1.34,163325.4,77997.93,37696.27,39.92,47591.28,47513.51,77.77,0.0,conventional,2015,StLouis
