,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,1.36,42344.22,828.65,23560.51,14.41,17940.65,17940.65,0.0,0.0,conventional,2015,Syracuse
1,2015-12-20,1.36,39365.15,646.68,22231.33,12.89,16474.25,16474.25,0.0,0.0,conventional,2015,Syracuse
2,2015-12-13,1.32,50384.57,773.81,33149.83,5.7,16455.23,16455.23,0.0,0.0,conventional,2015,Syracuse
3,2015-12-06,1.17,50632.73,874.9,34439.57,11.91,15306.35,15306.35,0.0,0.0,conventional,2015,Syracuse
4,2015-11-29,1.41,35852.68,719.36,21285.35,8.89,13839.08,13839.08,0.0,0.0,conventional,2015,Syracuse
5,2015-11-22,1.38,39100.45,846.69,22314.4,34.38,15904.98,15904.98,0.0,0.0,conventional,2015,Syracuse
6,2015-11-15,1.21,51725.93,912.37,34236.71,20.94,16555.91,16364.8,191.11,0.0,conventional,2015,Syracuse
7,2015-11-08,1.23,55560.09,645.86,37788.65,12.84,17112.74,16690.52,422.22,0.0,conventional,2015,Syracuse
8,2015-11-01,1.16,55095.62,1062.84,36281.55,29.66,17721.57,17374.9,346.67,0.0,conventional,2015,Syracuse
9,2015-10-25,1.26,48971.6,935.77,30448.48,18.45,17568.9,16893.34,675.56,0.0,conventional,2015,Syracuse
10,2015-10-18,1.26,48655.18,748.89,28155.56,21.65,19729.08,19364.64,364.44,0.0,conventional,2015,Syracuse
11,2015-10-11,1.32,45170.5,1054.4,27690.82,26.06,16399.22,15861.44,537.78,0.0,conventional,2015,Syracuse
12,2015-10-04,1.34,41904.06,1777.42,22698.79,10.41,17417.44,16884.11,533.33,0.0,conventional,2015,Syracuse
13,2015-09-27,1.16,54194.93,925.8,43139.43,19.65,10110.05,9981.16,128.89,0.0,conventional,2015,Syracuse
14,2015-09-20,1.44,37045.75,775.55,27299.15,29.82,8941.23,8492.34,448.89,0.0,conventional,2015,Syracuse
15,2015-09-13,1.44,43060.6,882.3,30696.69,45.47,11436.14,10960.58,475.56,0.0,conventional,2015,Syracuse
16,2015-09-06,1.36,48358.73,675.27,37504.92,97.12,10081.42,10081.42,0.0,0.0,conventional,2015,Syracuse
17,2015-08-30,1.2,53699.67,601.15,43932.05,102.42,9064.05,9064.05,0.0,0.0,conventional,2015,Syracuse
18,2015-08-23,1.44,42933.81,579.09,30616.05,77.91,11660.76,11660.76,0.0,0.0,conventional,2015,Syracuse
19,2015-08-16,1.42,44245.45,619.41,32282.72,82.0,11261.32,11261.32,0.0,0.0,conventional,2015,Syracuse
20,2015-08-09,1.35,51094.98,510.89,39597.11,127.27,10859.71,10859.71,0.0,0.0,conventional,2015,Syracuse
21,2015-08-02,1.48,41000.44,722.58,26661.77,219.89,13396.2,13396.2,0.0,0.0,conventional,2015,Syracuse
22,2015-07-26,1.23,59947.27,878.02,41541.46,334.92,17192.87,17192.87,0.0,0.0,conventional,2015,Syracuse
23,2015-07-19,1.38,59427.83,593.22,34449.87,1027.97,23356.77,23356.77,0.0,0.0,conventional,2015,Syracuse
