,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.97,376187.98,246326.83,35652.12,56.54,94152.49,55850.56,38301.93,0.0,conventional,2015,Tampa
1,2015-12-20,1.15,238950.84,146376.83,23810.77,33.84,68729.4,50715.84,18013.56,0.0,conventional,2015,Tampa
2,2015-12-13,0.96,365643.92,242293.88,40944.16,52.15,82353.73,42015.01,40338.72,0.0,conventional,2015,Tampa
3,2015-12-06,1.17,227131.21,145404.19,29926.02,43.83,51757.17,33251.65,18505.52,0.0,conventional,2015,Tampa
4,2015-11-29,0.96,330060.95,213390.26,41026.86,18.37,75625.46,36785.63,38839.83,0.0,conventional,2015,Tampa
5,2015-11-22,0.97,311784.91,194667.16,39338.15,57.68,77721.92,46934.42,30787.5,0.0,conventional,2015,Tampa
6,2015-11-15,1.22,236178.67,138482.7,32425.9,51.52,65218.55,43524.24,21691.49,2.82,conventional,2015,Tampa
7,2015-11-08,1.21,228585.31,135741.88,33351.68,40.46,59451.29,40754.56,18696.73,0.0,conventional,2015,Tampa
8,2015-11-01,0.97,391514.43,228324.13,72749.38,100.62,90340.3,44449.47,45890.83,0.0,conventional,2015,Tampa
9,2015-10-25,1.12,234023.9,109048.96,51940.14,43.18,72991.62,35990.35,36998.43,2.84,conventional,2015,Tampa
10,2015-10-18,1.11,256610.0,112096.12,54378.07,42.22,90093.59,49373.24,40703.27,17.08,conventional,2015,Tampa
11,2015-10-11,0.88,402228.35,175545.51,90767.27,80.58,135834.99,47783.02,88049.12,2.85,conventional,2015,Tampa
12,2015-10-04,0.89,413839.96,184069.95,92366.74,106.53,137296.74,52595.05,84698.84,2.85,conventional,2015,Tampa
13,2015-09-27,1.13,252128.43,99077.59,70565.14,99.97,82385.73,42717.37,39668.36,0.0,conventional,2015,Tampa
14,2015-09-20,0.88,432962.29,186843.91,104344.66,88.0,141685.72,50247.33,91438.39,0.0,conventional,2015,Tampa
15,2015-09-13,1.1,257374.81,97653.71,69978.38,102.06,89640.66,50111.01,39529.65,0.0,conventional,2015,Tampa
16,2015-09-06,0.91,436528.94,205188.66,94841.92,63.26,136435.1,60131.29,76303.81,0.0,conventional,2015,Tampa
17,2015-08-30,1.2,262575.33,126060.57,53665.74,149.12,82699.9,64691.49,17980.34,28.07,conventional,2015,Tampa
18,2015-08-23,1.17,264170.2,126817.4,54873.96,66.95,82411.89,66986.23,15425.66,0.0,conventional,2015,Tampa
19,2015-08-16,1.17,283647.52,139923.45,50157.8,66.42,93499.85,75599.35,17900.5,0.0,conventional,2015,Tampa
20,2015-08-09,0.97,427229.44,257930.36,58043.78,161.33,111093.97,75694.1,35397.12,2.75,conventional,2015,Tampa
21,2015-08-02,1.18,274423.66,139950.79,50642.05,170.4,83660.42,68312.39,15348.03,0.0,conventional,2015,Tampa
22,2015-07-26,1.16,265367.52,133615.12,48153.33,115.96,83483.11,67480.1,16003.01,0.0,conventional,2015,Tampa
23,2015-07-19,0.97,421574.42,258972.92,61716.04,138.6,100746.86,64830.87,35915.99,0.0,conventional,2015,Tampa
24,2015-07-12,1.17,289138.36,149510.03,54927.82,100.6,84599.91,68163.21,16139.48,297.22,conventional,2015,Tampa
25,2015-07-05,0.95,482088.56,282433.1,71003.58,163.96,128487.92,91543.31,36939.3,5.31,conventional,2015,Tampa
26,2015-06-28,1.11,325434.49,157030.05,56095.25,108.06,112201.13,94295.35,17905.78,0.0,conventional,2015,Tampa
27,2015-06-21,0.95,438581.5,262821.95,58036.49,773.09,116949.97,80513.03,36436.94,0.0,conventional,2015,Tampa
28,2015-06-14,1.17,294964.3,152836.19,39330.6,2087.35,100710.16,82324.41,18385.75,0.0,conventional,2015,Tampa
29,2015-06-07,0.97,433152.31,295793.0,35164.49,467.96,101726.86,65864.81,35862.05,0.0,conventional,2015,Tampa
30,2015-05-31,1.22,273609.96,181641.14,18121.91,203.98,73642.93,57879.61,15763.32,0.0,conventional,2015,Tampa
31,2015-05-24,0.99,460041.38,331416.4,30794.75,279.94,97550.29,58346.93,39203.36,0.0,conventional,2015,Tampa
32,2015-05-17,1.18,275260.08,182281.62,18249.86,79.99,74648.61,58505.85,16142.76,0.0,conventional,2015,Tampa
33,2015-05-10,1.21,287068.69,197831.01,20278.37,88.47,68870.84,53035.85,15834.99,0.0,conventional,2015,Tampa
34,2015-05-03,0.97,558113.22,401968.96,37800.63,164.47,118179.16,62416.87,55151.18,611.11,conventional,2015,Tampa
35,2015-04-26,1.19,304135.67,203078.44,19757.32,118.14,81181.77,60977.02,19915.86,288.89,conventional,2015,Tampa
36,2015-04-19,1.16,280464.73,182582.22,19553.08,138.42,78191.01,56279.47,21911.54,0.0,conventional,2015,Tampa
37,2015-04-12,0.99,425033.14,304622.85,30735.77,170.44,89504.08,46251.46,43252.62,0.0,conventional,2015,Tampa
38,2015-04-05,1.09,354134.22,242307.65,26336.27,193.86,85296.44,51105.07,34191.37,0.0,conventional,2015,Tampa
39,2015-03-29,1.2,254520.54,169276.36,18562.0,94.15,66588.03,45155.64,21432.39,0.0,conventional,2015,Tampa
