,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.95,27297983.67,9626901.09,10197890.05,1184340.09,6288852.44,4850404.09,1252626.31,185822.04,conventional,2015,TotalUS
1,2015-12-20,0.98,25083647.17,8710021.76,9329861.85,1201020.01,5842743.55,4618389.66,1025048.77,199305.12,conventional,2015,TotalUS
2,2015-12-13,0.93,28041335.38,9855053.66,10805838.91,1016163.17,6364279.64,4964462.13,1371440.28,28377.23,conventional,2015,TotalUS
3,2015-12-06,0.89,28800396.57,9405464.36,12160838.62,931830.63,6302262.96,5005077.36,1233956.21,63229.39,conventional,2015,TotalUS
4,2015-11-29,0.99,22617999.38,8094803.56,9003178.41,731008.41,4789009.0,3901953.04,856560.34,30495.62,conventional,2015,TotalUS
5,2015-11-22,0.96,25114228.11,8571849.8,10389879.59,804662.83,5347835.89,4178583.45,1137229.84,32022.6,conventional,2015,TotalUS
6,2015-11-15,0.92,28597756.27,9907981.27,11699787.51,815641.54,6174345.95,4854619.04,1283546.73,36180.18,conventional,2015,TotalUS
7,2015-11-08,0.97,28485715.97,9991330.31,12199657.4,1143214.59,5151513.67,4058500.97,1027701.97,65310.73,conventional,2015,TotalUS
8,2015-11-01,0.97,31047484.27,10138703.85,14229286.82,1410928.18,5268565.42,3966597.25,1246220.37,55747.8,conventional,2015,TotalUS
9,2015-10-25,1.04,26240072.11,8683958.8,11410478.34,1188118.95,4957516.02,3918658.43,999727.7,39129.89,conventional,2015,TotalUS
10,2015-10-18,0.99,29375123.6,9162094.14,14082539.61,1220251.19,4910238.66,3930198.18,952191.42,27849.06,conventional,2015,TotalUS
11,2015-10-11,1.0,29216198.15,8828340.53,13326573.45,1614282.73,5447001.44,4153477.6,1221305.29,72218.55,conventional,2015,TotalUS
12,2015-10-04,1.02,28243505.52,8353619.97,13775651.69,1209045.07,4905188.79,3664890.84,1189350.26,50947.69,conventional,2015,TotalUS
13,2015-09-27,1.03,27753508.14,8454208.8,13819912.63,1061979.37,4417407.34,3476492.68,886423.93,54490.73,conventional,2015,TotalUS
14,2015-09-20,1.02,29569086.56,9422275.27,13846044.56,1112405.42,5188361.31,3938274.51,1183732.08,66354.72,conventional,2015,TotalUS
15,2015-09-13,1.03,31245835.65,9875018.48,14888077.69,1118988.92,5363750.56,4072661.53,1226810.47,64278.56,conventional,2015,TotalUS
16,2015-09-06,1.02,33526480.08,12569277.14,14245598.38,1129771.19,5581833.37,4363707.93,1184888.95,33236.49,conventional,2015,TotalUS
17,2015-08-30,1.07,29761638.48,11650976.87,11995960.83,1060352.53,5054348.25,4316352.47,685816.37,52179.41,conventional,2015,TotalUS
18,2015-08-23,1.08,29699845.61,11283021.31,12551529.7,909284.22,4956010.38,4318010.6,612362.43,25637.35,conventional,2015,TotalUS
19,2015-08-16,1.05,31936856.18,12680252.48,12998327.25,1143364.58,5114911.87,4342839.06,703542.1,68530.71,conventional,2015,TotalUS
20,2015-08-09,1.05,33254911.87,13003371.07,13926692.62,1014520.88,5310327.3,4391461.66,888237.91,30627.73,conventional,2015,TotalUS
21,2015-08-02,1.09,30358467.88,12115233.76,12219014.12,984702.75,5039517.25,4322985.19,689175.8,27356.26,conventional,2015,TotalUS
22,2015-07-26,1.07,30652211.08,12196225.93,12009228.05,1017157.74,5429599.36,4627251.87,779807.55,22539.94,conventional,2015,TotalUS
23,2015-07-19,1.07,32324647.66,12742760.17,12605457.17,1154897.34,5821532.98,4757798.96,1013834.06,49899.96,conventional,2015,TotalUS
24,2015-07-12,1.07,31660031.68,12384449.4,12403360.2,980361.75,5891860.33,5067198.34,796786.14,27875.85,conventional,2015,TotalUS
25,2015-07-05,1.04,37943670.34,15643939.37,14213650.06,1342465.95,6743614.96,5803954.33,905204.55,34456.08,conventional,2015,TotalUS
26,2015-06-28,1.06,32408705.7,13299568.71,11505999.24,1045832.54,6557305.21,5690216.31,846752.4,20336.5,conventional,2015,TotalUS
27,2015-06-21,1.02,35734613.9,14699604.93,13244466.6,1326422.56,6464119.81,5517909.51,898027.46,48182.84,conventional,2015,TotalUS
28,2015-06-14,0.98,37026085.75,16383685.07,12821015.03,1085081.61,6736304.04,5893641.72,822399.78,20262.54,conventional,2015,TotalUS
29,2015-06-07,1.0,36549995.66,16529797.6,12582265.21,1144715.95,6293216.9,5304562.91,943995.95,44658.04,conventional,2015,TotalUS
30,2015-05-31,1.03,33720159.09,15503613.33,11599634.02,903908.35,5713003.39,4967231.63,726046.25,19725.51,conventional,2015,TotalUS
31,2015-05-24,1.04,35344183.15,16000107.8,12513821.19,899779.92,5930474.24,5094263.38,815628.55,20582.31,conventional,2015,TotalUS
32,2015-05-17,1.06,32027686.15,14615941.59,11003341.22,963549.53,5444853.81,4747544.74,660983.55,36325.52,conventional,2015,TotalUS
33,2015-05-10,1.02,36400886.58,16215328.75,13509064.65,858145.45,5818347.73,4991625.82,816629.4,10092.51,conventional,2015,TotalUS
34,2015-05-03,0.96,41291704.39,17787611.93,16602589.04,1118329.5,5783173.92,4647155.48,1110987.23,25031.21,conventional,2015,TotalUS
35,2015-04-26,1.07,30894157.8,13833715.28,10867403.08,889732.2,5303307.24,4584203.44,687179.4,31924.4,conventional,2015,TotalUS
36,2015-04-19,1.03,33091256.26,14251319.31,12277858.78,1016631.26,5545446.91,4696224.79,819935.17,29286.95,conventional,2015,TotalUS
37,2015-04-12,1.02,32046401.64,14793354.18,11210544.11,807942.41,5234560.94,4400469.38,826567.05,7524.51,conventional,2015,TotalUS
38,2015-04-05,1.06,31500669.44,13939014.43,11526980.36,871981.29,5162693.36,4477299.71,666514.74,18878.91,conventional,2015,TotalUS
39,2015-03-29,1.04,29982648.43,12524637.04,11541041.35,811272.88,5105697.16,4487886.76,610349.2,7461.2,conventional,2015,TotalUS
40,2015-03-22,1.01,32513550.51,13697405.61,12659784.83,1066385.92,5089974.15,4275071.46,762527.54,52375.15,conventional,2015,TotalUS
41,2015-03-15,1.04,29572225.71,13149988.71,10634070.76,871575.04,4916591.2,4287621.56,614904.92,14064.72,conventional,2015,TotalUS
42,2015-03-08,1.02,30094698.85,13013750.35,10973972.6,834009.15,5272966.75,4583726.82,673149.42,16090.51,conventional,2015,TotalUS
43,2015-03-01,0.97,32994014.16,13282222.98,13733124.48,1070576.07,4908090.63,4129138.63,725218.35,53733.65,conventional,2015,TotalUS
44,2015-02-22,1.02,29936729.76,12628562.36,11354281.64,937138.85,5016746.91,4336247.12,667149.29,13350.5,conventional,2015,TotalUS
45,2015-02-15,1.03,28012520.93,12626615.3,9783489.59,845653.52,4756762.52,4096226.46,648632.0,11904.06,conventional,2015,TotalUS
46,2015-02-08,0.95,32137333.01,13308193.4,13381347.54,737939.45,4709852.62,4022474.85,673453.54,13924.23,conventional,2015,TotalUS
47,2015-02-01,0.89,44655461.51,18933038.04,18956479.74,1381516.11,5384427.62,4216452.03,1121076.47,46899.12,conventional,2015,TotalUS
48,2015-01-25,1.04,28470310.84,12167445.03,10734652.82,768020.05,4800192.94,3978636.9,812924.73,8631.31,conventional,2015,TotalUS
49,2015-01-18,1.03,29043458.85,11858139.34,11701947.8,831301.9,4652069.81,3873041.26,771093.2,7935.35,conventional,2015,TotalUS
50,2015-01-11,1.01,29063542.75,11544810.53,12134773.38,866574.66,4517384.18,3783261.16,718333.87,15789.15,conventional,2015,TotalUS
51,2015-01-04,0.95,31324277.73,12357161.34,13624083.05,844093.32,4498940.02,3585321.58,894945.63,18672.81,conventional,2015,TotalUS
0,2016-12-25,1.0,30287853.7,9255125.2,10282925.61,541972.42,10207830.47,7709584.33,2417144.92,81101.22,conventional,2016,TotalUS
1,2016-12-18,0.96,29583882.61,9394065.91,10339168.2,427872.42,9422776.08,6970320.34,2358443.96,94011.78,conventional,2016,TotalUS
2,2016-12-11,0.98,30093540.7,9009996.11,9967220.02,403047.93,10713276.64,8149438.75,2490495.07,73342.82,conventional,2016,TotalUS
3,2016-12-04,1.0,31621221.9,11043350.9,9908982.97,428009.84,10240878.19,7187022.58,2988504.98,65350.63,conventional,2016,TotalUS
4,2016-11-27,1.21,22923062.65,7891487.94,7337341.77,344475.9,7349757.04,5691266.56,1609867.2,48623.28,conventional,2016,TotalUS
5,2016-11-20,1.27,24989702.75,8531160.52,8033510.82,407567.78,8017463.63,6207080.46,1765673.77,44709.4,conventional,2016,TotalUS
6,2016-11-13,1.36,24075126.49,8235135.43,7759608.21,477520.95,7602861.9,5602593.66,1957163.93,43104.31,conventional,2016,TotalUS
7,2016-11-06,1.44,22534698.38,7804252.91,7126936.31,505349.44,7098159.72,5245066.66,1812174.32,40918.74,conventional,2016,TotalUS
8,2016-10-30,1.43,21009730.21,7100458.82,6852046.35,453145.26,6604079.78,4655045.62,1882750.65,66283.51,conventional,2016,TotalUS
9,2016-10-23,1.34,24753513.95,7579629.06,8104522.26,452383.96,8616978.67,6508666.81,2016513.03,91798.83,conventional,2016,TotalUS
10,2016-10-16,1.3,27707046.82,8810664.45,8855072.75,447291.48,9594018.14,6934368.93,2575095.84,84553.37,conventional,2016,TotalUS
11,2016-10-09,1.27,28857581.98,9552502.48,9579338.98,490956.88,9234783.64,6849126.9,2316377.99,69278.75,conventional,2016,TotalUS
12,2016-10-02,1.23,29615008.49,9534915.56,9123897.74,490123.01,10466072.18,7408765.9,2981275.76,76030.52,conventional,2016,TotalUS
13,2016-09-25,1.22,30305112.89,10548061.13,9255913.78,492604.3,10008533.68,7440444.59,2476400.79,91688.3,conventional,2016,TotalUS
14,2016-09-18,1.15,31346091.46,11337829.1,9481313.14,486187.39,10040761.83,7649502.34,2311262.99,79996.5,conventional,2016,TotalUS
15,2016-09-11,1.08,34126730.95,12962762.94,10380438.09,512160.27,10271369.65,8199580.75,2016484.84,55304.06,conventional,2016,TotalUS
16,2016-09-04,1.04,37130688.91,14643465.52,11083513.46,540680.89,10863029.04,8555283.68,2214419.29,93326.07,conventional,2016,TotalUS
17,2016-08-28,1.09,33993931.31,12561055.5,10420973.0,563738.54,10448164.27,8503870.88,1785021.92,159271.47,conventional,2016,TotalUS
18,2016-08-21,1.1,33592097.72,12725249.3,9906498.51,609720.87,10350629.04,8749239.27,1446381.11,155008.66,conventional,2016,TotalUS
19,2016-08-14,1.12,34386177.3,12352932.68,10879341.61,749247.02,10404655.99,8479506.83,1813210.6,111938.56,conventional,2016,TotalUS
20,2016-08-07,1.15,33819909.09,12197105.36,10731379.56,754548.53,10136875.64,8386276.39,1569550.49,181048.76,conventional,2016,TotalUS
21,2016-07-31,1.23,31201590.22,10168972.37,10423957.83,783937.09,9824722.93,8193011.02,1431744.52,199967.39,conventional,2016,TotalUS
22,2016-07-24,1.2,32339377.09,10331314.28,10795751.15,947964.05,10264347.61,8315738.7,1561208.69,387400.22,conventional,2016,TotalUS
23,2016-07-17,1.15,32656123.63,10320463.27,10628872.6,953631.47,10753156.29,8737861.29,1624816.27,390478.73,conventional,2016,TotalUS
24,2016-07-10,1.1,35567568.43,11457080.38,11677528.0,1266433.97,11166526.08,8984513.63,1727668.8,454343.65,conventional,2016,TotalUS
25,2016-07-03,1.06,39993186.04,12508937.27,13315901.42,1761343.08,12407004.27,9967538.34,1887772.28,551693.65,conventional,2016,TotalUS
26,2016-06-26,1.04,36617023.79,12189035.17,12029918.6,1624942.43,10773127.59,8834969.52,1609568.98,328589.09,conventional,2016,TotalUS
27,2016-06-19,1.02,38489936.14,13488851.61,12842698.33,1642735.63,10515650.57,8223280.88,1975350.75,317018.94,conventional,2016,TotalUS
28,2016-06-12,1.04,35580820.0,12291686.69,11533969.83,1607344.08,10147819.4,8039865.67,1796513.74,311439.99,conventional,2016,TotalUS
29,2016-06-05,0.97,40231259.65,13808859.16,13396651.73,1770948.09,11254800.67,8492744.45,2441022.99,321033.23,conventional,2016,TotalUS
30,2016-05-29,0.94,40019075.24,13682611.21,13829591.06,1583495.93,10923377.04,8085657.41,2657598.78,180120.85,conventional,2016,TotalUS
31,2016-05-22,0.93,36958035.51,11711999.81,12981224.42,1640829.4,10623981.88,7835766.14,2563223.75,224991.99,conventional,2016,TotalUS
32,2016-05-15,0.89,39914996.74,12447598.49,14437190.03,1753852.61,11276355.61,7987028.55,3143280.05,146047.01,conventional,2016,TotalUS
33,2016-05-08,0.82,46324529.7,14223304.98,17896391.6,1993645.36,12211187.76,8747756.84,3342780.83,120650.09,conventional,2016,TotalUS
34,2016-05-01,0.84,42867608.54,13748944.38,15899858.37,1414364.49,11804441.3,8376124.32,3365582.11,62734.87,conventional,2016,TotalUS
35,2016-04-24,0.87,39607695.3,12913697.19,14382184.8,1599863.98,10711949.33,7835835.83,2801102.86,75010.64,conventional,2016,TotalUS
36,2016-04-17,0.9,37467885.19,11954487.56,12896366.58,1896149.5,10720881.55,8128710.21,2467001.94,125169.4,conventional,2016,TotalUS
37,2016-04-10,0.9,36584029.39,12879820.47,11538132.36,1666275.13,10499801.43,7808770.98,2613293.43,77737.02,conventional,2016,TotalUS
38,2016-04-03,0.94,33668450.55,11320969.79,11512621.85,1731910.48,9102948.43,6830380.18,2213379.44,59188.81,conventional,2016,TotalUS
39,2016-03-27,0.94,35930195.92,11249198.4,12745266.73,1880231.38,10055499.41,7745105.36,2228007.91,82386.14,conventional,2016,TotalUS
40,2016-03-20,0.93,36335483.78,11134390.98,13727453.57,1773088.87,9700550.36,7248857.68,2374053.89,77638.79,conventional,2016,TotalUS
41,2016-03-13,0.93,36374516.14,11661687.44,13104887.66,1800065.57,9807875.47,7231162.6,2521123.87,55589.0,conventional,2016,TotalUS
42,2016-03-06,0.95,35064506.04,11824154.63,12196587.24,1686475.33,9357288.84,7502570.03,1747903.69,106815.12,conventional,2016,TotalUS
43,2016-02-28,0.91,36801817.68,11907394.72,13210854.56,1560167.75,10123400.65,7251666.99,2802238.74,69494.92,conventional,2016,TotalUS
44,2016-02-21,0.94,32804733.22,10015825.13,12003751.56,1375260.47,9409896.06,7213492.61,2150749.43,45654.02,conventional,2016,TotalUS
45,2016-02-14,0.88,36476441.86,11913078.3,13187973.29,1811090.71,9564299.56,7102422.27,2387455.67,74421.62,conventional,2016,TotalUS
46,2016-02-07,0.76,52288697.89,16573573.78,20470572.61,2546439.11,12698112.39,9083373.04,3373077.87,241661.48,conventional,2016,TotalUS
47,2016-01-31,0.93,34721249.92,11098088.49,13278053.61,1643703.17,8701404.65,6684515.27,1823889.58,192999.8,conventional,2016,TotalUS
48,2016-01-24,0.95,32787079.21,7020459.0,14054367.5,1440380.36,10271872.35,7438489.6,2668368.01,165014.74,conventional,2016,TotalUS
49,2016-01-17,0.94,34426341.87,10036597.84,13832256.04,1419405.62,9138082.37,6846324.06,2228420.91,63337.4,conventional,2016,TotalUS
50,2016-01-10,0.93,35264336.01,11441286.89,13226088.66,1282612.91,9314347.55,6735384.32,2528089.14,50874.09,conventional,2016,TotalUS
51,2016-01-03,0.86,38142088.04,11616506.17,16054083.86,1560068.62,8911429.39,6464895.83,2287449.76,159083.8,conventional,2016,TotalUS
0,2017-12-31,0.98,38267341.61,13109617.49,13197460.59,644837.54,11315425.99,8092355.2,3098373.91,124696.88,conventional,2017,TotalUS
1,2017-12-24,1.18,29102349.33,10027319.18,8964247.34,546373.81,9564409.0,7222270.69,2226794.39,115343.92,conventional,2017,TotalUS
2,2017-12-17,1.07,30757767.03,10704214.26,9934618.43,574089.32,9544845.02,7149680.01,2260602.86,134562.15,conventional,2017,TotalUS
3,2017-12-10,1.03,35634913.01,11943914.54,11659897.51,398348.55,11632752.41,8404955.25,3122650.26,105146.9,conventional,2017,TotalUS
4,2017-12-03,1.09,33824253.0,11746980.0,10905968.0,583801.0,10587491.0,7730801.0,2748622.0,108068.0,conventional,2017,TotalUS
5,2017-11-26,1.24,24686675.0,9175316.0,7312239.0,379637.0,7819483.0,5571801.0,2156887.0,90795.0,conventional,2017,TotalUS
6,2017-11-19,1.17,29253484.0,11173132.0,7847059.0,416186.0,9817108.0,6662322.0,3059627.0,95159.0,conventional,2017,TotalUS
7,2017-11-12,1.15,32336225.0,11512837.0,9994648.0,416643.0,10412097.0,7277327.0,3044847.0,89923.0,conventional,2017,TotalUS
8,2017-11-05,1.19,32051594.24,11042128.27,9774987.75,400250.97,10834227.25,7470394.42,3275463.49,88369.34,conventional,2017,TotalUS
9,2017-10-29,1.29,30237911.23,10596902.91,9803569.58,424755.66,9412683.08,6602082.25,2747519.87,63080.96,conventional,2017,TotalUS
10,2017-10-22,1.44,26706971.51,9607586.96,8761192.74,409598.47,7928593.34,6074596.23,1804539.66,49457.45,conventional,2017,TotalUS
11,2017-10-15,1.58,25031589.09,8769357.86,8534404.17,392119.12,7335707.94,5387869.35,1893510.99,54327.6,conventional,2017,TotalUS
12,2017-10-08,1.65,24397166.19,8911144.2,7609509.9,391832.89,7484679.2,5444021.28,1976738.84,63919.08,conventional,2017,TotalUS
13,2017-10-01,1.64,24610645.21,8342407.59,8354516.32,384794.18,7528927.12,5513111.7,1954129.38,61686.04,conventional,2017,TotalUS
14,2017-09-24,1.62,24637148.38,8652381.39,8295761.93,385004.72,7304000.34,5442167.06,1792564.59,69268.69,conventional,2017,TotalUS
15,2017-09-17,1.57,25394902.82,9153158.54,8328241.87,417270.7,7496231.71,5494163.7,1923561.42,78506.59,conventional,2017,TotalUS
16,2017-09-10,1.56,26385081.36,9496485.27,8373234.08,487926.52,8027435.49,6035666.24,1818832.48,172936.77,conventional,2017,TotalUS
17,2017-09-03,1.57,26808410.65,9775062.87,8565265.61,541902.88,7926179.29,5851814.47,1855970.25,218394.57,conventional,2017,TotalUS
18,2017-08-27,1.47,28785279.75,10735709.61,8587105.6,517541.94,8944922.6,6592504.0,2117565.5,234853.1,conventional,2017,TotalUS
19,2017-08-20,1.41,29913744.37,10507928.78,8837219.28,581074.35,9987521.96,6837126.12,2911554.48,238841.36,conventional,2017,TotalUS
20,2017-08-13,1.33,32817254.13,10952703.84,11154310.29,624963.41,10085276.59,6687661.77,3118889.17,278725.65,conventional,2017,TotalUS
21,2017-08-06,1.33,32529920.23,11292580.44,10988313.58,665312.55,9583713.66,6889925.78,2376269.93,317517.95,conventional,2017,TotalUS
22,2017-07-30,1.32,31756097.22,11112191.11,11088082.78,596676.12,8959147.21,6337457.44,2396438.66,225251.11,conventional,2017,TotalUS
23,2017-07-23,1.31,32608301.51,11391055.98,11339580.43,612242.37,9265422.73,6333888.33,2636616.32,294918.08,conventional,2017,TotalUS
24,2017-07-16,1.33,32455047.11,11155465.9,11202844.97,756103.12,9340633.12,6514899.46,2499385.51,326348.15,conventional,2017,TotalUS
25,2017-07-09,1.17,39367336.18,13009944.14,11031218.25,821964.42,14504209.37,11112405.61,3018280.29,373523.47,conventional,2017,TotalUS
26,2017-07-02,1.21,38010426.16,12623188.5,10988734.57,859889.81,13538613.28,10041243.95,3119708.27,377661.06,conventional,2017,TotalUS
27,2017-06-25,1.17,37305307.68,12901031.63,10805961.74,655965.98,12942348.33,9462413.18,3202253.91,277681.24,conventional,2017,TotalUS
28,2017-06-18,1.18,38247669.33,12975373.48,11199448.6,807107.21,13265740.04,9650858.66,3267491.24,347390.14,conventional,2017,TotalUS
29,2017-06-11,1.21,37039853.8,13490545.5,10090861.46,648410.9,12810035.94,9373421.78,3128713.2,307900.96,conventional,2017,TotalUS
30,2017-06-04,1.24,37352360.59,13248334.78,10157565.24,667066.51,13279394.06,10103007.01,2946264.52,230122.53,conventional,2017,TotalUS
31,2017-05-28,1.28,37030893.73,12841952.21,10932970.72,673384.78,12582586.02,9312239.39,3013459.42,256887.21,conventional,2017,TotalUS
32,2017-05-21,1.26,34397651.15,12120948.7,10213231.95,621603.57,11441866.93,8508442.17,2718685.22,214739.54,conventional,2017,TotalUS
33,2017-05-14,1.19,36634269.03,12807836.17,9717257.8,652973.26,13456201.8,10373347.62,2859413.59,223440.59,conventional,2017,TotalUS
34,2017-05-07,1.09,47293921.6,17076650.82,13549102.59,863471.88,15804696.31,11228049.63,4324231.19,252415.49,conventional,2017,TotalUS
35,2017-04-30,1.18,38315500.43,13316594.36,11291149.13,667996.83,13039760.11,9463810.58,3378923.98,197025.55,conventional,2017,TotalUS
36,2017-04-23,1.18,35729013.92,12236713.41,10224484.11,613507.38,12654309.02,9051466.83,3434846.78,167995.41,conventional,2017,TotalUS
37,2017-04-16,1.23,35182320.78,12311055.17,10069354.29,650017.26,12151894.06,9399104.79,2544942.74,207846.53,conventional,2017,TotalUS
38,2017-04-09,1.21,34785712.55,12091315.22,10821096.24,647969.03,11225332.06,8946792.83,2098142.94,180396.29,conventional,2017,TotalUS
39,2017-04-02,1.21,34468017.36,12245520.55,9733584.68,624709.69,11864202.44,9385516.28,2330300.27,148385.89,conventional,2017,TotalUS
40,2017-03-26,1.24,32555119.32,11737559.6,9664310.82,611105.54,10542143.36,8498317.81,1844371.94,199453.61,conventional,2017,TotalUS
41,2017-03-19,1.25,31595125.23,10975689.78,9622711.73,638217.85,10358505.87,8202242.37,2000176.08,156087.42,conventional,2017,TotalUS
42,2017-03-12,1.22,32020573.94,11228357.23,9575227.17,727233.05,10489756.49,8207585.25,2124294.41,157876.83,conventional,2017,TotalUS
43,2017-03-05,1.13,33684175.01,11335275.58,10807889.59,795173.2,10745836.64,8302600.77,2322677.19,120558.68,conventional,2017,TotalUS
44,2017-02-26,0.99,37007797.69,13173668.36,11398142.68,896761.77,11539224.88,8945888.88,2405733.76,187602.24,conventional,2017,TotalUS
45,2017-02-19,0.99,33905854.58,11321732.4,10351148.2,832906.12,11400067.86,8676989.56,2576166.71,146911.59,conventional,2017,TotalUS
46,2017-02-12,0.87,41077470.65,15051951.54,12184188.37,862322.15,12979008.59,9922489.84,2919324.45,137194.3,conventional,2017,TotalUS
47,2017-02-05,0.77,61034457.1,22743616.17,20328161.55,1664383.09,16298296.29,12567155.58,3618270.75,112869.96,conventional,2017,TotalUS
48,2017-01-29,0.96,39373579.25,14034075.77,11683464.54,818727.02,12837311.92,9918255.52,2799960.74,119095.66,conventional,2017,TotalUS
49,2017-01-22,0.94,42140393.39,14254150.46,14212881.66,908616.41,12764744.86,9462853.82,3231019.56,70871.48,conventional,2017,TotalUS
50,2017-01-15,0.98,38295488.31,12936858.36,12625665.39,579346.52,12153618.04,9445622.04,2638918.48,69077.52,conventional,2017,TotalUS
51,2017-01-08,0.99,38049802.62,11809727.7,13856934.7,539068.39,11844071.83,9332971.74,2432259.13,78840.96,conventional,2017,TotalUS
52,2017-01-01,0.89,38879716.85,12707894.99,14201200.68,549844.57,11420776.61,8551133.56,2802709.32,66933.73,conventional,2017,TotalUS
0,2018-03-25,1.03,43409835.75,14130799.1,12125711.42,758801.12,16394524.11,12540327.19,3544729.39,309467.53,conventional,2018,TotalUS
1,2018-03-18,1.05,41386314.12,13707389.51,11061051.69,645380.85,15972492.07,11712807.19,3988101.74,271583.14,conventional,2018,TotalUS
2,2018-03-11,1.09,40449603.12,14089091.05,10758039.45,707578.82,14894893.8,11392828.89,3229556.62,272508.29,conventional,2018,TotalUS
3,2018-03-04,1.07,40741214.05,14439547.46,11289307.37,571747.72,14440611.5,10832907.44,3339214.96,268489.1,conventional,2018,TotalUS
4,2018-02-25,1.06,40021528.76,13829857.87,10415463.59,724330.16,15051877.14,10666942.78,4081397.72,303536.64,conventional,2018,TotalUS
5,2018-02-18,1.08,36709887.49,13262751.42,10491918.44,552969.73,12402247.9,9023351.68,3151157.42,227738.8,conventional,2018,TotalUS
6,2018-02-11,0.97,43167806.09,15870677.7,11541844.87,652856.58,15102426.94,10844852.22,4023485.04,234089.68,conventional,2018,TotalUS
7,2018-02-04,0.87,62505646.52,21620180.9,20445501.03,1066830.22,19373134.37,13384586.8,5719096.61,269450.96,conventional,2018,TotalUS
8,2018-01-28,1.09,40171640.84,14551799.5,12119884.61,575974.74,12923981.99,9749412.19,3041125.42,133444.38,conventional,2018,TotalUS
9,2018-01-21,1.08,42939821.55,14218843.83,13929702.12,928815.12,13862460.48,9866218.28,3789722.9,206519.3,conventional,2018,TotalUS
10,2018-01-14,1.2,37299945.22,12600918.24,11866197.84,652808.4,12180020.74,8128241.88,3917569.95,134208.91,conventional,2018,TotalUS
11,2018-01-07,1.13,36703156.72,13730992.75,10781339.21,677714.86,11513109.9,8231766.23,3130919.1,150424.57,conventional,2018,TotalUS
0,2015-12-27,1.52,549787.59,89709.92,206198.62,5836.04,248043.01,142262.93,105780.08,0.0,organic,2015,TotalUS
1,2015-12-20,1.53,531478.24,93849.3,205909.13,8733.11,222986.7,130418.73,92567.97,0.0,organic,2015,TotalUS
2,2015-12-13,1.43,624300.31,91837.92,222314.6,11645.54,298502.25,149767.8,148734.45,0.0,organic,2015,TotalUS
3,2015-12-06,1.52,514112.96,90203.21,212582.74,4066.09,207260.92,108684.49,98576.43,0.0,organic,2015,TotalUS
4,2015-11-29,1.5,507830.81,79215.51,208733.32,3749.48,216132.5,91658.24,124474.26,0.0,organic,2015,TotalUS
5,2015-11-22,1.49,584276.79,95222.99,249686.75,3686.28,235680.77,99537.47,136143.3,0.0,organic,2015,TotalUS
6,2015-11-15,1.6,511347.26,109494.19,225216.4,3599.71,173036.96,120815.93,52221.03,0.0,organic,2015,TotalUS
7,2015-11-08,1.54,605197.12,167254.55,249160.89,4458.45,184323.23,124419.8,59903.43,0.0,organic,2015,TotalUS
8,2015-11-01,1.47,647789.17,113380.29,262559.59,6583.03,265266.26,139244.36,126021.9,0.0,organic,2015,TotalUS
9,2015-10-25,1.62,560830.54,109006.18,244222.97,6181.13,201420.26,116814.8,84605.46,0.0,organic,2015,TotalUS
10,2015-10-18,1.71,518034.86,108697.64,224038.49,5199.73,180099.0,101575.52,78523.48,0.0,organic,2015,TotalUS
11,2015-10-11,1.69,519892.67,93015.27,230653.61,4792.06,191431.73,101953.72,89478.01,0.0,organic,2015,TotalUS
12,2015-10-04,1.72,557392.73,95393.58,269237.06,4093.2,188668.89,106372.09,82296.8,0.0,organic,2015,TotalUS
13,2015-09-27,1.75,501814.87,114590.38,238175.26,4546.66,144502.57,81095.01,63407.56,0.0,organic,2015,TotalUS
14,2015-09-20,1.77,515240.82,126318.13,244950.88,4880.83,139090.98,91117.47,47973.51,0.0,organic,2015,TotalUS
