,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.83,5291979.63,2038443.68,1717599.45,125254.82,1410681.68,838267.79,567269.76,5144.13,conventional,2015,West
1,2015-12-20,0.88,4737649.03,2017331.24,1314711.0,130849.6,1274757.19,843691.13,417746.45,13319.61,conventional,2015,West
2,2015-12-13,0.85,4899439.92,1798995.46,1596329.01,134101.62,1370013.83,851506.76,517936.19,570.88,conventional,2015,West
3,2015-12-06,0.75,6202513.84,2097720.52,2051392.83,107568.34,1945832.15,1360760.83,582846.33,2224.99,conventional,2015,West
4,2015-11-29,0.99,3719603.21,1461861.54,1216811.0,104219.76,936710.91,688674.0,247318.15,718.76,conventional,2015,West
5,2015-11-22,0.92,4481990.34,1549012.12,1588339.47,118170.98,1226467.77,730580.48,494585.14,1302.15,conventional,2015,West
6,2015-11-15,0.83,5972493.77,1996852.58,2060439.93,122763.34,1792437.92,1080985.7,699956.7,11495.52,conventional,2015,West
7,2015-11-08,0.88,5094837.54,2204338.57,1668416.99,107753.58,1114328.4,770544.02,341544.79,2239.59,conventional,2015,West
8,2015-11-01,0.9,5024858.14,1815066.15,1937479.91,132883.59,1139428.49,717110.41,421675.08,643.0,conventional,2015,West
9,2015-10-25,0.95,4945835.54,1574344.01,1990844.8,134572.92,1246073.81,823727.52,420764.79,1581.5,conventional,2015,West
10,2015-10-18,0.89,5413532.64,2012887.19,2170792.82,110348.57,1119504.06,689893.69,429405.37,205.0,conventional,2015,West
11,2015-10-11,0.91,5534450.99,1287965.79,2714363.53,178042.28,1354079.39,947888.97,402360.11,3830.31,conventional,2015,West
12,2015-10-04,1.0,4895485.63,1369449.86,2378441.26,179192.02,968402.49,630337.33,336994.14,1071.02,conventional,2015,West
13,2015-09-27,0.97,4792868.29,1601971.34,2116029.65,98925.79,975941.51,669128.89,306758.91,53.71,conventional,2015,West
14,2015-09-20,0.92,5596091.03,1552161.89,2825876.79,124207.93,1093844.42,751408.06,342166.04,270.32,conventional,2015,West
15,2015-09-13,0.92,5811260.29,2194373.38,2317428.16,136996.39,1162462.36,733843.93,428556.23,62.2,conventional,2015,West
16,2015-09-06,0.93,5900751.95,2682938.17,2086229.79,124722.73,1006861.26,696240.23,310568.88,52.15,conventional,2015,West
17,2015-08-30,1.03,5138256.91,2163511.05,1986059.01,124657.84,864029.01,624782.63,239195.91,50.47,conventional,2015,West
18,2015-08-23,1.04,5197578.46,2160130.08,2054710.68,107786.51,874951.19,709163.29,165723.93,63.97,conventional,2015,West
19,2015-08-16,0.98,5718139.41,2640927.73,2027603.38,123334.73,926273.57,685992.88,240262.17,18.52,conventional,2015,West
20,2015-08-09,1.01,5531488.2,2368531.2,2068854.19,135407.7,958695.11,667604.38,291065.47,25.26,conventional,2015,West
21,2015-08-02,1.02,5451040.76,2470116.49,1962853.58,120434.79,897635.9,643461.37,254166.11,8.42,conventional,2015,West
22,2015-07-26,1.07,5126588.84,2293111.63,1776143.49,146112.77,911220.95,645013.13,266207.82,0.0,conventional,2015,West
23,2015-07-19,1.04,5525298.95,2337242.49,2065939.21,113523.76,1008593.49,665157.51,343389.61,46.37,conventional,2015,West
24,2015-07-12,1.01,5791508.96,2688406.31,1950436.22,133097.0,1019569.43,731843.74,286270.91,1454.78,conventional,2015,West
25,2015-07-05,0.98,6749081.2,3328637.8,2304907.45,155862.52,959673.43,767183.44,192422.82,67.17,conventional,2015,West
26,2015-06-28,1.03,5617752.22,2686203.38,1907834.16,123261.81,900452.87,719727.54,180618.1,107.23,conventional,2015,West
27,2015-06-21,0.93,6478952.08,3062753.54,2299962.02,138621.26,977615.26,807805.78,167640.78,2168.7,conventional,2015,West
