,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2015-12-27,0.71,776404.39,451904.51,141599.36,15486.97,167413.55,123158.22,33065.33,11190.0,conventional,2015,WestTexNewMexico
1,2015-12-20,0.83,649885.76,389110.55,108176.29,12953.59,139645.33,90392.86,23535.8,25716.67,conventional,2015,WestTexNewMexico
2,2015-12-13,0.78,646041.56,437780.91,100110.13,13576.25,94574.27,83053.1,10947.84,573.33,conventional,2015,WestTexNewMexico
3,2015-12-06,0.74,623231.77,398871.12,133434.18,21088.12,69838.35,68233.56,1604.79,0.0,conventional,2015,WestTexNewMexico
4,2015-11-29,0.81,519028.45,335446.83,103635.94,11463.06,68482.62,67264.73,1217.89,0.0,conventional,2015,WestTexNewMexico
5,2015-11-22,0.78,615077.36,403133.14,122078.09,12008.93,77857.2,74953.33,2903.87,0.0,conventional,2015,WestTexNewMexico
6,2015-11-15,0.71,732695.38,483180.55,155778.7,12780.68,80955.45,77112.29,3843.16,0.0,conventional,2015,WestTexNewMexico
7,2015-11-08,0.76,661405.9,445281.03,123745.68,11968.0,80411.19,79009.15,1402.04,0.0,conventional,2015,WestTexNewMexico
8,2015-11-01,0.8,592115.57,350881.82,131576.51,32802.6,76854.64,75700.11,1154.53,0.0,conventional,2015,WestTexNewMexico
9,2015-10-25,0.82,635873.6,363487.08,166607.85,31960.04,73818.63,72717.86,1100.77,0.0,conventional,2015,WestTexNewMexico
10,2015-10-18,0.81,681501.3,409639.87,177573.02,15805.79,78482.62,77611.2,871.42,0.0,conventional,2015,WestTexNewMexico
11,2015-10-11,0.89,638486.47,268061.13,258518.68,31027.33,80879.33,79841.99,1037.34,0.0,conventional,2015,WestTexNewMexico
12,2015-10-04,0.85,649050.15,240183.49,317701.12,16661.98,74503.56,72761.14,1742.42,0.0,conventional,2015,WestTexNewMexico
13,2015-09-27,0.79,714977.26,255897.91,376232.89,12988.42,69858.04,68312.62,1545.42,0.0,conventional,2015,WestTexNewMexico
14,2015-09-20,0.78,746249.98,289135.19,352998.81,14247.44,89868.54,78779.54,11089.0,0.0,conventional,2015,WestTexNewMexico
15,2015-09-13,0.75,829727.75,341728.32,330566.17,26174.67,131258.59,82932.85,48325.74,0.0,conventional,2015,WestTexNewMexico
16,2015-09-06,0.8,790420.66,487551.38,183612.44,16170.57,103086.27,91173.4,11912.87,0.0,conventional,2015,WestTexNewMexico
17,2015-08-30,0.82,750669.14,518203.31,136374.37,16298.54,79792.92,78731.42,1061.5,0.0,conventional,2015,WestTexNewMexico
18,2015-08-23,0.8,740213.87,535570.33,100108.86,13332.23,91202.45,87927.36,3275.09,0.0,conventional,2015,WestTexNewMexico
19,2015-08-16,0.77,815638.81,489076.9,154805.84,20866.49,150889.58,125836.94,25052.64,0.0,conventional,2015,WestTexNewMexico
20,2015-08-09,0.74,885883.92,576883.27,154758.26,20222.28,134020.11,100912.13,33107.98,0.0,conventional,2015,WestTexNewMexico
21,2015-08-02,0.79,795371.51,573107.42,94633.45,13662.27,113968.37,95673.46,18294.91,0.0,conventional,2015,WestTexNewMexico
22,2015-07-26,0.81,777883.03,542663.64,96112.02,25086.72,114020.65,97555.49,16465.16,0.0,conventional,2015,WestTexNewMexico
23,2015-07-19,0.76,803340.22,552839.76,101243.9,16066.56,133190.0,115237.5,17952.5,0.0,conventional,2015,WestTexNewMexico
24,2015-07-12,0.77,754672.44,515150.21,100148.7,16185.82,123187.71,107273.37,15914.34,0.0,conventional,2015,WestTexNewMexico
25,2015-07-05,0.78,913360.72,606650.91,123465.83,18233.51,165010.47,146199.35,18811.12,0.0,conventional,2015,WestTexNewMexico
26,2015-06-28,0.71,941135.5,670425.34,108019.8,13077.85,149612.51,130392.24,19220.27,0.0,conventional,2015,WestTexNewMexico
27,2015-06-21,0.74,948942.53,601318.24,158997.23,13455.47,175171.59,148132.78,27038.81,0.0,conventional,2015,WestTexNewMexico
28,2015-06-14,0.7,1035973.14,651120.92,202731.92,13413.05,168707.25,126508.62,42198.63,0.0,conventional,2015,WestTexNewMexico
29,2015-06-07,0.68,1053997.99,750594.5,152736.51,12543.43,138123.55,103719.2,34404.35,0.0,conventional,2015,WestTexNewMexico
30,2015-05-31,0.74,887045.15,626724.73,124037.26,25328.56,110954.6,78423.65,32530.95,0.0,conventional,2015,WestTexNewMexico
31,2015-05-24,0.75,914966.82,692900.55,107964.22,14654.28,99447.77,82335.29,17112.48,0.0,conventional,2015,WestTexNewMexico
32,2015-05-17,0.7,942310.32,721087.66,112070.95,12170.59,96981.12,74460.15,22520.97,0.0,conventional,2015,WestTexNewMexico
33,2015-05-10,0.71,1019160.83,774232.7,128168.65,13889.83,102869.65,79189.32,23680.33,0.0,conventional,2015,WestTexNewMexico
34,2015-05-03,0.74,967144.19,677575.96,166456.05,15065.01,108047.17,80711.69,27335.48,0.0,conventional,2015,WestTexNewMexico
35,2015-04-26,0.74,899632.66,596342.41,174560.73,14468.89,114260.63,80697.34,33563.29,0.0,conventional,2015,WestTexNewMexico
36,2015-04-19,0.7,961001.34,687794.59,154971.84,16243.48,101991.43,76595.17,25396.26,0.0,conventional,2015,WestTexNewMexico
37,2015-04-12,0.76,840314.58,564694.43,167105.74,11290.94,97223.47,71587.33,25636.14,0.0,conventional,2015,WestTexNewMexico
38,2015-04-05,0.76,938880.6,660961.68,163481.6,15530.04,98907.28,91530.77,7376.51,0.0,conventional,2015,WestTexNewMexico
39,2015-03-29,0.74,908323.3,595240.91,199938.3,18570.6,94573.49,88599.82,5973.67,0.0,conventional,2015,WestTexNewMexico
40,2015-03-22,0.85,752576.08,489678.55,157679.62,14084.25,91133.66,89232.98,1900.68,0.0,conventional,2015,WestTexNewMexico
41,2015-03-15,0.75,827795.25,610496.24,115089.7,13114.91,89094.4,86399.27,2695.13,0.0,conventional,2015,WestTexNewMexico
42,2015-03-08,0.73,805731.03,568182.3,137012.17,12344.54,88192.02,85848.21,2343.81,0.0,conventional,2015,WestTexNewMexico
43,2015-03-01,0.84,723488.95,439115.27,167245.85,28226.16,88901.67,86800.97,2100.7,0.0,conventional,2015,WestTexNewMexico
44,2015-02-22,0.85,681409.59,455087.17,121269.48,16470.86,88582.08,86050.77,2531.31,0.0,conventional,2015,WestTexNewMexico
45,2015-02-15,0.78,743066.25,520464.29,133695.54,12099.88,76806.54,73763.41,3043.13,0.0,conventional,2015,WestTexNewMexico
46,2015-02-08,0.72,811664.36,539280.41,175207.31,13717.57,83459.07,81116.25,2342.82,0.0,conventional,2015,WestTexNewMexico
47,2015-02-01,0.71,916367.42,611270.39,205181.23,14107.36,85808.44,82065.7,3742.74,0.0,conventional,2015,WestTexNewMexico
48,2015-01-25,0.8,720800.61,519142.82,124248.86,10573.29,66835.64,65072.69,1762.95,0.0,conventional,2015,WestTexNewMexico
49,2015-01-18,0.8,729795.72,516446.41,128438.87,12473.14,72437.3,71564.22,873.08,0.0,conventional,2015,WestTexNewMexico
50,2015-01-11,0.92,584896.99,347125.63,129717.42,27944.07,80109.87,78503.46,1606.41,0.0,conventional,2015,WestTexNewMexico
51,2015-01-04,0.75,758118.95,426878.87,147958.43,15267.89,168013.76,165202.22,2811.54,0.0,conventional,2015,WestTexNewMexico
0,2016-12-25,0.73,867992.74,484143.84,69977.4,15998.99,297872.51,130112.09,167620.42,140.0,conventional,2016,WestTexNewMexico
1,2016-12-18,0.76,790789.79,388322.1,66773.28,12379.19,323315.22,142224.29,180677.6,413.33,conventional,2016,WestTexNewMexico
2,2016-12-11,0.79,776453.82,308697.33,68324.89,12632.73,386798.87,167338.47,219187.07,273.33,conventional,2016,WestTexNewMexico
3,2016-12-04,0.85,699171.51,353339.84,66386.39,10869.1,268576.18,105842.68,162657.94,75.56,conventional,2016,WestTexNewMexico
4,2016-11-27,0.8,674184.53,415839.52,45217.58,9805.34,203322.09,104487.22,98716.81,118.06,conventional,2016,WestTexNewMexico
5,2016-11-20,0.99,670051.41,407045.54,40680.13,11622.63,210703.11,109832.07,100871.04,0.0,conventional,2016,WestTexNewMexico
6,2016-11-13,0.96,690820.58,429758.58,39757.86,14195.71,207108.43,114355.56,92752.87,0.0,conventional,2016,WestTexNewMexico
7,2016-11-06,0.99,643630.66,389129.36,47289.95,17719.27,189492.08,106571.99,82920.09,0.0,conventional,2016,WestTexNewMexico
8,2016-10-30,1.11,474480.97,230696.56,55531.58,17669.83,170583.0,77112.5,93470.5,0.0,conventional,2016,WestTexNewMexico
9,2016-10-23,1.0,620389.4,326067.93,68189.98,17487.68,208643.81,92147.36,115578.39,918.06,conventional,2016,WestTexNewMexico
10,2016-10-16,0.87,902725.42,490768.42,72347.94,13559.5,326049.56,204702.97,121346.59,0.0,conventional,2016,WestTexNewMexico
11,2016-10-09,1.05,732830.17,432642.49,61267.94,11748.36,227171.38,153534.17,73637.21,0.0,conventional,2016,WestTexNewMexico
12,2016-10-02,1.14,605034.4,326742.01,61488.36,15371.56,201432.47,131471.63,69960.84,0.0,conventional,2016,WestTexNewMexico
13,2016-09-25,1.07,598623.24,334016.4,61710.24,14663.85,188232.75,117476.89,70580.86,175.0,conventional,2016,WestTexNewMexico
14,2016-09-18,0.95,749931.49,471618.33,85785.47,12899.95,179627.74,104714.47,74913.27,0.0,conventional,2016,WestTexNewMexico
15,2016-09-11,0.73,1012039.31,689424.36,117338.63,12243.91,193032.41,111106.93,81825.48,100.0,conventional,2016,WestTexNewMexico
16,2016-09-04,0.88,863039.15,570194.15,87176.97,13318.67,192349.36,112529.49,79499.87,320.0,conventional,2016,WestTexNewMexico
17,2016-08-28,0.93,789223.6,472159.48,93803.41,12234.07,211026.64,134565.14,76391.5,70.0,conventional,2016,WestTexNewMexico
18,2016-08-21,0.92,808012.61,484477.52,87640.89,12142.01,223752.19,142739.33,81012.86,0.0,conventional,2016,WestTexNewMexico
19,2016-08-14,0.93,798986.84,449883.2,89651.56,15309.45,244142.63,159059.48,85083.15,0.0,conventional,2016,WestTexNewMexico
20,2016-08-07,0.95,816529.48,500097.71,81237.11,15436.45,219758.21,152300.82,67457.39,0.0,conventional,2016,WestTexNewMexico
21,2016-07-31,1.06,708243.4,404007.95,76077.49,15442.57,212715.39,144484.06,65764.66,2466.67,conventional,2016,WestTexNewMexico
22,2016-07-24,1.03,797993.91,432573.44,85761.86,17101.34,262557.27,169487.86,81989.41,11080.0,conventional,2016,WestTexNewMexico
23,2016-07-17,0.95,802834.4,449793.85,85497.73,16431.19,251111.63,178906.87,68996.71,3208.05,conventional,2016,WestTexNewMexico
24,2016-07-10,0.87,979053.68,571522.5,102689.06,16968.44,287873.68,187139.46,87776.17,12958.05,conventional,2016,WestTexNewMexico
25,2016-07-03,0.86,1026317.8,581532.54,106150.45,20212.32,318422.49,212681.56,91214.82,14526.11,conventional,2016,WestTexNewMexico
26,2016-06-26,0.8,1028845.61,558419.63,101284.45,23127.35,346014.18,243993.8,95170.94,6849.44,conventional,2016,WestTexNewMexico
27,2016-06-19,0.79,1048148.17,633115.26,111120.94,25373.47,278538.5,167775.05,94639.29,16124.16,conventional,2016,WestTexNewMexico
28,2016-06-12,0.82,916958.75,552199.46,94429.85,56434.44,213895.0,110853.14,87748.53,15293.33,conventional,2016,WestTexNewMexico
29,2016-06-05,0.75,1030392.53,625919.72,125188.2,41083.35,238201.26,106610.36,121450.9,10140.0,conventional,2016,WestTexNewMexico
30,2016-05-29,0.77,985833.89,556578.41,134448.46,37522.4,257284.62,107015.69,144257.82,6011.11,conventional,2016,WestTexNewMexico
31,2016-05-22,0.8,857842.32,497605.2,111206.4,50440.46,198590.26,97204.01,93102.92,8283.33,conventional,2016,WestTexNewMexico
32,2016-05-15,0.7,901217.17,581142.58,136712.42,20624.94,162737.23,97314.33,61552.9,3870.0,conventional,2016,WestTexNewMexico
33,2016-05-08,0.74,1052940.48,623286.74,183588.62,33224.01,212841.11,124984.25,83560.19,4296.67,conventional,2016,WestTexNewMexico
34,2016-05-01,0.73,926205.77,489363.62,148534.17,32607.62,255700.36,173262.3,75381.39,7056.67,conventional,2016,WestTexNewMexico
35,2016-04-24,0.77,859293.22,475418.6,155177.72,32786.12,195910.78,97308.05,96326.06,2276.67,conventional,2016,WestTexNewMexico
36,2016-04-17,0.73,944337.62,538758.64,154216.58,51745.47,199616.93,92473.19,107003.74,140.0,conventional,2016,WestTexNewMexico
37,2016-04-10,0.77,897755.55,567763.55,128899.01,32940.56,168152.43,97395.82,70756.61,0.0,conventional,2016,WestTexNewMexico
38,2016-04-03,0.73,776232.98,552528.04,80391.33,29032.63,114280.98,82969.77,31311.21,0.0,conventional,2016,WestTexNewMexico
39,2016-03-27,0.71,936600.58,638259.36,112685.01,30073.26,155582.95,99134.34,56448.61,0.0,conventional,2016,WestTexNewMexico
40,2016-03-20,0.7,932377.12,572667.0,148116.03,71017.02,140577.07,86992.57,53584.5,0.0,conventional,2016,WestTexNewMexico
41,2016-03-13,0.72,886197.95,563341.91,136619.69,36476.41,149759.94,88060.04,61699.9,0.0,conventional,2016,WestTexNewMexico
42,2016-03-06,0.77,814614.77,548260.5,108856.08,38919.31,118578.88,89574.12,29004.76,0.0,conventional,2016,WestTexNewMexico
43,2016-02-28,0.73,824072.51,532849.51,112139.39,53843.0,125240.61,84429.01,40794.93,16.67,conventional,2016,WestTexNewMexico
44,2016-02-21,0.7,840912.75,531994.93,140944.9,27799.93,140172.99,88186.62,50489.7,1496.67,conventional,2016,WestTexNewMexico
45,2016-02-14,0.7,963046.73,621734.73,151510.22,30289.17,159512.61,89653.91,56745.36,13113.34,conventional,2016,WestTexNewMexico
46,2016-02-07,0.68,1198679.87,755962.49,197733.56,74916.26,170067.56,100403.73,41471.6,28192.23,conventional,2016,WestTexNewMexico
47,2016-01-31,0.79,788831.92,512429.69,88819.79,38529.09,149053.35,94019.44,16913.91,38120.0,conventional,2016,WestTexNewMexico
48,2016-01-24,1.12,296402.96,45720.39,99167.08,16034.41,135481.08,94434.3,24812.34,16234.44,conventional,2016,WestTexNewMexico
49,2016-01-17,0.83,712937.27,440675.35,120098.37,26636.1,125527.45,89810.71,28507.85,7208.89,conventional,2016,WestTexNewMexico
50,2016-01-10,0.74,781036.73,486986.64,152838.09,16273.9,124938.1,82660.45,40944.32,1333.33,conventional,2016,WestTexNewMexico
51,2016-01-03,0.76,761760.52,419119.49,178471.03,35241.26,128928.74,94218.83,32476.58,2233.33,conventional,2016,WestTexNewMexico
0,2017-12-31,0.89,727024.03,347248.16,158559.97,5628.28,215587.62,78402.09,137088.87,96.66,conventional,2017,WestTexNewMexico
1,2017-12-24,0.93,769970.84,402476.91,150206.86,7966.08,209320.99,96489.71,112764.62,66.66,conventional,2017,WestTexNewMexico
2,2017-12-17,0.85,754023.66,390096.35,161122.14,6208.15,196597.02,94766.7,101820.32,10.0,conventional,2017,WestTexNewMexico
3,2017-12-10,0.86,751137.79,384349.01,133201.98,5774.97,227811.83,104486.24,123222.25,103.34,conventional,2017,WestTexNewMexico
4,2017-12-03,0.85,799879.0,359419.0,224516.0,6690.0,209254.0,70520.0,138586.0,148.0,conventional,2017,WestTexNewMexico
