,,白天,白天,白天,夜间,夜间,夜间
,,天气状况,风力方向,最高温度,天气状况,风力方向,最高温度
城市,日期,,,,,,
博罗,2019-07-05,阵雨,无持续风向 1-2级,32,阵雨,无持续风向 1-2级,25
博罗,2019-07-04,阵雨,无持续风向 1-2级,32,阵雨,无持续风向 1-2级,25
博罗,2019-07-03,中雨,无持续风向 1-2级,28,中雨,无持续风向 1-2级,25
博罗,2019-07-02,阵雨,无持续风向 1-2级,33,阵雨,无持续风向 1-2级,25
博罗,2019-07-01,雷阵雨,无持续风向 1-2级,33,雷阵雨,无持续风向 1-2级,27
珠海,2019-07-05,阵雨,西南风 3-4级,31,多云,西南风 3-4级,26
珠海,2019-07-04,阵雨,南风 3-4级,30,多云,南风 3-4级,26
珠海,2019-07-03,中雨,东南风 3-4级,29,中雨,东南风 3-4级,25
珠海,2019-07-02,中雨,东风 3-4级,31,中雨,东风 3-4级,25
珠海,2019-07-01,阵雨,无持续风向 1-2级,32,阵雨,无持续风向 1-2级,28
中山,2019-07-05,多云,无持续风向 1-2级,34,多云,无持续风向 1-2级,27
中山,2019-07-04,多云,无持续风向 1-2级,33,多云,无持续风向 1-2级,26
中山,2019-07-03,中雨,无持续风向 1-2级,29,大雨,无持续风向 1-2级,25
中山,2019-07-02,阵雨,无持续风向 1-2级,34,大雨,无持续风向 1-2级,26
中山,2019-07-01,阵雨,无持续风向 1-2级,33,阵雨,无持续风向 1-2级,27
番禺,2019-07-05,雷阵雨,无持续风向 1-2级,33,雷阵雨,无持续风向 1-2级,27
番禺,2019-07-04,中雨,无持续风向 1-2级,33,雷阵雨,无持续风向 1-2级,26
番禺,2019-07-03,大雨,东南风 3-4级,30,大雨,东南风 3-4级,26
番禺,2019-07-02,中雨,无持续风向 1-2级,34,大雨,无持续风向 1-2级,26
番禺,2019-07-01,雷阵雨,无持续风向 1-2级,34,中雨,无持续风向 1-2级,28
