order_date,market,region,product_category,product,cost,inventory,net_profit,sales
2010-01-01,Wholesale,Central,Coffee,Amaretto,89,777,94,219
2010-01-01,Wholesale,Central,Coffee,Columbian,83,623,68,190
2010-01-01,Wholesale,Central,Coffee,Decaf Irish Cream,95,821,101,234
2010-01-01,Wholesale,Central,Tea,Green Tea,44,623,30,100
2010-01-01,Wholesale,Central,Espresso,Caffe Mocha,54,456,54,134
2010-01-01,Wholesale,Central,Espresso,Decaf Espresso,72,558,53,180
2010-01-01,Wholesale,Central,Herbal tea,Chamomile,170,1091,99,341
2010-01-01,Wholesale,Central,Herbal tea,Lemon,63,435,0,150
2010-01-01,Wholesale,Central,Herbal tea,Mint,60,336,33,140
2010-01-01,Wholesale,Central,Tea,Darjeeling,58,338,17,130
2010-01-01,Wholesale,Central,Tea,Earl Grey,64,965,36,140
2010-01-01,Wholesale,Central,Coffee,Columbian,144,862,111,345
2010-01-01,Wholesale,Central,Coffee,Decaf Irish Cream,95,608,87,234
2010-01-01,Wholesale,Central,Espresso,Caffe Mocha,234,1310,203,546
2010-01-01,Wholesale,Central,Espresso,Decaf Espresso,228,1459,140,456
2010-01-01,Wholesale,Central,Herbal tea,Chamomile,89,777,95,219
2010-01-01,Wholesale,Central,Herbal tea,Lemon,83,623,68,190
2010-01-01,Wholesale,Central,Herbal tea,Mint,95,821,101,234
2010-01-01,Wholesale,Central,Tea,Darjeeling,54,456,53,134
2010-01-01,Wholesale,Central,Tea,Earl Grey,72,558,54,180
2010-01-01,Retail,Central,Coffee,Amaretto,18,821,11,45
2010-01-01,Retail,Central,Coffee,Columbian,28,965,5,62
2010-01-01,Retail,Central,Coffee,Decaf Irish Cream,23,623,12,54
2010-01-01,Retail,Central,Espresso,Caffe Mocha,17,777,11,43
2010-01-01,Retail,Central,Espresso,Decaf Espresso,17,777,10,43
2010-01-01,Retail,Central,Herbal tea,Chamomile,234,1310,202,546
2010-01-01,Retail,Central,Herbal tea,Lemon,95,608,86,234
2010-01-01,Retail,Central,Tea,Darjeeling,228,1459,141,456
2010-01-01,Retail,Central,Tea,Earl Grey,245,1419,175,546
2010-01-01,Retail,Central,Coffee,Columbian,85,494,39,190
2010-01-01,Retail,Central,Coffee,Decaf Irish Cream,78,965,47,170
2010-01-01,Retail,Central,Tea,Green Tea,34,197,-4,76
2010-01-01,Retail,Central,Espresso,Caffe Mocha,50,821,48,123
