epoch,accuracy,loss,val_accuracy,val_loss
0,0.540375,1.632193299293518,0.6285,1.190760368347168
1,0.68825,0.9994553689956664,0.6965,0.9033811359405518
2,0.728125,0.8189990406036377,0.728,0.7912716083526611
3,0.755125,0.7332888164520264,0.7595,0.7252641439437866
4,0.7725,0.6787684919834137,0.781,0.6813062252998352
5,0.789125,0.6384518404006958,0.786,0.6482666711807251
6,0.79675,0.6061709463596344,0.79,0.6200670099258423
7,0.806375,0.5791466624736786,0.778,0.6257705264091492
8,0.81,0.559039963722229,0.7945,0.5931741852760315
9,0.816375,0.5418132667541504,0.8065,0.5699761247634888
